<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;101.2500000;101.2500000;101.0000000;101.0000000;200
20140108;000000;101.0000000;102.5000000;101.0000000;102.5000000;300
20140109;000000;101.0000000;102.4000000;101.0000000;102.2300000;8100
20140110;000000;101.0000000;102.4100000;100.7300000;101.2200000;13800
20140113;000000;101.0000000;102.5000000;100.4600000;102.5000000;6200
20140114;000000;102.0000000;102.1800000;101.1100000;101.3100000;1700
20140115;000000;101.9000000;103.4200000;101.9000000;103.3800000;4600
20140116;000000;103.0000000;103.0000000;103.0000000;103.0000000;600
20140117;000000;103.0000000;103.3100000;102.2900000;102.7800000;5200
20140120;000000;102.7500000;105.4500000;102.7500000;105.0500000;500
20140121;000000;104.0900000;105.9000000;104.0900000;105.4100000;1500
20140122;000000;105.2000000;105.4500000;102.8400000;103.5100000;3900
20140123;000000;103.6000000;104.0000000;103.2800000;103.8500000;7100
20140124;000000;103.5000000;103.8800000;103.1700000;103.3800000;4200
20140127;000000;102.1000000;104.0700000;102.1000000;102.1100000;3200
20140128;000000;102.1100000;102.9200000;102.0400000;102.8600000;2700
20140129;000000;102.8800000;103.2300000;102.8800000;103.2000000;9700
20140130;000000;101.7500000;101.9800000;101.4000000;101.4000000;10200
20140131;000000;101.4500000;102.3500000;101.3500000;101.3500000;3400
20140203;000000;101.4000000;101.4000000;101.4000000;101.4000000;5000
20140204;000000;101.5000000;102.3000000;101.3200000;102.3000000;3700
20140205;000000;102.0600000;104.8700000;102.0400000;104.6500000;10200
20140206;000000;104.0800000;105.6700000;102.8300000;105.5300000;17600
20140207;000000;105.1100000;106.9000000;105.0300000;106.6700000;13300
20140210;000000;105.3000000;106.4900000;105.3000000;106.4900000;8900
20140211;000000;106.1800000;106.2500000;105.5800000;106.0000000;4500
20140212;000000;106.1000000;107.7900000;106.1000000;107.0300000;18700
20140213;000000;107.1100000;108.7900000;106.5000000;106.7100000;10300
20140214;000000;104.5000000;109.0100000;104.5000000;109.0100000;11100
20140217;000000;109.2300000;110.3200000;109.2000000;109.7300000;7100
20140218;000000;108.8000000;108.8000000;107.6800000;107.6800000;19800
20140219;000000;108.4000000;108.4200000;107.3000000;107.3000000;6800
20140220;000000;106.9900000;106.9900000;105.7000000;105.7000000;14000
20140221;000000;106.1000000;106.1000000;106.1000000;106.1000000;100
20140224;000000;105.6200000;105.6200000;105.6200000;105.6200000;100
20140225;000000;105.1500000;108.0000000;105.1500000;107.8000000;9000
20140226;000000;107.5400000;109.1500000;107.2000000;109.1500000;8100
20140227;000000;108.4500000;109.4400000;107.2100000;107.2100000;16100
20140228;000000;107.3700000;108.1100000;107.3000000;107.8900000;4800
20140303;000000;104.1700000;104.1700000;101.6000000;103.1000000;18900
20140304;000000;103.1000000;105.0600000;103.1000000;105.0600000;2100
20140305;000000;106.0600000;106.5000000;105.7200000;106.3800000;4600
20140306;000000;106.5500000;106.7000000;104.6000000;104.6000000;6900
20140307;000000;105.2000000;108.1900000;105.2000000;107.9700000;27300
20140311;000000;105.8800000;108.1000000;105.1200000;108.1000000;900
20140312;000000;107.9900000;107.9900000;105.2200000;105.8600000;22000
20140313;000000;104.9100000;106.3900000;104.9000000;106.3900000;8100
20140314;000000;107.0500000;107.2000000;105.4000000;107.0900000;15900
20140317;000000;106.2200000;109.2000000;106.2000000;108.3700000;12400
20140318;000000;108.9300000;111.1800000;108.8600000;111.1800000;11700
20140319;000000;112.5000000;112.5000000;110.8500000;112.4000000;15200
20140320;000000;111.7000000;112.0000000;111.2800000;111.2800000;4200
20140321;000000;109.1100000;112.1000000;109.1100000;112.1000000;8900
20140324;000000;111.1000000;113.1000000;111.1000000;113.1000000;9000
20140325;000000;111.7500000;125.3000000;111.6800000;125.3000000;21700
20140326;000000;123.4000000;126.5000000;123.4000000;125.9300000;10900
20140327;000000;126.1000000;126.1000000;124.7200000;125.6400000;7900
20140328;000000;126.1000000;128.2000000;126.0200000;126.8700000;2400
20140401;000000;126.9800000;128.5700000;125.1200000;127.7000000;5500
20140402;000000;128.8000000;128.8000000;128.7000000;128.7000000;600
20140403;000000;127.8500000;128.9200000;127.3100000;127.7800000;13400
20140404;000000;126.4100000;126.9600000;123.7000000;124.3000000;4200
20140407;000000;126.4000000;128.3900000;125.0600000;126.5000000;9800
20140408;000000;126.5400000;127.5000000;126.4600000;127.1300000;2400
20140409;000000;127.4000000;129.1500000;127.0000000;129.1500000;6200
20140410;000000;128.0000000;128.8700000;126.1000000;128.8700000;2300
20140411;000000;127.7100000;128.7300000;126.8400000;127.2900000;3900
20140414;000000;126.1000000;127.4600000;126.1000000;126.5700000;2800
20140415;000000;126.4000000;127.5900000;126.2200000;126.3700000;15000
20140416;000000;126.5300000;128.8200000;126.4600000;128.8200000;5500
20140418;000000;127.5500000;128.8000000;127.5100000;127.8400000;9100
20140421;000000;128.1800000;128.7700000;128.1100000;128.1300000;1700
20140422;000000;128.7800000;128.7800000;127.6500000;128.5400000;5900
20140423;000000;128.8000000;129.2500000;128.0300000;128.6100000;2300
20140424;000000;128.7100000;128.7100000;127.3500000;127.5700000;2900
20140425;000000;127.2000000;127.2000000;127.2000000;127.2000000;100
20140428;000000;127.5000000;127.5000000;126.1900000;126.4200000;4400
20140506;000000;128.8500000;129.1900000;128.8500000;129.1900000;200
20140507;000000;126.8000000;127.9600000;126.8000000;127.8000000;4400
20140508;000000;127.8500000;129.0300000;126.8100000;126.8500000;6400
20140512;000000;126.7600000;127.3300000;126.6900000;127.2700000;1100
20140513;000000;126.0000000;127.4800000;126.0000000;127.4800000;900
20140514;000000;127.4800000;127.4800000;125.2000000;127.3200000;12600
20140516;000000;127.3000000;128.1200000;127.2300000;128.1200000;1900
20140519;000000;128.5400000;129.9100000;128.0200000;129.1200000;12500
20140520;000000;127.0200000;130.3100000;127.0200000;129.9500000;21100
20140521;000000;130.0600000;131.6000000;130.0000000;131.6000000;13600
20140522;000000;130.7000000;131.5400000;129.0700000;129.4900000;39300
20140523;000000;129.5900000;130.8400000;127.4500000;130.8400000;28900
20140526;000000;128.0400000;132.9800000;128.0400000;130.9700000;12200
20140527;000000;128.1400000;130.5000000;128.1400000;130.5000000;300
20140528;000000;129.8200000;130.4900000;128.1200000;130.4900000;400
20140529;000000;130.1700000;130.3400000;130.1700000;130.3400000;200
