<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20141201;000000;320.0000000;320.0000000;320.0000000;320.0000000;400
20141202;000000;305.0000000;305.0000000;305.0000000;305.0000000;10000
20141204;000000;330.0000000;330.0000000;330.0000000;330.0000000;10000
20141210;000000;350.0000000;350.0000000;350.0000000;350.0000000;30
20141211;000000;212.2000000;212.2000000;212.2000000;212.2000000;1
20141219;000000;330.0000000;447.0000000;330.0000000;350.0000000;6324
20141222;000000;300.0000000;380.0000000;290.0000000;290.0000000;7764
20141223;000000;290.0000000;290.0000000;290.0000000;290.0000000;1046
20141225;000000;285.0000000;285.0000000;280.0000000;280.0000000;1351
20141226;000000;280.0000000;285.0000000;270.5500000;271.0000000;21007
20141229;000000;280.0000000;280.0000000;280.0000000;280.0000000;1
20141230;000000;290.0000000;310.0000000;280.0000000;280.0000000;4602
