<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;35.3990000;35.3990000;33.4050000;33.6790000;1399000
20140108;000000;33.7880000;34.0000000;32.9000000;33.0760000;1478700
20140109;000000;33.2890000;33.3900000;32.2010000;32.7500000;1692600
20140110;000000;32.9900000;33.2000000;32.2890000;33.2000000;2950000
20140113;000000;33.2030000;33.8300000;33.2030000;33.5000000;1601100
20140114;000000;33.2630000;33.3310000;32.3010000;32.6480000;2667500
20140115;000000;32.7720000;33.0700000;32.0990000;32.2670000;3249500
20140116;000000;32.5540000;32.6010000;31.7080000;32.0000000;6621000
20140117;000000;32.1910000;32.3000000;31.8540000;32.0300000;3002000
20140120;000000;32.1970000;32.8890000;32.1970000;32.7700000;3321200
20140121;000000;32.8720000;33.7610000;32.8720000;33.7000000;2968900
20140122;000000;33.5420000;33.9270000;33.5080000;33.8890000;1987500
20140123;000000;33.7020000;35.1500000;33.7000000;35.0000000;3990800
20140124;000000;34.8050000;35.9840000;34.7000000;35.6700000;7918500
20140127;000000;35.3010000;35.8030000;35.0180000;35.7500000;2394900
20140128;000000;35.8390000;36.4900000;35.4440000;36.3010000;3140900
20140129;000000;36.2680000;36.8510000;34.8200000;35.3000000;4599600
20140130;000000;35.4800000;36.2000000;34.6500000;36.1690000;3870800
20140131;000000;35.8440000;36.9800000;35.8390000;36.5000000;3391700
20140203;000000;36.5710000;37.0000000;35.6800000;35.7000000;1589400
20140204;000000;35.5370000;35.5370000;34.3500000;34.4620000;4546700
20140205;000000;34.7080000;36.0010000;34.3460000;35.9560000;3231600
20140206;000000;36.0880000;36.7800000;36.0880000;36.7700000;2252300
20140207;000000;36.7890000;36.9370000;36.5000000;36.5710000;1394200
20140210;000000;36.5000000;36.7900000;36.3410000;36.7890000;1437800
20140211;000000;36.5650000;37.3500000;36.4000000;37.1490000;2429400
20140212;000000;37.3500000;37.3940000;36.5540000;36.9940000;1542900
20140213;000000;36.9940000;36.9940000;35.6200000;35.6700000;1180400
20140214;000000;35.9780000;36.3500000;35.5150000;36.2000000;2074300
