<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.7447000;0.7447000;0.7000000;0.7388000;23000
20140108;000000;0.7200000;0.7200000;0.7200000;0.7200000;1000
20140109;000000;0.7017000;0.7081000;0.7000000;0.7081000;28000
20140110;000000;0.7081000;0.7500000;0.6501000;0.7400000;49000
20140113;000000;0.6801000;0.7399000;0.6600000;0.7399000;190000
20140114;000000;0.7500000;0.7500000;0.7500000;0.7500000;10000
20140115;000000;0.7568000;0.7623000;0.7500000;0.7600000;165000
20140116;000000;0.7450000;0.7945000;0.7450000;0.7673000;94000
20140117;000000;0.7999000;0.8120000;0.7752000;0.8120000;29000
20140120;000000;0.7776000;0.7776000;0.7776000;0.7776000;1000
20140121;000000;0.7612000;0.8118000;0.6750000;0.7719000;150000
20140122;000000;0.7800000;0.7801000;0.7800000;0.7801000;5000
20140123;000000;0.7807000;0.8111000;0.7807000;0.7981000;20000
20140124;000000;0.7646000;0.7646000;0.7508000;0.7508000;34000
20140127;000000;0.7309000;0.7676000;0.7305000;0.7316000;23000
20140128;000000;0.7683000;0.7683000;0.7257000;0.7683000;10000
20140129;000000;0.7889000;0.7926000;0.7622000;0.7622000;3000
20140130;000000;0.7436000;0.7684000;0.7401000;0.7401000;28000
20140131;000000;0.7647000;0.7749000;0.7645000;0.7742000;30000
20140203;000000;0.8107000;0.8277000;0.7500000;0.7500000;94000
20140204;000000;0.7522000;0.7699000;0.7027000;0.7699000;14000
20140205;000000;0.7796000;0.7883000;0.7796000;0.7883000;10000
20140206;000000;0.7523000;0.7538000;0.7520000;0.7520000;19000
20140207;000000;0.7648000;0.7898000;0.7648000;0.7898000;8000
20140211;000000;0.7705000;0.7705000;0.7705000;0.7705000;1000
20140212;000000;0.7964000;0.7998000;0.7850000;0.7960000;15000
20140213;000000;0.7757000;0.8019000;0.7607000;0.7900000;49000
20140214;000000;0.7532000;0.8091000;0.7505000;0.8091000;52000
20140217;000000;0.8091000;0.8177000;0.7999000;0.7999000;57000
20140218;000000;0.8056000;0.8177000;0.8056000;0.8126000;32000
20140219;000000;0.7812000;0.8254000;0.7013000;0.7900000;297000
20140220;000000;0.8036000;0.8036000;0.8036000;0.8036000;7000
20140224;000000;0.7757000;0.7757000;0.7700000;0.7720000;76000
20140225;000000;0.7749000;0.7750000;0.7601000;0.7750000;13000
20140226;000000;0.8079000;0.8079000;0.7850000;0.7850000;38000
20140227;000000;0.7406000;0.7705000;0.7136000;0.7705000;20000
20140228;000000;0.7202000;0.7202000;0.7051000;0.7051000;17000
20140303;000000;0.7011000;0.7011000;0.4951000;0.6600000;466000
20140304;000000;0.6699000;0.6850000;0.6358000;0.6689000;59000
20140305;000000;0.6599000;0.6599000;0.6227000;0.6227000;32000
20140306;000000;0.6773000;0.7000000;0.6700000;0.6900000;151000
20140307;000000;0.7176000;0.7176000;0.6303000;0.6601000;90000
20140311;000000;0.6996000;0.7020000;0.6700000;0.6700000;34000
20140312;000000;0.6501000;0.6501000;0.6301000;0.6301000;14000
20140313;000000;0.6696000;0.6696000;0.6399000;0.6400000;274000
20140314;000000;0.6417000;0.6600000;0.6417000;0.6570000;132000
20140317;000000;0.6939000;0.6989000;0.6637000;0.6731000;24000
20140318;000000;0.7193000;0.7193000;0.7098000;0.7100000;21000
20140320;000000;0.7110000;0.7260000;0.7110000;0.7250000;20000
20140321;000000;0.7250000;0.7260000;0.7250000;0.7260000;24000
20140325;000000;0.6565000;0.7394000;0.6565000;0.6712000;35000
20140326;000000;0.7380000;0.7380000;0.7380000;0.7380000;5000
20140327;000000;0.7429000;0.7430000;0.7072000;0.7073000;23000
20140328;000000;0.7000000;0.7000000;0.7000000;0.7000000;10000
20140331;000000;0.6810000;0.6999000;0.5101000;0.6999000;896000
20140401;000000;0.6664000;0.6950000;0.6664000;0.6950000;18000
20140403;000000;0.6556000;0.6960000;0.6556000;0.6960000;6000
20140404;000000;0.6696000;0.6998000;0.6696000;0.6998000;11000
20140407;000000;0.7180000;0.7245000;0.6875000;0.6875000;22000
20140410;000000;0.6875000;0.6905000;0.6875000;0.6905000;9000
20140411;000000;0.6707000;0.6984000;0.6707000;0.6984000;19000
20140414;000000;0.6561000;0.6999000;0.6500000;0.6999000;22000
20140415;000000;0.7000000;0.7000000;0.7000000;0.7000000;4000
20140418;000000;0.7100000;0.7100000;0.7000000;0.7000000;21000
20140421;000000;0.7195000;0.7265000;0.7000000;0.7100000;178000
20140422;000000;0.7299000;0.7500000;0.7200000;0.7414000;33000
20140423;000000;0.7699000;0.7800000;0.7367000;0.7500000;82000
20140425;000000;0.7847000;0.8368000;0.7530000;0.8368000;375000
20140428;000000;0.8500000;0.8760000;0.8365000;0.8500000;76000
20140429;000000;0.8499000;0.8500000;0.7899000;0.8148000;23000
20140502;000000;0.7900000;0.7901000;0.7900000;0.7901000;6000
20140505;000000;0.8750000;0.8750000;0.7800000;0.7800000;4000
20140506;000000;0.8754000;0.8755000;0.8754000;0.8755000;11000
20140507;000000;0.7702000;0.7702000;0.7700000;0.7700000;17000
20140508;000000;0.7759000;0.7867000;0.7070000;0.7867000;106000
20140515;000000;0.7333000;0.7333000;0.7333000;0.7333000;1000
20140516;000000;0.7376000;0.7376000;0.6654000;0.6830000;468000
20140519;000000;0.7344000;0.7532000;0.7311000;0.7351000;68000
20140520;000000;0.7000000;0.7099000;0.6708000;0.7014000;34000
20140521;000000;0.7240000;0.7240000;0.7240000;0.7240000;1000
20140522;000000;0.7240000;0.7250000;0.7200000;0.7200000;22000
20140523;000000;0.6957000;0.7200000;0.6955000;0.7101000;30000
20140527;000000;0.7050000;0.7050000;0.6911000;0.6911000;59000
20140528;000000;0.7091000;0.7269000;0.7012000;0.7012000;75000
20140529;000000;0.7268000;0.7279000;0.7268000;0.7279000;18000
20140602;000000;0.7300000;0.7300000;0.7200000;0.7300000;19000
20140604;000000;0.7396000;0.7396000;0.7396000;0.7396000;1000
20140605;000000;0.7200000;0.7396000;0.7200000;0.7311000;14000
20140606;000000;0.7500000;0.7500000;0.7417000;0.7417000;15000
20140609;000000;0.7550000;0.7550000;0.7500000;0.7500000;35000
20140610;000000;0.7353000;0.7695000;0.7353000;0.7532000;31000
20140611;000000;0.7700000;0.8000000;0.7600000;0.7705000;55000
20140616;000000;0.7623000;0.7623000;0.7500000;0.7500000;16000
20140617;000000;0.7511000;0.8243000;0.7501000;0.7906000;75000
20140618;000000;0.8138000;0.8138000;0.8050000;0.8050000;3000
20140619;000000;0.8100000;0.8300000;0.7650000;0.7650000;19000
20140620;000000;0.7701000;0.7701000;0.7701000;0.7701000;3000
20140623;000000;0.7700000;0.8501000;0.7699000;0.8340000;111000
20140624;000000;0.8759000;0.8760000;0.8480000;0.8480000;65000
20140625;000000;0.8360000;0.8623000;0.8027000;0.8400000;234000
20140626;000000;0.8691000;0.8692000;0.8691000;0.8692000;3000
20140627;000000;0.8650000;0.8765000;0.8650000;0.8765000;27000
20140630;000000;0.8765000;0.8850000;0.8185000;0.8723000;61000
20140701;000000;0.8723000;0.8845000;0.8501000;0.8501000;11000
20140703;000000;0.8122000;0.8551000;0.8121000;0.8551000;59000
20140704;000000;0.8542000;0.8542000;0.8265000;0.8265000;21000
20140708;000000;0.8440000;0.8440000;0.8440000;0.8440000;15000
20140710;000000;0.8003000;0.8003000;0.8002000;0.8002000;2000
20140714;000000;0.7981000;0.8357000;0.7800000;0.8357000;128000
20140715;000000;0.9501000;0.9501000;0.8009000;0.8020000;5000
20140716;000000;0.8207000;0.8207000;0.8205000;0.8205000;13000
20140721;000000;0.8205000;0.8205000;0.8205000;0.8205000;1000
20140723;000000;0.8205000;0.8400000;0.7862000;0.7862000;21000
20140725;000000;0.7999000;0.8000000;0.7999000;0.8000000;6000
20140729;000000;0.8188000;0.8952000;0.8188000;0.8700000;31000
20140730;000000;0.8016000;0.8016000;0.8015000;0.8015000;2000
20140801;000000;0.9199000;1.0501000;0.8999000;0.9202000;510000
20140804;000000;0.9301000;0.9301000;0.9003000;0.9003000;10000
20140805;000000;0.9005000;0.9045000;0.8600000;0.8700000;87000
20140806;000000;0.8800000;0.9399000;0.8203000;0.8800000;71000
20140807;000000;0.8800000;0.8800000;0.8530000;0.8531000;78000
20140808;000000;0.8531000;0.8699000;0.8530000;0.8530000;139000
20140811;000000;0.8743000;0.8744000;0.8530000;0.8530000;60000
20140812;000000;0.8535000;0.8535000;0.8535000;0.8535000;1000
20140813;000000;0.8467000;0.8467000;0.8100000;0.8449000;56000
20140814;000000;0.8004000;0.8127000;0.8004000;0.8008000;74000
20140815;000000;0.8005000;0.8200000;0.8005000;0.8200000;11000
20140818;000000;0.8003000;0.8300000;0.8000000;0.8051000;79000
20140819;000000;0.8010000;0.8300000;0.8010000;0.8300000;4000
20140820;000000;0.8128000;0.8128000;0.8128000;0.8128000;3000
20140821;000000;0.8007000;0.8165000;0.8000000;0.8165000;25000
20140822;000000;0.8300000;0.8300000;0.8300000;0.8300000;1000
20140825;000000;0.8246000;0.8250000;0.8246000;0.8250000;2000
20140826;000000;0.8299000;0.8399000;0.8293000;0.8294000;7000
20140827;000000;0.8300000;0.8329000;0.8300000;0.8329000;4000
20140828;000000;0.8200000;0.8200000;0.8140000;0.8140000;2000
20140901;000000;0.7901000;0.7901000;0.7655000;0.7655000;28000
20140903;000000;0.7506000;0.8180000;0.7506000;0.7881000;39000
20140904;000000;0.8158000;0.8299000;0.7855000;0.8299000;23000
20140905;000000;0.8300000;0.8300000;0.8150000;0.8186000;40000
20140908;000000;0.8290000;0.8300000;0.8200000;0.8290000;16000
20140909;000000;0.8200000;0.8200000;0.8200000;0.8200000;5000
20140910;000000;0.8300000;0.8300000;0.8300000;0.8300000;2000
20140911;000000;0.8300000;0.8300000;0.8200000;0.8300000;6000
20140912;000000;0.8200000;0.8200000;0.8200000;0.8200000;2000
20140915;000000;0.8200000;0.8300000;0.8000000;0.8300000;47000
20140916;000000;0.8290000;0.8474000;0.8290000;0.8474000;15000
20140917;000000;0.8490000;0.8500000;0.7799000;0.7889000;105000
20140918;000000;0.8000000;0.8047000;0.7799000;0.7900000;55000
20140919;000000;0.7900000;0.8000000;0.7900000;0.8000000;9000
20140922;000000;0.8100000;0.8500000;0.7900000;0.7900000;34000
20140923;000000;0.7900000;0.8000000;0.7900000;0.8000000;3000
20140924;000000;0.7511000;0.7992000;0.7477000;0.7992000;29000
20140925;000000;0.7502000;0.7550000;0.7130000;0.7450000;56000
20140929;000000;0.7796000;0.7800000;0.7250000;0.7250000;17000
20140930;000000;0.7700000;0.8178000;0.7699000;0.8178000;33000
20141001;000000;0.7600000;0.7600000;0.7600000;0.7600000;1000
20141002;000000;0.7500000;0.7500000;0.7500000;0.7500000;1000
20141003;000000;0.7700000;0.7700000;0.7700000;0.7700000;3000
20141006;000000;0.7520000;0.7520000;0.7110000;0.7120000;16000
20141007;000000;0.7300000;0.7300000;0.7130000;0.7140000;43000
20141008;000000;0.7320000;0.7320000;0.7130000;0.7140000;22000
20141009;000000;0.7200000;0.7200000;0.7200000;0.7200000;8000
20141010;000000;0.7130000;0.7200000;0.7130000;0.7200000;41000
20141013;000000;0.7130000;0.7260000;0.7110000;0.7140000;55000
20141014;000000;0.7200000;0.7220000;0.7100000;0.7220000;75000
20141015;000000;0.7200000;0.7200000;0.7100000;0.7100000;62000
20141017;000000;0.7100000;0.7100000;0.7010000;0.7010000;17000
20141022;000000;0.7300000;0.7400000;0.7200000;0.7400000;70000
20141024;000000;0.7090000;0.7150000;0.7090000;0.7110000;48000
20141027;000000;0.6910000;0.7100000;0.6710000;0.6860000;51000
20141028;000000;0.6700000;0.7100000;0.6700000;0.6700000;29000
