<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140423;000000;1.4100000;1.4100000;1.4100000;1.4100000;71000
20140604;000000;1.4100000;1.4100000;1.4100000;1.4100000;1000
20140703;000000;1.4350000;1.4400000;1.4350000;1.4400000;11000
20140708;000000;1.4415000;1.4460000;1.4415000;1.4460000;15000
20140710;000000;1.4465000;1.4485000;1.4465000;1.4485000;8000
20140718;000000;1.4505000;1.4585000;1.4505000;1.4585000;1380000
20140728;000000;1.4600000;1.4675000;1.4600000;1.4675000;2940000
20140804;000000;1.4675000;1.4765000;1.4675000;1.4765000;7000000
20140808;000000;1.8990000;1.8990000;1.8990000;1.8990000;1000
20140829;000000;1.3000000;1.3000000;1.3000000;1.3000000;1000
20140904;000000;1.4720000;1.4720000;1.4720000;1.4720000;1000
20140909;000000;1.4720000;1.4720000;1.4720000;1.4720000;1000000
20140911;000000;1.4750000;1.4825000;1.4750000;1.4825000;3301000
20141001;000000;1.4800000;1.4800000;1.4800000;1.4800000;1000
20141112;000000;1.4900000;1.4900000;1.4900000;1.4900000;15000
20141124;000000;1.5000000;1.5000000;1.5000000;1.5000000;1000
20141226;000000;1.5000000;1.5000000;1.5000000;1.5000000;70000
