<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;28.0000000;28.0000000;27.0100000;27.6000000;1700
20140109;000000;27.0000000;27.0000000;26.5100000;26.5500000;2700
20140110;000000;26.5600000;27.0000000;26.5600000;27.0000000;2400
20140113;000000;26.5400000;27.0000000;26.5000000;26.5000000;1500
20140115;000000;26.6000000;26.6000000;26.1900000;26.1900000;400
20140120;000000;26.5000000;26.5000000;24.5000000;24.5000000;5000
20140121;000000;24.5500000;27.3000000;24.5500000;24.5600000;1900
20140123;000000;26.4800000;26.8900000;24.9500000;24.9500000;1200
20140124;000000;27.0400000;27.0400000;24.6000000;24.6000000;1100
20140127;000000;24.4500000;25.0000000;24.4500000;24.4500000;1100
20140128;000000;24.2400000;24.3300000;23.0000000;23.3000000;18600
20140130;000000;23.2300000;23.2300000;21.0000000;22.2100000;8300
20140131;000000;21.9900000;22.7500000;21.4300000;22.7500000;500
20140203;000000;22.8900000;22.8900000;21.8000000;21.8000000;900
20140204;000000;22.8500000;23.8000000;22.7900000;23.8000000;12900
20140205;000000;23.3100000;24.7800000;23.3100000;24.7800000;5300
20140206;000000;25.7700000;27.0600000;25.0000000;26.0000000;13900
20140207;000000;26.0000000;26.9900000;26.0000000;26.9900000;200
20140210;000000;26.9700000;29.9100000;26.7500000;26.8000000;2200
20140211;000000;28.0000000;28.0000000;28.0000000;28.0000000;200
20140213;000000;27.0000000;27.0000000;27.0000000;27.0000000;300
20140214;000000;27.9500000;29.8000000;25.0300000;26.0000000;6600
20140217;000000;27.9300000;27.9300000;27.0000000;27.0000000;4000
20140218;000000;25.5100000;28.9000000;24.6700000;24.7500000;18600
20140219;000000;25.0000000;25.0000000;24.3600000;25.0000000;400
20140221;000000;25.0000000;25.5000000;22.5100000;23.6000000;16200
20140225;000000;24.9900000;24.9900000;24.9900000;24.9900000;100
20140227;000000;23.2100000;25.0000000;22.5700000;25.0000000;4600
20140228;000000;23.5600000;24.0000000;23.0000000;24.0000000;1400
20140303;000000;23.5600000;23.5600000;22.0000000;23.5600000;11600
20140304;000000;23.5600000;23.5600000;23.5600000;23.5600000;200
20140305;000000;24.4800000;24.4800000;24.4800000;24.4800000;100
20140306;000000;24.4800000;25.0000000;22.5000000;24.8000000;5100
20140307;000000;24.5100000;25.4500000;24.5000000;24.5000000;1400
