<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;7.0610000;7.1990000;6.7710000;6.7710000;3900
20140108;000000;7.0990000;7.1000000;7.0990000;7.1000000;6400
20140109;000000;7.1500000;8.6590000;7.1500000;7.2500000;13100
20140110;000000;7.3500000;7.4000000;7.2900000;7.3790000;5100
20140113;000000;7.1450000;7.4940000;7.1450000;7.2760000;17600
20140114;000000;7.1300000;7.3000000;7.1300000;7.3000000;2900
20140115;000000;7.1290000;7.1290000;7.1290000;7.1290000;9100
20140116;000000;7.3000000;7.3000000;6.8040000;7.1980000;44400
20140117;000000;6.9510000;7.2000000;6.8560000;7.2000000;6300
20140120;000000;7.8500000;7.8500000;6.9110000;7.5440000;15600
20140121;000000;7.6000000;7.7000000;7.6000000;7.6670000;1300
20140122;000000;7.1800000;7.1800000;7.1800000;7.1800000;300
20140124;000000;7.1680000;7.1680000;5.5700000;6.6670000;165800
20140127;000000;6.5120000;6.8190000;6.1110000;6.7880000;61300
20140128;000000;6.6290000;6.6490000;6.3060000;6.3060000;85300
20140129;000000;6.4000000;6.9000000;6.4000000;6.4020000;10500
20140130;000000;6.5000000;6.8990000;6.4500000;6.4510000;46600
20140203;000000;6.6540000;6.6630000;6.6540000;6.6630000;5000
20140204;000000;6.4000000;6.5200000;6.1000000;6.4990000;31100
20140205;000000;6.5000000;6.6100000;6.5000000;6.5000000;1800
20140206;000000;6.5010000;6.8370000;6.5010000;6.6550000;5800
20140207;000000;6.6090000;6.7800000;6.1350000;6.3810000;17200
20140210;000000;6.2060000;6.4230000;6.1000000;6.4230000;10900
20140211;000000;6.3950000;6.4070000;6.2000000;6.2000000;37500
20140212;000000;6.4370000;6.4480000;6.2000000;6.4480000;21300
20140213;000000;6.3020000;6.5500000;6.2000000;6.3000000;57900
20140214;000000;6.2130000;6.4520000;6.2130000;6.2140000;9800
20140217;000000;6.4000000;6.4790000;6.2100000;6.4290000;20700
20140218;000000;6.6000000;6.6900000;6.5500000;6.5500000;3600
20140219;000000;6.3330000;6.4590000;6.2500000;6.2500000;13300
20140221;000000;6.5490000;6.6440000;6.3600000;6.3600000;33300
20140224;000000;6.5900000;6.5900000;6.5900000;6.5900000;500
20140225;000000;6.4000000;6.6370000;6.4000000;6.6370000;200
20140226;000000;6.5000000;6.5450000;6.4010000;6.5440000;3200
20140227;000000;6.2030000;6.4100000;6.2030000;6.2260000;300
20140228;000000;6.2230000;6.2230000;5.9110000;6.0500000;32200
20140303;000000;6.0730000;6.0980000;5.0010000;5.9000000;80900
20140304;000000;5.8980000;5.8980000;5.3110000;5.3110000;500
20140305;000000;5.5010000;5.6960000;5.5000000;5.6960000;2100
20140306;000000;5.5980000;5.6500000;5.3360000;5.4500000;31900
20140307;000000;5.3120000;6.6500000;5.3120000;6.2010000;165500
20140311;000000;6.4980000;6.4980000;6.0000000;6.0200000;36300
20140312;000000;6.0200000;6.3700000;6.0200000;6.3000000;138700
20140313;000000;6.3870000;6.3890000;5.6510000;5.6510000;38300
20140314;000000;5.9470000;6.1910000;5.3590000;6.0000000;4400
20140317;000000;5.8890000;6.1680000;5.8020000;6.1380000;3800
20140319;000000;6.1680000;6.1680000;5.9980000;5.9980000;16600
20140320;000000;6.1660000;6.1660000;6.0090000;6.0090000;200
20140321;000000;6.0980000;6.1010000;5.7650000;5.7650000;24300
20140324;000000;6.1970000;6.1970000;6.1970000;6.1970000;100
20140325;000000;5.8040000;6.1790000;5.5570000;6.1580000;1800
20140326;000000;6.1560000;6.1560000;6.1560000;6.1560000;100
20140331;000000;6.0000000;6.1020000;5.8520000;6.1020000;2000
20140401;000000;5.8120000;6.2500000;5.8120000;6.1030000;66300
20140402;000000;6.1490000;6.1510000;6.0310000;6.1500000;35900
20140403;000000;6.0480000;6.1490000;6.0480000;6.1490000;4400
20140404;000000;6.0320000;6.1170000;6.0000000;6.1170000;13400
20140407;000000;6.0500000;6.0500000;5.6350000;5.9870000;36100
20140408;000000;5.9000000;5.9000000;5.6110000;5.6110000;30400
