<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.4601000;0.5050000;0.4601000;0.5050000;5000
20140109;000000;0.5106000;0.5124000;0.5100000;0.5124000;30000
20140110;000000;0.5019000;0.5129000;0.5019000;0.5019000;4000
20140113;000000;0.4817000;0.4817000;0.4100000;0.4435000;1463000
20140114;000000;0.4230000;0.4450000;0.4230000;0.4450000;16000
20140115;000000;0.4484000;0.4498000;0.4484000;0.4498000;90000
20140116;000000;0.4499000;0.4800000;0.4499000;0.4766000;32000
20140117;000000;0.4740000;0.4749000;0.4100000;0.4495000;1273000
20140120;000000;0.4740000;0.4741000;0.4501000;0.4687000;28000
20140121;000000;0.4699000;0.5450000;0.4699000;0.4953000;4372000
20140122;000000;0.5100000;0.5498000;0.4900000;0.5300000;1172000
20140123;000000;0.5298000;0.5890000;0.5110000;0.5700000;1007000
20140124;000000;0.5800000;0.5864000;0.5600000;0.5862000;106000
20140127;000000;0.5700000;0.6347000;0.5699000;0.6347000;1169000
20140128;000000;0.6030000;0.6287000;0.6030000;0.6287000;2000
20140129;000000;0.5970000;0.6800000;0.5801000;0.6800000;1355000
20140130;000000;0.6800000;0.7001000;0.5759000;0.7001000;1435000
20140131;000000;0.6998000;0.7473000;0.6500000;0.7473000;488000
20140203;000000;0.7001000;0.7799000;0.7001000;0.7785000;952000
20140204;000000;0.7600000;0.8100000;0.6712000;0.8000000;4163000
20140205;000000;0.7995000;0.8476000;0.7515000;0.7912000;559000
20140206;000000;0.7601000;0.8300000;0.7301000;0.8295000;2378000
20140207;000000;0.7842000;0.8311000;0.7502000;0.8311000;131000
20140210;000000;0.8387000;0.8387000;0.7917000;0.7917000;4000
20140211;000000;0.7350000;0.8000000;0.7200000;0.8000000;18369000
20140212;000000;0.8019000;0.8181000;0.8000000;0.8000000;1525000
20140213;000000;0.8076000;0.9980000;0.8000000;0.8100000;1487000
20140214;000000;0.8000000;0.8040000;0.8000000;0.8000000;826000
20140217;000000;0.8000000;0.8170000;0.8000000;0.8000000;988000
20140218;000000;0.8000000;0.8170000;0.8000000;0.8170000;1001000
20140219;000000;0.8000000;0.8090000;0.8000000;0.8090000;532000
20140220;000000;0.7999000;0.8171000;0.7999000;0.8171000;161000
20140221;000000;0.8081000;0.8120000;0.7910000;0.8120000;1150000
20140224;000000;0.8001000;0.8089000;0.8000000;0.8089000;1371000
20140225;000000;0.7587000;0.8118000;0.7587000;0.8098000;176000
20140226;000000;0.8000000;0.8000000;0.7712000;0.7999000;27000
20140227;000000;0.8120000;0.8120000;0.7100000;0.7400000;819000
20140228;000000;0.7021000;0.7447000;0.6252000;0.7444000;84000
20140303;000000;0.6103000;0.7398000;0.6001000;0.6001000;99000
20140304;000000;0.6290000;0.6848000;0.6000000;0.6697000;35000
20140305;000000;0.6100000;0.6500000;0.6002000;0.6500000;4000
20140306;000000;0.6091000;0.6490000;0.6000000;0.6490000;162000
20140307;000000;0.6001000;0.6580000;0.6001000;0.6580000;2000
20140311;000000;0.6001000;0.6497000;0.6000000;0.6001000;7000
20140312;000000;0.5821000;0.6470000;0.5665000;0.6470000;8000
20140313;000000;0.5702000;0.5800000;0.5011000;0.5496000;682000
20140314;000000;0.5100000;0.5399000;0.5100000;0.5150000;4000
20140317;000000;0.5515000;0.5523000;0.5499000;0.5523000;17000
20140318;000000;0.5700000;0.5700000;0.5700000;0.5700000;1000
20140319;000000;0.5232000;0.5785000;0.5000000;0.5699000;309000
20140320;000000;0.5150000;0.5500000;0.5150000;0.5500000;3000
20140321;000000;0.5445000;0.5445000;0.5445000;0.5445000;1000
20140324;000000;0.5889000;0.5889000;0.5013000;0.5420000;14000
20140325;000000;0.5075000;0.5725000;0.5075000;0.5725000;11000
20140326;000000;0.5744000;0.5744000;0.5739000;0.5739000;2000
20140327;000000;0.5013000;0.5698000;0.5013000;0.5698000;3000
20140328;000000;0.5101000;0.5695000;0.5101000;0.5689000;6000
20140331;000000;0.5746000;0.5746000;0.5102000;0.5712000;236000
20140401;000000;0.5162000;0.5350000;0.5162000;0.5350000;37000
20140402;000000;0.5400000;0.5400000;0.5400000;0.5400000;6000
20140403;000000;0.5712000;0.6389000;0.5211000;0.5706000;721000
20140404;000000;0.5502000;0.6300000;0.5502000;0.6200000;1191000
20140407;000000;0.6295000;0.7950000;0.6295000;0.6600000;1244000
20140408;000000;0.6897000;0.7201000;0.6897000;0.7200000;384000
20140409;000000;0.6602000;0.7501000;0.6602000;0.7500000;397000
20140410;000000;0.7500000;0.7501000;0.7498000;0.7500000;1528000
20140411;000000;0.7001000;0.7500000;0.7001000;0.7500000;105000
20140414;000000;0.7690000;0.8600000;0.7000000;0.7200000;249000
20140415;000000;0.7001000;0.7501000;0.7000000;0.7500000;108000
20140416;000000;0.7500000;0.7501000;0.7500000;0.7501000;102000
20140417;000000;0.7699000;0.7801000;0.7699000;0.7800000;201000
20140418;000000;0.7402000;0.7402000;0.7401000;0.7401000;20000
20140421;000000;0.7899000;0.7900000;0.7899000;0.7900000;5000
20140422;000000;0.7989000;0.8089000;0.7989000;0.8000000;2052000
20140423;000000;0.8000000;0.8000000;0.8000000;0.8000000;269000
20140424;000000;0.7403000;0.7419000;0.7403000;0.7419000;4000
20140425;000000;0.7211000;0.7211000;0.7211000;0.7211000;10000
20140428;000000;0.7001000;0.7001000;0.7001000;0.7001000;1000
20140429;000000;0.7111000;0.7111000;0.7001000;0.7001000;114000
20140430;000000;0.7101000;0.7101000;0.7100000;0.7100000;5000
20140502;000000;0.6675000;0.7001000;0.6675000;0.7001000;2000
20140505;000000;0.7050000;0.7398000;0.7050000;0.7050000;8000
20140506;000000;0.7497000;0.7889000;0.7397000;0.7501000;287000
20140507;000000;0.7959000;0.8000000;0.7959000;0.8000000;301000
20140508;000000;0.7801000;0.8000000;0.7300000;0.8000000;180000
20140512;000000;0.8000000;0.8599000;0.8000000;0.8200000;225000
