<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;1050.0000000;1050.0000000;737.7000000;737.7000000;2
20140108;000000;948.8000000;948.8000000;948.8000000;948.8000000;1
20140109;000000;955.0000000;955.0000000;955.0000000;955.0000000;1
20140113;000000;800.0000000;1080.0000000;800.0000000;1080.0000000;21
20140114;000000;816.0000000;816.0000000;816.0000000;816.0000000;1
20140115;000000;828.0000000;828.0000000;828.0000000;828.0000000;1
20140116;000000;816.1000000;816.1000000;816.1000000;816.1000000;1
20140117;000000;816.0000000;816.0000000;816.0000000;816.0000000;1
20140123;000000;1000.0000000;1000.0000000;1000.0000000;1000.0000000;1
20140124;000000;978.9000000;978.9000000;955.0000000;955.0000000;2
20140127;000000;959.8000000;959.8000000;959.8000000;959.8000000;1
20140203;000000;954.0000000;955.0000000;954.0000000;955.0000000;3
20140228;000000;971.9000000;971.9000000;800.0000000;800.0000000;3
20140303;000000;750.0000000;750.0000000;650.0000000;650.0000000;12
20140307;000000;600.3000000;877.0000000;600.3000000;877.0000000;2
20140312;000000;650.0000000;650.0000000;550.8000000;600.0000000;46
20140313;000000;650.0000000;650.0000000;650.0000000;650.0000000;1
20140320;000000;771.0000000;870.0000000;700.0000000;700.0000000;13
20140324;000000;700.0000000;771.1000000;700.0000000;771.1000000;15
20140326;000000;700.0000000;700.0000000;700.0000000;700.0000000;15
20140327;000000;771.1000000;783.4000000;771.1000000;783.4000000;2
20140331;000000;854.9000000;854.9000000;854.9000000;854.9000000;2
20140401;000000;719.9000000;747.8000000;719.9000000;747.8000000;3
20140403;000000;700.1000000;700.1000000;700.1000000;700.1000000;1
20140407;000000;750.0000000;750.0000000;673.0000000;673.0000000;6
20140408;000000;700.0000000;700.1000000;700.0000000;700.1000000;4
20140409;000000;750.0000000;750.0000000;750.0000000;750.0000000;13
20140414;000000;799.0000000;799.0000000;799.0000000;799.0000000;23
20140422;000000;690.1000000;690.1000000;625.0000000;625.0000000;50
20140423;000000;625.1000000;700.0000000;625.0000000;700.0000000;49
20140424;000000;699.0000000;699.6000000;630.0000000;670.0000000;79
20140425;000000;650.0000000;680.0000000;626.1000000;680.0000000;4
20140428;000000;660.0000000;660.0000000;660.0000000;660.0000000;2
20140502;000000;660.0000000;665.0000000;660.0000000;665.0000000;3
20140506;000000;626.1000000;626.1000000;626.1000000;626.1000000;1
20140507;000000;670.0000000;690.0000000;670.0000000;690.0000000;28
20140508;000000;690.0000000;690.0000000;690.0000000;690.0000000;9
20140513;000000;670.1000000;670.1000000;670.0000000;670.0000000;4
20140520;000000;701.1000000;701.1000000;701.1000000;701.1000000;25
20140521;000000;750.0000000;750.0000000;750.0000000;750.0000000;3
20140527;000000;799.8000000;799.8000000;799.8000000;799.8000000;1
20140528;000000;799.0000000;888.5000000;799.0000000;888.5000000;10
20140603;000000;884.7000000;884.7000000;884.7000000;884.7000000;1
20140606;000000;888.7000000;888.7000000;888.7000000;888.7000000;1
20140611;000000;888.7000000;889.0000000;801.0000000;801.0000000;13
20140617;000000;900.0000000;914.7000000;900.0000000;914.7000000;18
20140620;000000;975.0000000;975.0000000;975.0000000;975.0000000;1
20140625;000000;900.1000000;900.1000000;900.0000000;900.0000000;6
20140627;000000;900.0000000;900.0000000;900.0000000;900.0000000;1
20140630;000000;901.0000000;971.0000000;900.0000000;900.0000000;18
20140701;000000;850.0000000;850.0000000;850.0000000;850.0000000;4
20140703;000000;820.0000000;820.0000000;820.0000000;820.0000000;10
20140704;000000;977.3000000;988.0000000;977.3000000;988.0000000;22
20140717;000000;850.0000000;850.0000000;850.0000000;850.0000000;1
20140718;000000;987.9000000;988.0000000;987.9000000;988.0000000;3
20140721;000000;820.0000000;820.0000000;820.0000000;820.0000000;5
20140722;000000;820.0000000;820.0000000;820.0000000;820.0000000;2
20140729;000000;870.0000000;870.0000000;870.0000000;870.0000000;1
20140731;000000;987.9000000;1019.0000000;940.5000000;1019.0000000;8
20140801;000000;940.1000000;940.1000000;940.1000000;940.1000000;1
20140806;000000;975.0000000;975.0000000;975.0000000;975.0000000;1
20140807;000000;980.0000000;1019.0000000;980.0000000;1019.0000000;40
20140808;000000;1019.0000000;1019.0000000;1019.0000000;1019.0000000;2
20140811;000000;955.0000000;955.0000000;955.0000000;955.0000000;1
20140812;000000;999.0000000;999.0000000;999.0000000;999.0000000;2
20140818;000000;1019.0000000;1028.0000000;1002.0000000;1002.0000000;8
20140820;000000;1028.0000000;1029.4000000;1028.0000000;1029.4000000;5
20140828;000000;1077.7000000;1078.0000000;1077.7000000;1078.0000000;8
20140829;000000;1088.7000000;1088.7000000;1088.7000000;1088.7000000;1
20140903;000000;1030.0000000;1030.0000000;1030.0000000;1030.0000000;1
20140909;000000;1070.0000000;1070.0000000;1070.0000000;1070.0000000;15
20140911;000000;1089.0000000;1089.0000000;1088.7000000;1089.0000000;25
20140912;000000;1148.7000000;1149.0000000;1148.0000000;1149.0000000;9
20140915;000000;1100.0000000;1100.0000000;1050.0000000;1050.0000000;5
20140916;000000;1050.0000000;1050.0000000;1050.0000000;1050.0000000;1
20140917;000000;1100.0000000;1100.0000000;1100.0000000;1100.0000000;4
20140925;000000;1100.0000000;1100.0000000;1100.0000000;1100.0000000;1
20140926;000000;901.0000000;940.0000000;854.0000000;940.0000000;19
20141002;000000;731.0000000;731.0000000;731.0000000;731.0000000;1
20141003;000000;939.0000000;939.0000000;939.0000000;939.0000000;1
20141006;000000;765.0000000;900.0000000;728.0000000;820.0000000;50
20141007;000000;820.0000000;890.0000000;820.0000000;890.0000000;21
20141010;000000;890.0000000;890.0000000;890.0000000;890.0000000;6
20141027;000000;1025.0000000;1125.0000000;1025.0000000;1125.0000000;56
20141103;000000;1120.0000000;1120.0000000;1120.0000000;1120.0000000;1
20141105;000000;1125.0000000;1125.0000000;1125.0000000;1125.0000000;31
20141106;000000;1128.0000000;1160.0000000;901.0000000;1155.0000000;155
20141107;000000;1157.0000000;1160.0000000;1157.0000000;1160.0000000;63
20141111;000000;950.0000000;950.0000000;950.0000000;950.0000000;1
20141112;000000;1100.0000000;1100.0000000;1100.0000000;1100.0000000;2
20141118;000000;901.0000000;901.0000000;900.0000000;900.0000000;4
20141120;000000;875.0000000;875.0000000;875.0000000;875.0000000;1
20141126;000000;876.0000000;876.0000000;730.0000000;875.0000000;60
