<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140108;000000;330.0000000;330.1000000;330.0000000;330.1000000;2
20140110;000000;333.0000000;335.0000000;333.0000000;333.0000000;3
20140120;000000;302.0000000;303.3000000;302.0000000;303.3000000;26
20140121;000000;263.0000000;327.9000000;262.9000000;327.9000000;8
20140123;000000;310.0000000;320.0000000;310.0000000;320.0000000;1001
20140124;000000;338.9000000;392.7000000;320.0000000;333.0000000;19
20140129;000000;303.4000000;337.6000000;303.4000000;337.6000000;11
20140130;000000;335.6000000;335.6000000;335.6000000;335.6000000;4
20140131;000000;320.0000000;320.0000000;320.0000000;320.0000000;1
20140203;000000;305.0000000;305.0000000;279.9000000;279.9000000;250
20140204;000000;266.0000000;266.0000000;244.9000000;258.9000000;1759
20140205;000000;242.1000000;250.0000000;220.0000000;225.5000000;1715
20140206;000000;236.0000000;236.0000000;225.0000000;229.0000000;569
20140207;000000;229.0000000;229.0000000;225.0000000;226.9000000;8
20140210;000000;231.9000000;240.0000000;225.3000000;239.9000000;67
20140211;000000;244.9000000;250.0000000;233.7000000;233.7000000;61
20140212;000000;238.9000000;269.0000000;237.0000000;265.0000000;980
20140213;000000;269.0000000;269.0000000;250.0000000;257.4000000;63
20140214;000000;265.0000000;274.7000000;250.6000000;264.0000000;40
20140218;000000;273.0000000;273.0000000;260.0000000;271.8000000;12
20140219;000000;252.3000000;270.6000000;251.0000000;259.0000000;25
20140220;000000;251.6000000;251.6000000;249.1000000;249.1000000;19
20140221;000000;268.2000000;269.4000000;255.1000000;264.8000000;11
20140224;000000;274.9000000;279.0000000;273.0000000;279.0000000;338
20140225;000000;283.9000000;294.0000000;281.5000000;293.3000000;175
20140226;000000;285.0000000;295.0000000;281.1000000;294.9000000;342
20140227;000000;293.3000000;293.3000000;260.0000000;269.9000000;264
20140228;000000;277.7000000;284.8000000;258.0000000;276.5000000;135
20140303;000000;248.8000000;272.4000000;210.0000000;230.0000000;319
20140304;000000;248.9000000;248.9000000;222.0000000;231.0000000;137
20140305;000000;227.0000000;231.0000000;216.0000000;231.0000000;274
20140306;000000;220.2000000;220.2000000;220.0000000;220.0000000;68
20140307;000000;212.2000000;223.0000000;212.2000000;223.0000000;7
20140311;000000;212.2000000;221.0000000;212.2000000;221.0000000;84
20140313;000000;220.3000000;225.0000000;220.0000000;225.0000000;64
20140314;000000;220.1000000;226.0000000;219.9000000;226.0000000;545
20140318;000000;222.5000000;231.0000000;222.4000000;231.0000000;34
20140319;000000;232.0000000;237.0000000;230.0000000;237.0000000;36
20140320;000000;238.0000000;238.0000000;238.0000000;238.0000000;52
20140321;000000;239.0000000;239.6000000;221.1000000;230.0000000;27
20140325;000000;230.0000000;230.0000000;230.0000000;230.0000000;11
20140326;000000;235.0000000;235.0000000;234.0000000;234.0000000;16
20140327;000000;230.0000000;235.1000000;230.0000000;234.0000000;17
20140328;000000;234.9000000;234.9000000;230.0000000;230.0000000;8
20140331;000000;220.6000000;236.0000000;220.6000000;236.0000000;30
20140401;000000;229.9000000;230.1000000;229.9000000;230.0000000;21
20140402;000000;235.8000000;236.0000000;222.0000000;222.0000000;88
20140403;000000;222.2000000;225.0000000;210.0000000;215.6000000;231
20140404;000000;213.0000000;213.0000000;213.0000000;213.0000000;3
20140407;000000;200.1000000;218.8000000;200.1000000;218.8000000;16
20140408;000000;220.0000000;225.0000000;203.0000000;205.1000000;156
20140409;000000;221.9000000;222.0000000;220.0000000;220.0000000;4
20140410;000000;220.0000000;220.0000000;220.0000000;220.0000000;4
20140417;000000;219.8000000;226.0000000;219.8000000;226.0000000;4
20140418;000000;220.1000000;220.1000000;220.0000000;220.0000000;8
20140421;000000;220.0000000;220.0000000;220.0000000;220.0000000;10
20140424;000000;215.1000000;219.9000000;210.1000000;219.9000000;21
20140502;000000;205.0000000;205.0000000;205.0000000;205.0000000;1
20140505;000000;220.0000000;220.0000000;202.0000000;202.0000000;3
20140507;000000;203.0000000;203.0000000;203.0000000;203.0000000;1
20140508;000000;210.0000000;210.0000000;210.0000000;210.0000000;2
20140513;000000;219.9000000;272.0000000;219.9000000;250.1000000;489
