<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;2.3434000;2.3762000;2.3184000;2.3450000;16352000
20140108;000000;2.3539000;2.3947000;2.3432000;2.3913000;23758000
20140109;000000;2.3897000;2.4686000;2.3860000;2.4552000;27516000
20140110;000000;2.4552000;2.4661000;2.4270000;2.4370000;17767000
20140113;000000;2.4368000;2.4950000;2.4134000;2.4900000;20558000
20140114;000000;2.4523000;2.4945000;2.4503000;2.4945000;10642000
20140115;000000;2.4950000;2.4976000;2.4505000;2.4741000;21369000
20140116;000000;2.4742000;2.4939000;2.3948000;2.4349000;28859000
20140117;000000;2.4317000;2.4799000;2.4200000;2.4797000;23618000
20140120;000000;2.4664000;2.4899000;2.4401000;2.4800000;11503000
20140121;000000;2.4896000;2.5052000;2.4475000;2.4800000;21427000
20140122;000000;2.4814000;2.4909000;2.4659000;2.4767000;14076000
20140123;000000;2.4894000;2.5200000;2.4667000;2.5200000;24521000
20140124;000000;2.5000000;2.5094000;2.4220000;2.4300000;28356000
20140127;000000;2.4219000;2.4600000;2.3636000;2.4096000;32007000
20140128;000000;2.4121000;2.4217000;2.3696000;2.3799000;23318000
20140129;000000;2.3980000;2.4000000;2.3300000;2.3394000;38492000
20140130;000000;2.3396000;2.3432000;2.3005000;2.3225000;21109000
20140131;000000;2.3177000;2.3327000;2.3024000;2.3105000;21574000
20140203;000000;2.3155000;2.3327000;2.2821000;2.2909000;22257000
20140204;000000;2.2850000;2.3400000;2.1623000;2.3265000;80230000
20140205;000000;2.3026000;2.3700000;2.2851000;2.3350000;29266000
20140206;000000;2.3465000;2.3465000;2.3207000;2.3350000;6169000
20140207;000000;2.3449000;2.3460000;2.2974000;2.3131000;21660000
20140210;000000;2.3123000;2.3205000;2.3058000;2.3115000;13948000
20140211;000000;2.3055000;2.3440000;2.3050000;2.3428000;18887000
20140212;000000;2.3312000;2.3429000;2.3100000;2.3188000;14396000
20140213;000000;2.3050000;2.3157000;2.2674000;2.2786000;14010000
20140214;000000;2.2923000;2.2923000;2.2503000;2.2636000;36374000
20140217;000000;2.2730000;2.2908000;2.2216000;2.2377000;16200000
20140218;000000;2.2459000;2.2884000;2.2317000;2.2656000;24300000
20140219;000000;2.2694000;2.2820000;2.2300000;2.2444000;24427000
20140220;000000;2.2353000;2.2525000;2.1919000;2.1999000;21830000
20140221;000000;2.2120000;2.2194000;2.1928000;2.2002000;13081000
20140224;000000;2.1971000;2.2837000;2.1955000;2.2733000;35563000
20140225;000000;2.2858000;2.2860000;2.2500000;2.2600000;16988000
20140226;000000;2.2698000;2.2900000;2.2564000;2.2736000;12101000
20140227;000000;2.2763000;2.2822000;2.2060000;2.2300000;21832000
20140228;000000;2.2341000;2.3065000;2.2013000;2.3065000;37970000
20140303;000000;2.2000000;2.2000000;1.8306000;1.9300000;119613000
20140304;000000;1.9968000;2.1200000;1.9670000;2.1000000;90084000
20140305;000000;2.1098000;2.1200000;2.0613000;2.1109000;31262000
20140306;000000;2.1086000;2.1292000;2.0005000;2.0082000;97256000
20140307;000000;1.9799000;2.1053000;1.9799000;2.0149000;48009000
20140311;000000;2.0203000;2.0900000;1.9910000;1.9910000;64420000
20140312;000000;1.9820000;2.0503000;1.9306000;1.9877000;60061000
20140313;000000;2.0170000;2.0395000;1.9906000;2.0098000;98208000
20140314;000000;1.9605000;1.9900000;1.9407000;1.9769000;107690000
20140317;000000;1.9899000;2.0989000;1.9899000;2.0613000;60373000
20140318;000000;2.0660000;2.1450000;2.0409000;2.1416000;32839000
20140319;000000;2.1500000;2.2199000;2.0712000;2.1400000;60891000
