<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0894000;0.0905800;0.0878200;0.0890200;2484480000
20140108;000000;0.0890300;0.0904900;0.0884300;0.0893900;2463890000
20140109;000000;0.0894000;0.0903000;0.0890400;0.0892000;1267150000
20140110;000000;0.0890200;0.0898300;0.0885300;0.0891000;2051170000
20140113;000000;0.0892000;0.0925000;0.0888200;0.0915500;3464320000
20140114;000000;0.0904400;0.0938900;0.0902300;0.0924400;3755730000
20140115;000000;0.0930000;0.0935500;0.0916100;0.0922900;2153350000
20140116;000000;0.0926900;0.0932700;0.0890800;0.0903000;3279810000
20140117;000000;0.0900600;0.0930000;0.0897100;0.0921000;3393810000
20140120;000000;0.0918400;0.0937500;0.0911600;0.0917000;2467670000
20140121;000000;0.0920400;0.0929100;0.0911300;0.0911800;1949810000
20140122;000000;0.0914200;0.0931700;0.0911000;0.0921000;2981530000
20140123;000000;0.0919000;0.0937300;0.0915600;0.0924200;3924150000
20140124;000000;0.0918200;0.0928500;0.0901100;0.0901700;3330060000
20140127;000000;0.0890000;0.0914800;0.0882000;0.0882000;3745020000
20140128;000000;0.0884300;0.0892500;0.0867000;0.0873500;3303360000
20140129;000000;0.0877700;0.0886900;0.0857000;0.0861000;2655220000
20140130;000000;0.0863400;0.0866100;0.0836500;0.0857700;2989110000
20140131;000000;0.0860400;0.0868900;0.0832600;0.0839800;2517820000
20140203;000000;0.0842700;0.0859900;0.0823200;0.0826300;3912570000
20140204;000000;0.0817500;0.0820000;0.0800000;0.0814000;3293910000
20140205;000000;0.0817600;0.0840000;0.0812200;0.0830000;3377000000
20140206;000000;0.0830000;0.0848800;0.0830000;0.0837500;3023840000
20140207;000000;0.0843300;0.0847900;0.0831300;0.0837000;2265350000
20140210;000000;0.0844300;0.0845000;0.0834000;0.0839900;1475400000
20140211;000000;0.0843900;0.0857000;0.0836000;0.0846800;2698220000
20140212;000000;0.0851000;0.0859600;0.0832400;0.0837500;2163910000
20140213;000000;0.0837500;0.0842600;0.0830300;0.0832000;3663960000
20140214;000000;0.0836000;0.0841200;0.0816000;0.0820200;4445120000
20140217;000000;0.0822500;0.0827500;0.0815100;0.0820700;2621180000
20140218;000000;0.0821900;0.0824700;0.0803300;0.0808500;2911070000
20140219;000000;0.0806300;0.0808700;0.0783100;0.0785800;4063540000
20140220;000000;0.0782800;0.0787800;0.0771200;0.0773000;4983940000
20140221;000000;0.0778500;0.0785000;0.0757500;0.0761800;6459670000
20140224;000000;0.0762000;0.0784800;0.0750900;0.0781500;8548890000
20140225;000000;0.0787200;0.0793600;0.0771800;0.0775600;4015110000
20140226;000000;0.0777400;0.0781700;0.0758000;0.0758200;2852550000
20140227;000000;0.0760800;0.0763900;0.0703100;0.0709000;9406640000
20140228;000000;0.0711700;0.0713000;0.0670000;0.0702500;9517060000
20140303;000000;0.0662300;0.0667300;0.0517900;0.0549000;13637760000
20140304;000000;0.0564000;0.0597500;0.0534000;0.0592500;12423610000
20140305;000000;0.0597500;0.0604800;0.0575400;0.0580000;5719700000
20140306;000000;0.0581300;0.0589500;0.0511200;0.0554100;7494170000
20140307;000000;0.0552400;0.0569700;0.0543500;0.0549700;6297310000
20140311;000000;0.0546800;0.0574700;0.0537300;0.0563700;5859520000
20140312;000000;0.0561600;0.0577700;0.0545500;0.0559600;4900030000
20140313;000000;0.0561000;0.0577700;0.0522500;0.0527000;5697670000
20140314;000000;0.0511000;0.0515000;0.0465000;0.0507800;9066890000
20140317;000000;0.0510200;0.0552400;0.0501400;0.0546300;9724000000
20140318;000000;0.0554600;0.0595000;0.0546800;0.0591200;8900370000
20140319;000000;0.0594100;0.0644800;0.0583000;0.0626200;13742270000
20140320;000000;0.0615700;0.0639300;0.0601200;0.0616200;6486360000
20140321;000000;0.0598100;0.0638000;0.0594100;0.0637000;8713520000
20140324;000000;0.0637000;0.0696000;0.0637000;0.0690100;12380610000
20140325;000000;0.0687900;0.0741900;0.0674200;0.0705300;13715460000
20140326;000000;0.0717000;0.0728800;0.0685000;0.0700000;9902350000
20140327;000000;0.0691200;0.0714900;0.0690000;0.0700700;5395100000
20140328;000000;0.0702800;0.0718000;0.0698300;0.0708800;3570090000
20140331;000000;0.0711100;0.0769900;0.0695800;0.0769900;7605320000
20140401;000000;0.0775400;0.0805700;0.0768300;0.0777000;8042910000
20140402;000000;0.0780000;0.0783100;0.0751000;0.0770000;5755590000
20140403;000000;0.0775000;0.0782900;0.0759000;0.0766900;2612810000
20140404;000000;0.0768500;0.0775000;0.0730500;0.0743800;7023070000
20140407;000000;0.0733700;0.0733800;0.0670400;0.0688800;10308490000
20140408;000000;0.0688800;0.0699900;0.0655600;0.0679500;7111080000
20140409;000000;0.0682800;0.0694000;0.0673300;0.0691700;5957140000
20140410;000000;0.0698200;0.0716700;0.0691200;0.0695000;8344120000
20140411;000000;0.0680000;0.0692900;0.0671100;0.0678100;5540380000
20140414;000000;0.0670700;0.0676900;0.0659000;0.0674000;3807900000
20140415;000000;0.0673900;0.0681400;0.0631400;0.0631400;6824820000
20140416;000000;0.0636200;0.0667200;0.0633200;0.0655300;9806800000
20140417;000000;0.0657600;0.0671300;0.0645700;0.0655900;5778050000
