<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;3.9950000;3.9950000;3.8700000;3.8800000;4500
20140108;000000;3.8600000;3.9980000;3.8600000;3.9330000;33200
20140109;000000;3.9300000;4.0000000;3.8670000;4.0000000;318000
20140110;000000;3.9930000;4.0430000;3.8770000;3.9000000;495700
20140113;000000;3.9000000;3.9000000;3.8820000;3.8970000;25800
20140114;000000;3.8970000;3.9000000;3.8580000;3.8990000;393900
20140115;000000;3.9000000;3.9000000;3.8600000;3.8970000;158000
20140116;000000;3.8650000;3.8770000;3.7050000;3.8770000;89700
20140117;000000;3.8160000;4.0050000;3.8150000;3.9590000;218600
20140120;000000;3.8800000;3.9290000;3.8600000;3.9080000;106400
20140121;000000;3.8650000;3.9210000;3.7920000;3.8490000;260400
20140122;000000;3.7650000;3.8880000;3.7600000;3.8620000;15100
20140123;000000;3.8210000;3.8740000;3.8210000;3.8740000;2500
20140124;000000;3.7680000;3.8000000;3.7500000;3.7940000;174500
20140127;000000;3.7320000;3.7800000;3.6600000;3.7400000;1019800
20140128;000000;3.7030000;3.7030000;3.6020000;3.6950000;213200
20140129;000000;3.6950000;3.7320000;3.6600000;3.6820000;203800
20140130;000000;3.7370000;3.7750000;3.6800000;3.6850000;889100
20140131;000000;3.6850000;3.7240000;3.6800000;3.6800000;219500
20140203;000000;3.6820000;3.6820000;3.5770000;3.6690000;59600
20140204;000000;3.6320000;3.7000000;3.4520000;3.5980000;861500
20140205;000000;3.5690000;3.6110000;3.5150000;3.5990000;172800
20140206;000000;3.6000000;3.6000000;3.5500000;3.5990000;148400
20140207;000000;3.5990000;3.6000000;3.5000000;3.5500000;384200
20140210;000000;3.5750000;3.5840000;3.4000000;3.4490000;198100
20140211;000000;3.4510000;3.5180000;3.3900000;3.5180000;451200
20140212;000000;3.4950000;3.6000000;3.4900000;3.5920000;285000
20140213;000000;3.5600000;3.5600000;3.3180000;3.3340000;2170600
20140214;000000;3.3360000;3.3900000;3.3000000;3.3890000;670000
20140217;000000;3.3350000;3.4710000;3.3350000;3.4270000;581800
20140218;000000;3.4560000;3.5500000;3.4480000;3.5290000;469300
20140219;000000;3.5290000;3.6000000;3.4000000;3.5440000;638900
20140220;000000;3.5430000;3.5860000;3.5000000;3.5720000;289200
20140221;000000;3.5750000;3.6940000;3.5400000;3.6750000;1296300
20140224;000000;3.6180000;3.7750000;3.6180000;3.7210000;480500
20140225;000000;3.6660000;3.7290000;3.6500000;3.7000000;647400
20140226;000000;3.7200000;3.8380000;3.5500000;3.6820000;548800
20140227;000000;3.7220000;3.7500000;3.5770000;3.6600000;460100
20140228;000000;3.7000000;3.7300000;3.5210000;3.6480000;856700
20140303;000000;3.4510000;3.5020000;3.1000000;3.3200000;725500
20140304;000000;3.4870000;3.6000000;3.3900000;3.5800000;356800
20140305;000000;3.6490000;3.7310000;3.6490000;3.6930000;169800
20140306;000000;3.7490000;3.8010000;3.5500000;3.7400000;271000
20140307;000000;3.5260000;3.7500000;3.5260000;3.6990000;321200
20140311;000000;3.6030000;3.6990000;3.5960000;3.5960000;1300
20140312;000000;3.5120000;3.6490000;3.4000000;3.4000000;58100
20140313;000000;3.4990000;3.5700000;3.2300000;3.2400000;341800
20140314;000000;3.2350000;3.4040000;3.2000000;3.3290000;802800
20140317;000000;3.3930000;3.5580000;3.3000000;3.4800000;24700
20140318;000000;3.5600000;3.7300000;3.4030000;3.5490000;95700
20140319;000000;3.4510000;3.7990000;3.4500000;3.6000000;21000
20140320;000000;3.4110000;3.8000000;3.4110000;3.7400000;246800
20140321;000000;3.6990000;3.7000000;3.6990000;3.7000000;30000
20140324;000000;3.7990000;3.7990000;3.6030000;3.6960000;53500
20140325;000000;3.7800000;3.7990000;3.6210000;3.7290000;261200
20140326;000000;3.8120000;3.8120000;3.5200000;3.5520000;226600
20140327;000000;3.5440000;3.5440000;3.4080000;3.4920000;60600
20140328;000000;3.4880000;3.5370000;3.3900000;3.4500000;207500
20140331;000000;3.4790000;3.5990000;3.3900000;3.4400000;194800
20140401;000000;3.5260000;3.5260000;3.4040000;3.4100000;4800
20140402;000000;3.4200000;3.4500000;3.4190000;3.4500000;25000
20140403;000000;3.4150000;3.4460000;3.4010000;3.4370000;8600
20140404;000000;3.4030000;3.4790000;3.3900000;3.4740000;147900
20140407;000000;3.4000000;3.4000000;3.3000000;3.3870000;61900
20140408;000000;3.4000000;3.4000000;3.3100000;3.3780000;800
20140409;000000;3.4380000;3.4380000;3.2500000;3.2500000;122200
20140410;000000;3.2960000;3.3860000;3.2000000;3.2100000;1546200
20140411;000000;3.1920000;3.2250000;3.1340000;3.1730000;1568700
20140414;000000;3.1960000;3.2000000;3.1600000;3.1600000;28200
20140415;000000;3.1760000;3.1960000;3.0410000;3.1630000;128400
20140416;000000;3.0570000;3.1440000;3.0240000;3.1440000;28300
20140417;000000;3.1530000;3.2000000;3.0920000;3.1500000;83000
20140418;000000;3.1590000;3.2490000;3.1590000;3.2000000;3395200
20140421;000000;3.1990000;3.2000000;3.1760000;3.1940000;65900
20140422;000000;3.1720000;3.1990000;3.1700000;3.1880000;30900
20140423;000000;3.1990000;3.1990000;3.0600000;3.1850000;57000
20140424;000000;3.1930000;3.1990000;3.0700000;3.1690000;119800
20140425;000000;3.1050000;3.1050000;3.0500000;3.1000000;34500
20140428;000000;3.0250000;3.0610000;2.9500000;2.9700000;181300
