<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;750.0000000;785.0000000;750.0000000;750.1000000;690
20140109;000000;799.9000000;819.9000000;799.9000000;819.9000000;350
20140110;000000;780.0000000;780.0000000;780.0000000;780.0000000;20
20140115;000000;790.0000000;790.0000000;790.0000000;790.0000000;10
20140116;000000;742.4000000;742.4000000;742.2000000;742.2000000;80
20140117;000000;798.0000000;829.8000000;798.0000000;819.8000000;30
20140124;000000;845.8000000;850.0000000;845.8000000;850.0000000;4980
20140127;000000;835.0000000;835.0000000;757.1000000;757.1000000;110
20140128;000000;829.2000000;848.8000000;829.2000000;848.8000000;30
20140129;000000;847.7000000;850.0000000;847.7000000;850.0000000;120
20140130;000000;848.0000000;848.0000000;762.0000000;837.9000000;550
20140131;000000;747.7000000;838.6000000;747.7000000;838.6000000;120
20140203;000000;879.8000000;879.8000000;879.8000000;879.8000000;10
20140204;000000;776.0000000;877.9000000;751.0000000;785.0000000;1490
20140205;000000;764.1000000;764.1000000;759.9000000;760.0000000;780
20140207;000000;745.1000000;850.0000000;745.1000000;850.0000000;1010
20140211;000000;801.7000000;801.7000000;801.5000000;801.5000000;30
20140212;000000;801.3000000;801.4000000;801.3000000;801.4000000;130
20140213;000000;801.0000000;801.0000000;790.0000000;790.0000000;70
20140218;000000;795.0000000;800.1000000;795.0000000;800.1000000;50
20140219;000000;830.0000000;830.0000000;800.0000000;800.0000000;310
20140220;000000;766.0000000;798.8000000;766.0000000;798.8000000;50
20140225;000000;798.0000000;798.0000000;798.0000000;798.0000000;50
20140227;000000;750.1000000;780.0000000;749.0000000;780.0000000;300
20140228;000000;740.0000000;740.0000000;700.0000000;720.0000000;390
20140303;000000;607.7000000;644.0000000;607.5000000;636.2000000;2650
20140304;000000;696.0000000;700.0000000;696.0000000;700.0000000;310
20140305;000000;634.8000000;634.8000000;634.8000000;634.8000000;10
20140307;000000;650.0000000;695.5000000;625.1000000;695.5000000;70
20140312;000000;798.3000000;798.3000000;616.9000000;625.0000000;50
20140313;000000;620.0000000;641.1000000;620.0000000;641.1000000;20
