<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;584.0000000;587.2000000;584.0000000;584.9000000;513
20140108;000000;575.2000000;575.2000000;563.0000000;563.0000000;159
20140109;000000;584.8000000;584.9000000;560.1000000;569.9000000;116
20140110;000000;569.5000000;579.8000000;569.5000000;579.6000000;2599
20140113;000000;574.8000000;574.8000000;556.1000000;557.1000000;2150
20140114;000000;565.7000000;578.5000000;565.7000000;578.3000000;942
20140115;000000;570.2000000;580.0000000;560.1000000;580.0000000;1690
20140116;000000;597.9000000;599.6000000;579.1000000;588.0000000;119
20140117;000000;585.0000000;592.1000000;585.0000000;592.1000000;3664
20140120;000000;599.9000000;609.9000000;592.5000000;605.0000000;6516
20140121;000000;605.0000000;610.7000000;600.0000000;610.7000000;8523
20140122;000000;610.2000000;612.0000000;605.0000000;612.0000000;5715
20140123;000000;619.9000000;642.9000000;605.3000000;615.0000000;4332
20140124;000000;610.0000000;624.0000000;600.6000000;619.7000000;572
20140127;000000;615.0000000;615.0000000;597.3000000;614.8000000;31
20140128;000000;642.6000000;642.6000000;595.0000000;595.0000000;7062
20140129;000000;595.0000000;613.0000000;587.6000000;613.0000000;18364
20140130;000000;612.8000000;612.8000000;600.0000000;600.0000000;114
20140131;000000;590.0000000;605.0000000;590.0000000;592.8000000;155
20140203;000000;590.7000000;590.8000000;590.7000000;590.8000000;57
20140204;000000;586.1000000;607.0000000;565.2000000;603.7000000;1844
20140205;000000;608.6000000;623.0000000;608.1000000;608.1000000;1076
20140206;000000;618.0000000;629.0000000;605.1000000;605.1000000;22
20140207;000000;628.8000000;628.8000000;606.2000000;617.8000000;10
20140210;000000;612.7000000;628.8000000;612.7000000;628.8000000;47
20140211;000000;622.9000000;623.0000000;610.3000000;617.8000000;71
20140212;000000;620.0000000;623.3000000;611.3000000;611.3000000;150
20140213;000000;610.5000000;610.5000000;603.1000000;609.6000000;157
20140214;000000;641.7000000;641.7000000;600.0000000;613.2000000;473
20140217;000000;600.2000000;614.0000000;600.2000000;611.7000000;130
20140218;000000;591.1000000;613.4000000;591.0000000;596.0000000;294
20140219;000000;637.0000000;640.6000000;637.0000000;640.6000000;2
20140220;000000;611.2000000;613.0000000;601.0000000;607.6000000;201
20140221;000000;600.5000000;613.0000000;600.5000000;613.0000000;249
20140224;000000;609.2000000;609.2000000;609.2000000;609.2000000;1
20140225;000000;609.2000000;609.2000000;597.3000000;604.0000000;343
20140226;000000;602.3000000;609.9000000;602.2000000;609.9000000;344
20140227;000000;608.0000000;608.0000000;604.3000000;607.2000000;589
20140228;000000;605.9000000;611.5000000;605.9000000;606.2000000;687
20140303;000000;580.6000000;590.0000000;511.0000000;520.0000000;2939
20140304;000000;521.2000000;562.4000000;520.0000000;550.0000000;48
20140305;000000;542.1000000;564.6000000;542.1000000;564.6000000;3
20140306;000000;568.9000000;569.0000000;550.3000000;550.3000000;64
20140307;000000;535.3000000;574.8000000;535.0000000;565.3000000;22
20140311;000000;540.1000000;566.8000000;540.0000000;566.8000000;11
20140312;000000;535.1000000;565.6000000;522.1000000;559.4000000;388
20140313;000000;564.4000000;564.4000000;520.0000000;540.0000000;466
20140314;000000;520.3000000;539.0000000;510.0000000;528.0000000;1265
20140317;000000;506.9000000;614.1000000;505.1000000;614.1000000;521
20140318;000000;571.0000000;617.8000000;570.0000000;617.8000000;769
20140319;000000;585.3000000;630.0000000;523.1000000;630.0000000;2936
20140320;000000;630.0000000;643.0000000;601.0000000;630.0000000;718
20140321;000000;640.0000000;646.0000000;616.1000000;633.0000000;25
20140324;000000;635.6000000;635.6000000;618.0000000;618.0000000;503
20140325;000000;619.9000000;620.0000000;601.0000000;610.1000000;1060
20140326;000000;580.5000000;619.9000000;570.0000000;619.5000000;1176
20140327;000000;619.9000000;649.5000000;574.1000000;590.0000000;1050
20140328;000000;599.8000000;600.0000000;560.3000000;560.3000000;678
20140331;000000;587.7000000;598.2000000;550.1000000;581.1000000;414
20140401;000000;562.5000000;586.0000000;550.6000000;561.1000000;813
20140402;000000;552.3000000;568.1000000;552.3000000;555.6000000;455
20140403;000000;568.6000000;582.3000000;551.7000000;554.3000000;211
20140404;000000;573.7000000;574.7000000;556.1000000;574.7000000;81
20140407;000000;555.3000000;570.0000000;555.0000000;567.0000000;529
20140408;000000;560.3000000;560.3000000;555.0000000;558.0000000;549
20140409;000000;558.0000000;575.0000000;558.0000000;575.0000000;1023
20140410;000000;565.0000000;591.4000000;556.5000000;558.4000000;3869
20140411;000000;564.9000000;639.9000000;564.9000000;574.9000000;355
20140414;000000;565.1000000;565.1000000;550.0000000;557.0000000;278
20140415;000000;550.6000000;570.3000000;550.0000000;554.2000000;1684
20140416;000000;561.3000000;569.6000000;549.9000000;566.2000000;1143
20140417;000000;557.8000000;557.8000000;550.1000000;550.1000000;19
20140418;000000;560.0000000;564.0000000;560.0000000;564.0000000;1159
20140421;000000;556.0000000;567.9000000;556.0000000;567.9000000;288
20140422;000000;564.2000000;564.2000000;555.1000000;560.0000000;538
20140423;000000;554.8000000;560.3000000;554.8000000;560.0000000;353
20140424;000000;573.0000000;639.1000000;530.2000000;579.3000000;394
20140425;000000;570.3000000;570.3000000;560.0000000;560.0000000;303
20140428;000000;575.0000000;600.1000000;574.0000000;600.0000000;258
20140429;000000;598.8000000;600.1000000;560.2000000;580.1000000;244
20140430;000000;588.8000000;600.1000000;588.8000000;600.0000000;620
20140502;000000;589.2000000;589.5000000;571.2000000;571.2000000;19
20140505;000000;596.7000000;609.7000000;596.7000000;609.7000000;1263
20140506;000000;610.0000000;612.8000000;600.0000000;612.8000000;3624
20140507;000000;599.9000000;612.0000000;599.9000000;612.0000000;4896
20140508;000000;600.1000000;613.0000000;600.0000000;613.0000000;881
20140512;000000;619.9000000;620.0000000;580.7000000;600.0000000;140
20140513;000000;599.8000000;600.0000000;585.0000000;586.2000000;193
20140514;000000;581.0000000;589.6000000;564.5000000;584.9000000;738
20140515;000000;584.6000000;584.7000000;565.0000000;573.6000000;149
20140516;000000;578.9000000;578.9000000;568.1000000;573.2000000;38
20140519;000000;578.7000000;579.8000000;577.5000000;578.2000000;42
20140520;000000;588.8000000;588.8000000;565.0000000;574.0000000;287
20140521;000000;573.1000000;574.0000000;566.0000000;574.0000000;381
20140522;000000;567.2000000;597.6000000;555.9000000;570.0000000;426
20140523;000000;570.6000000;592.2000000;559.0000000;592.2000000;336
20140526;000000;578.6000000;600.0000000;578.6000000;580.0000000;1228
20140527;000000;565.3000000;585.0000000;560.7000000;585.0000000;1909
20140528;000000;598.9000000;612.6000000;586.7000000;586.7000000;24
20140529;000000;600.9000000;604.9000000;593.0000000;593.0000000;2451
20140530;000000;603.6000000;604.6000000;590.0000000;590.3000000;1885
20140602;000000;601.4000000;602.3000000;592.5000000;600.0000000;1066
20140603;000000;590.3000000;605.0000000;590.0000000;605.0000000;20104
