<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;5351.0000000;5359.0000000;5237.0000000;5280.0000000;208691
20140108;000000;5278.0000000;5283.0000000;5144.0000000;5150.0000000;190700
20140109;000000;5149.0000000;5166.0000000;5135.0000000;5140.0000000;213836
20140110;000000;5133.0000000;5219.0000000;5123.0000000;5215.0000000;250629
20140113;000000;5231.0000000;5473.0000000;5224.0000000;5469.0000000;667268
20140114;000000;5417.0000000;5438.0000000;5362.0000000;5391.0000000;416070
20140115;000000;5410.0000000;5445.0000000;5382.0000000;5438.0000000;321851
20140116;000000;5447.0000000;5494.0000000;5415.0000000;5470.0000000;320062
20140117;000000;5475.0000000;5560.0000000;5441.0000000;5528.0000000;401407
20140120;000000;5504.0000000;5560.0000000;5497.0000000;5543.0000000;193099
20140121;000000;5562.0000000;5610.0000000;5552.0000000;5596.0000000;278476
20140122;000000;5601.0000000;5606.0000000;5525.0000000;5547.0000000;358734
20140123;000000;5538.0000000;5566.0000000;5467.0000000;5520.0000000;349275
20140124;000000;5484.0000000;5536.0000000;5470.0000000;5505.0000000;404463
20140127;000000;5469.0000000;5508.0000000;5435.0000000;5459.0000000;335722
20140128;000000;5461.0000000;5500.0000000;5340.0000000;5341.0000000;412099
20140129;000000;5379.0000000;5449.0000000;5312.0000000;5332.0000000;464700
20140130;000000;5335.0000000;5395.0000000;5275.0000000;5371.0000000;538977
20140131;000000;5374.0000000;5498.0000000;5358.0000000;5378.0000000;639078
20140203;000000;5407.0000000;5423.0000000;5305.0000000;5320.0000000;282018
20140204;000000;5285.0000000;5358.0000000;5233.0000000;5330.0000000;452400
20140205;000000;5338.0000000;5443.0000000;5330.0000000;5439.0000000;350347
20140206;000000;5454.0000000;5519.0000000;5410.0000000;5514.0000000;380912
20140207;000000;5534.0000000;5607.0000000;5513.0000000;5603.0000000;446934
20140210;000000;5600.0000000;5664.0000000;5561.0000000;5579.0000000;276977
20140211;000000;5585.0000000;5595.0000000;5536.0000000;5561.0000000;352707
20140212;000000;5583.0000000;5618.0000000;5580.0000000;5593.0000000;181939
20140213;000000;5579.0000000;5619.0000000;5556.0000000;5578.0000000;272825
20140214;000000;5599.0000000;5694.0000000;5590.0000000;5694.0000000;361518
20140217;000000;5703.0000000;5785.0000000;5701.0000000;5760.0000000;267052
20140218;000000;5780.0000000;5837.0000000;5760.0000000;5814.0000000;341533
20140219;000000;5800.0000000;5837.0000000;5786.0000000;5835.0000000;456864
20140220;000000;5808.0000000;5850.0000000;5750.0000000;5832.0000000;438808
20140221;000000;5853.0000000;5906.0000000;5844.0000000;5899.0000000;324967
20140224;000000;5895.0000000;5962.0000000;5866.0000000;5946.0000000;305815
20140225;000000;5956.0000000;5972.0000000;5877.0000000;5910.0000000;369930
20140226;000000;5910.0000000;5927.0000000;5803.0000000;5865.0000000;428829
20140227;000000;5843.0000000;5897.0000000;5830.0000000;5870.0000000;542482
20140228;000000;5890.0000000;5997.0000000;5851.0000000;5980.0000000;507957
20140303;000000;5850.0000000;5887.0000000;5566.0000000;5699.0000000;1523017
20140304;000000;5630.0000000;5947.0000000;5623.0000000;5936.0000000;663779
20140305;000000;5934.0000000;6027.0000000;5815.0000000;5990.0000000;482390
20140306;000000;6006.0000000;6197.0000000;5986.0000000;6186.0000000;855324
