<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;19.0020000;19.2980000;18.8030000;19.0990000;1400
20140108;000000;19.0020000;19.4330000;19.0020000;19.1120000;2900
20140109;000000;19.0010000;19.3480000;19.0000000;19.2940000;1900
20140110;000000;18.8180000;19.3280000;18.7500000;19.0000000;39800
20140113;000000;18.0750000;18.9950000;18.0750000;18.8970000;73300
20140114;000000;18.7000000;18.8970000;18.4990000;18.6920000;56400
20140115;000000;18.4500000;18.6000000;18.3010000;18.3750000;27700
20140116;000000;18.3050000;18.3100000;17.8000000;18.2420000;88400
20140117;000000;18.0000000;18.3970000;18.0000000;18.0010000;36900
20140120;000000;17.8010000;18.2000000;17.5000000;18.1860000;44400
20140121;000000;18.0000000;18.2590000;18.0000000;18.0080000;22100
20140122;000000;18.0000000;18.2320000;17.8000000;18.1970000;24900
20140123;000000;18.0000000;18.0000000;18.0000000;18.0000000;20100
20140124;000000;17.9000000;17.9920000;17.6500000;17.9830000;43900
20140127;000000;17.7000000;18.0000000;17.6190000;18.0000000;29400
20140128;000000;17.8500000;18.0000000;17.6540000;17.7000000;23700
20140129;000000;17.8000000;17.9440000;17.5000000;17.5000000;38500
20140130;000000;17.5500000;17.5500000;17.1500000;17.4250000;27500
20140131;000000;17.4000000;18.1810000;17.3000000;17.5000000;39500
20140203;000000;17.5000000;17.8620000;17.3110000;17.7000000;22900
20140204;000000;17.9000000;18.1200000;17.0150000;17.9700000;68900
20140205;000000;17.5010000;17.9490000;17.3000000;17.9490000;13900
20140206;000000;17.6020000;17.7150000;17.4110000;17.7150000;4800
20140207;000000;17.4550000;17.4550000;16.9940000;17.1500000;46600
20140210;000000;17.1500000;17.1500000;16.9000000;17.1490000;7300
20140211;000000;17.4960000;17.6950000;17.1200000;17.1250000;69900
20140212;000000;17.3010000;17.6970000;17.3010000;17.6970000;1800
20140213;000000;17.6890000;18.8990000;17.6890000;18.1000000;120700
20140214;000000;18.4470000;18.4510000;18.0020000;18.4270000;6300
20140217;000000;18.4250000;18.7900000;18.0570000;18.3000000;9700
20140218;000000;18.4930000;18.8050000;18.0110000;18.4690000;24400
20140219;000000;18.5640000;18.5640000;17.5000000;17.8850000;32400
20140220;000000;18.1710000;18.1710000;17.7500000;17.8490000;500
20140221;000000;18.0000000;18.0000000;18.0000000;18.0000000;800
20140224;000000;17.9670000;17.9680000;17.8110000;17.9680000;1900
20140225;000000;17.8530000;17.8530000;17.7210000;17.7210000;500
20140227;000000;17.7220000;17.9750000;17.4680000;17.7850000;1200
20140228;000000;17.4020000;18.1790000;17.2710000;17.9670000;11900
20140303;000000;16.4400000;16.8400000;14.2050000;15.0580000;33300
20140304;000000;15.0220000;17.4200000;14.0000000;16.0000000;51900
20140305;000000;15.5120000;15.5120000;13.1050000;14.1050000;44700
20140306;000000;14.8970000;14.8970000;13.3000000;13.9000000;29000
