<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;54.5300000;56.3900000;54.5300000;56.3900000;13730
20140108;000000;56.8800000;56.8800000;55.5000000;55.8000000;15030
20140109;000000;53.0600000;55.0800000;53.0600000;55.0800000;5680
20140110;000000;54.3600000;55.7000000;54.3600000;55.7000000;9320
20140113;000000;55.4600000;55.7000000;54.8600000;54.8700000;6100
20140114;000000;54.6500000;56.8600000;54.6500000;56.7500000;11880
20140115;000000;56.4500000;60.0100000;55.7800000;57.7000000;13850
20140116;000000;58.2100000;58.2100000;56.5500000;56.5500000;7440
20140117;000000;56.3000000;57.6800000;56.3000000;57.6800000;5070
20140120;000000;57.4300000;57.6800000;57.0400000;57.5000000;5160
20140121;000000;57.2500000;62.4800000;57.2500000;60.0100000;10340
20140122;000000;60.1700000;61.9300000;59.5600000;59.5800000;5200
20140123;000000;59.7700000;62.3000000;59.7700000;62.3000000;6920
20140124;000000;61.5500000;62.2000000;59.9500000;59.9500000;8380
20140127;000000;59.6100000;60.7000000;59.0000000;60.0100000;17050
20140128;000000;60.5400000;65.0000000;60.5400000;61.3300000;10830
20140129;000000;61.5300000;67.9600000;60.5600000;64.5500000;43330
20140130;000000;64.2100000;66.8500000;62.4800000;66.0000000;46770
20140131;000000;66.1300000;67.5000000;65.2200000;65.5000000;46340
20140203;000000;65.2200000;65.2200000;62.6100000;62.6100000;18610
20140204;000000;63.9900000;73.0700000;62.1100000;64.0000000;11230
20140205;000000;64.5400000;65.4000000;64.2100000;64.9500000;5100
20140206;000000;64.3100000;65.2400000;64.3100000;65.0000000;88840
20140207;000000;65.5700000;66.0500000;64.2600000;64.5000000;20010
20140210;000000;64.9700000;65.9200000;63.8000000;64.3900000;6620
20140211;000000;64.6300000;65.7400000;64.0100000;65.7400000;5160
20140212;000000;65.7700000;67.1300000;63.3700000;66.7500000;21800
20140213;000000;66.1700000;66.7000000;65.0000000;66.2700000;50120
20140214;000000;63.6000000;66.7400000;63.6000000;66.7400000;5960
20140217;000000;65.9000000;69.0000000;65.2500000;69.0000000;23750
20140218;000000;69.5400000;69.5400000;67.1500000;67.1500000;24550
20140219;000000;65.9000000;67.7000000;63.9100000;63.9100000;128600
20140220;000000;65.0000000;66.2000000;65.0000000;65.1000000;31110
20140221;000000;65.8900000;66.5000000;65.8900000;66.1000000;37180
20140224;000000;66.5000000;66.5000000;65.0300000;66.5000000;45260
20140225;000000;66.5000000;68.5000000;66.5000000;68.5000000;27800
20140226;000000;67.0100000;68.5000000;66.5300000;67.9900000;57270
20140227;000000;66.8900000;73.0000000;65.0000000;68.1000000;168910
20140228;000000;63.0100000;70.0000000;63.0100000;67.8200000;8930
20140303;000000;62.0400000;68.9900000;62.0400000;64.0500000;39030
20140304;000000;64.0000000;68.9700000;58.0000000;66.9700000;14170
20140305;000000;69.9900000;69.9900000;66.4900000;68.6800000;11140
20140306;000000;70.0000000;72.9400000;65.2000000;70.0000000;16080
20140307;000000;72.9600000;72.9600000;66.8800000;68.3500000;80100
20140311;000000;68.0000000;69.3000000;68.0000000;68.0000000;6510
20140312;000000;66.0000000;69.0000000;66.0000000;67.5000000;55950
20140313;000000;67.5000000;69.8000000;64.0100000;68.3900000;160350
20140314;000000;68.3900000;68.3900000;60.5600000;64.0000000;15110
20140317;000000;69.0000000;69.3900000;67.0000000;68.1000000;5730
20140318;000000;68.5700000;72.9000000;66.3900000;72.9000000;6860
20140319;000000;66.6300000;68.5900000;66.3000000;67.9200000;15490
20140320;000000;69.9800000;74.7900000;67.7200000;68.9900000;18660
20140321;000000;72.0000000;72.8000000;67.0600000;71.0000000;19090
20140324;000000;74.0000000;74.9800000;68.8000000;68.8000000;32490
20140325;000000;69.9800000;72.9300000;68.5100000;68.5100000;37710
20140326;000000;72.0000000;72.0000000;69.3700000;71.1000000;31410
20140327;000000;69.8900000;72.6200000;69.4900000;71.9700000;34620
20140328;000000;71.5500000;73.9900000;69.2100000;70.0000000;31940
20140331;000000;70.5000000;73.0000000;69.9000000;70.0000000;43290
20140401;000000;71.4900000;71.4900000;70.1700000;71.3900000;42900
20140402;000000;72.0000000;73.9600000;69.8200000;70.0000000;52700
20140403;000000;70.4700000;70.5900000;67.8900000;69.9900000;40260
20140404;000000;70.3500000;71.3800000;69.0000000;70.0100000;41390
20140407;000000;70.9700000;70.9700000;70.1000000;70.5000000;11700
20140408;000000;70.3900000;71.3700000;70.3900000;70.9000000;8540
20140409;000000;71.3600000;71.3800000;69.9900000;70.9900000;11890
20140410;000000;70.9800000;71.3900000;68.5100000;69.8900000;15550
20140411;000000;71.2100000;72.9000000;69.0100000;70.9900000;61380
20140414;000000;70.5100000;71.3900000;69.1000000;70.9700000;60400
20140415;000000;71.0900000;74.9000000;69.8400000;74.9000000;19750
20140416;000000;71.0000000;75.0000000;71.0000000;72.7000000;32760
20140417;000000;68.5000000;71.0000000;53.4100000;68.4000000;28460
20140418;000000;66.1200000;70.0000000;61.2000000;69.9000000;11290
20140421;000000;68.9000000;68.9900000;65.0000000;66.6900000;88960
20140422;000000;67.6900000;68.0000000;65.0000000;67.2500000;11400
20140423;000000;68.0000000;68.0000000;65.0000000;66.5700000;16910
20140424;000000;67.9700000;67.9700000;65.0000000;65.8300000;14220
20140425;000000;67.3300000;67.3300000;65.3500000;65.3500000;7620
20140428;000000;65.3300000;65.9900000;64.0000000;65.9700000;4150
20140429;000000;65.9700000;66.9800000;64.9600000;66.9700000;13910
20140430;000000;65.0400000;66.9400000;64.0100000;65.0000000;6250
20140502;000000;64.9900000;70.0000000;64.9900000;69.8900000;3040
20140505;000000;67.4000000;69.6900000;67.4000000;67.4000000;3550
20140506;000000;69.7900000;70.0000000;65.0500000;67.0900000;150
20140507;000000;67.0300000;67.0600000;66.0100000;67.0500000;1720
20140508;000000;66.0000000;69.5000000;65.2800000;69.5000000;1160
20140512;000000;65.1700000;66.3600000;65.1700000;66.3600000;180
20140513;000000;69.0000000;69.0000000;67.0000000;68.9700000;7000
20140514;000000;68.9800000;70.7800000;66.2200000;70.0000000;25570
20140515;000000;70.9600000;73.5400000;68.0000000;70.0000000;64790
20140516;000000;74.9000000;74.9000000;70.4700000;73.4800000;32010
20140519;000000;78.9100000;78.9100000;45.0000000;72.9900000;12670
20140520;000000;73.9800000;74.0000000;69.6600000;71.0000000;8300
20140521;000000;72.1000000;73.5000000;70.0700000;70.0700000;10520
20140522;000000;70.4600000;74.9000000;67.0400000;69.0000000;20410
20140523;000000;72.0000000;72.9900000;70.0000000;71.9900000;8130
20140526;000000;70.7100000;71.1000000;70.7100000;71.0000000;9630
20140527;000000;70.0000000;74.0000000;67.6600000;68.1100000;36440
20140528;000000;68.0000000;71.0000000;68.0000000;70.2800000;25640
20140529;000000;69.2500000;73.0000000;68.0000000;69.4100000;23710
20140530;000000;69.4100000;70.5000000;69.0000000;70.5000000;16350
20140602;000000;70.5000000;74.9000000;70.0000000;70.0000000;11370
20140603;000000;70.0500000;70.3900000;69.9500000;70.0400000;103720
20140604;000000;70.6100000;70.6100000;70.5900000;70.5900000;1050
20140605;000000;70.2500000;70.2500000;69.5000000;69.8700000;2090
20140606;000000;69.6300000;69.6600000;69.2100000;69.2100000;38650
20140609;000000;68.9000000;68.9700000;68.9000000;68.9200000;190
20140610;000000;68.8000000;69.1400000;68.8000000;68.9000000;32880
20140611;000000;72.7600000;72.7600000;68.8300000;69.0100000;32740
20140616;000000;71.9000000;71.9000000;69.1100000;69.6200000;28840
20140617;000000;69.8800000;69.8800000;69.6400000;69.7300000;25710
20140618;000000;69.9200000;69.9200000;69.2600000;69.2600000;22770
20140619;000000;69.1800000;69.1800000;68.5000000;68.9200000;47890
20140620;000000;69.1600000;69.1600000;68.8300000;69.0400000;39090
20140623;000000;70.9900000;71.5000000;68.5500000;68.5500000;46170
20140624;000000;68.5000000;68.5000000;67.6800000;67.7000000;48860
20140625;000000;67.9200000;67.9200000;67.5000000;67.5200000;41330
20140626;000000;67.5100000;67.7200000;67.5100000;67.5900000;43610
20140627;000000;70.2100000;71.9000000;67.4400000;67.7000000;75030
20140630;000000;69.0000000;69.0000000;67.3700000;68.0200000;51980
20140701;000000;68.5000000;70.5000000;68.5000000;68.6000000;18500
20140702;000000;68.7300000;68.8800000;68.5000000;68.8100000;75740
20140703;000000;68.6000000;68.6300000;68.4100000;68.6300000;28760
20140704;000000;68.9900000;69.0300000;68.8100000;68.9900000;53500
20140707;000000;69.1600000;69.3700000;69.1100000;69.3300000;50900
20140708;000000;69.1200000;69.2800000;68.7400000;68.7400000;48930
20140709;000000;68.4500000;68.5800000;68.2500000;68.4400000;63100
20140710;000000;67.8600000;68.4000000;67.8600000;68.2300000;62340
20140711;000000;68.2700000;68.5800000;68.0800000;68.5800000;63020
20140714;000000;68.9200000;68.9500000;68.6000000;68.9000000;67820
20140715;000000;68.7700000;68.9100000;68.7700000;68.8500000;61310
20140716;000000;68.8300000;69.0800000;68.7000000;68.7800000;71290
20140717;000000;69.8900000;73.5000000;68.6000000;69.0000000;64970
20140718;000000;70.3900000;70.4800000;69.6200000;70.2000000;62830
20140721;000000;72.9000000;72.9000000;70.0500000;70.1500000;69710
20140722;000000;70.4900000;71.9000000;70.2500000;70.2500000;62990
20140723;000000;70.1200000;70.9600000;70.1200000;70.5500000;37920
20140724;000000;71.9200000;72.3400000;71.3800000;71.5700000;20960
20140725;000000;71.0900000;71.9800000;71.0600000;71.0600000;13690
20140728;000000;71.4400000;72.5000000;71.4400000;72.2300000;18250
20140729;000000;72.5700000;73.5300000;72.5000000;72.8400000;49580
20140730;000000;72.6900000;75.5000000;72.1300000;72.1300000;78790
20140731;000000;72.0000000;73.8600000;72.0000000;73.8600000;61000
20140801;000000;72.5900000;82.0000000;72.5900000;75.0000000;75960
20140804;000000;73.2500000;74.7000000;72.5300000;72.5300000;49920
20140805;000000;73.8800000;74.6700000;73.3600000;74.3300000;67960
20140806;000000;73.4000000;74.1200000;72.3000000;72.4500000;53940
20140807;000000;72.8500000;73.0000000;72.6000000;72.7000000;46520
20140808;000000;72.9000000;73.2000000;72.1600000;72.2300000;65280
20140811;000000;74.3800000;74.3800000;72.0000000;72.2500000;53610
20140812;000000;72.8800000;73.0500000;70.9100000;71.1700000;49960
20140813;000000;70.0200000;71.0800000;68.9900000;69.0000000;27600
20140814;000000;68.3000000;70.0000000;67.0000000;69.0000000;58660
20140815;000000;73.0000000;73.0000000;67.4100000;69.6800000;41380
20140818;000000;73.4500000;73.5100000;70.0000000;70.0000000;16700
20140819;000000;72.5100000;72.5100000;67.6000000;69.8000000;33550
20140820;000000;70.5600000;70.6400000;68.0000000;69.0000000;47540
20140821;000000;69.1900000;69.1900000;66.4800000;66.5200000;45450
20140822;000000;67.4800000;67.9000000;66.1200000;67.0000000;30190
20140825;000000;69.3600000;69.5200000;67.1100000;67.4900000;45660
20140826;000000;69.3800000;69.4500000;63.0000000;63.0200000;52640
20140827;000000;64.2300000;64.3200000;63.0000000;63.0000000;12780
20140828;000000;63.0600000;63.7300000;63.0600000;63.4700000;50780
20140829;000000;62.7600000;62.9100000;62.3800000;62.5500000;58710
20140901;000000;62.6200000;62.7500000;60.2500000;60.5000000;67920
20140902;000000;63.3200000;63.3200000;56.9800000;57.2200000;57360
20140903;000000;57.6400000;60.4900000;57.6400000;60.0200000;72730
20140904;000000;60.1400000;62.6400000;60.1400000;60.9000000;62750
20140905;000000;65.0000000;67.1800000;61.5000000;63.0000000;50080
20140908;000000;64.9900000;68.0000000;62.7200000;63.0000000;49110
20140909;000000;67.4800000;68.0000000;62.0000000;62.0000000;25520
20140910;000000;62.0000000;62.0000000;59.3000000;59.9000000;63190
20140911;000000;59.6000000;60.0000000;59.0100000;59.8300000;58640
20140912;000000;59.8000000;59.8000000;59.1600000;59.8000000;41160
20140915;000000;59.6900000;60.0000000;58.1100000;60.0000000;36420
20140916;000000;59.8000000;62.2000000;59.2000000;60.7500000;93460
20140917;000000;60.8000000;62.9000000;59.8500000;60.4000000;45580
20140918;000000;60.5700000;60.9900000;60.1600000;60.6000000;71400
20140919;000000;61.7900000;62.0000000;60.6100000;62.0000000;51290
20140922;000000;61.3000000;61.5000000;59.5300000;59.6000000;41300
20140923;000000;59.7300000;60.0000000;59.7300000;59.9700000;79480
20140924;000000;59.6600000;59.8600000;59.6600000;59.7900000;49260
20140925;000000;59.4000000;59.8400000;59.4000000;59.5000000;71860
20140926;000000;58.5900000;58.7700000;58.2100000;58.2100000;100820
20140929;000000;57.5200000;58.3400000;57.5200000;57.8100000;16800
20140930;000000;60.0000000;60.0000000;57.0000000;57.0000000;21630
20141001;000000;57.5000000;57.8000000;56.7000000;57.4000000;10020
20141002;000000;57.8000000;57.8000000;57.8000000;57.8000000;7590
20141003;000000;57.3000000;57.3000000;55.6000000;56.9000000;7810
20141006;000000;57.7000000;57.7000000;55.0000000;56.0000000;10400
20141007;000000;57.3000000;57.3000000;57.1000000;57.3000000;8500
20141008;000000;57.3000000;57.7000000;56.0000000;56.9000000;7550
20141009;000000;55.8000000;56.0000000;49.3000000;55.8000000;10160
20141010;000000;51.1000000;55.8000000;48.0000000;53.5000000;14860
20141013;000000;51.9000000;53.3000000;50.0000000;51.5000000;7880
20141014;000000;51.0000000;51.6000000;50.8000000;51.6000000;25910
20141015;000000;50.1000000;50.8000000;49.3000000;49.3000000;57840
20141016;000000;49.9000000;53.3000000;49.3000000;50.1000000;38390
20141017;000000;50.6000000;53.1000000;50.1000000;53.0000000;58790
20141020;000000;54.0000000;54.1000000;52.0000000;53.0000000;45720
20141021;000000;54.1000000;54.1000000;53.5000000;53.6000000;79270
20141022;000000;54.1000000;54.1000000;50.0000000;51.7000000;69310
20141023;000000;52.9000000;52.9000000;51.5000000;52.4000000;29490
20141024;000000;51.0000000;53.0000000;47.1000000;47.3000000;43300
20141027;000000;47.6000000;49.0000000;43.0000000;44.1000000;42040
20141028;000000;47.1000000;47.1000000;43.0000000;46.7000000;16550
20141029;000000;46.2000000;47.0000000;46.0000000;47.0000000;13040
20141030;000000;47.0000000;47.1000000;41.0000000;47.0000000;19610
20141031;000000;47.1000000;47.1000000;44.7000000;47.0000000;13140
20141103;000000;47.0000000;47.5000000;45.6000000;47.5000000;14010
20141105;000000;46.1000000;46.9000000;46.0000000;46.9000000;15840
20141106;000000;46.9000000;50.0000000;46.7000000;49.1000000;19080
20141107;000000;49.1000000;50.0000000;48.5000000;50.0000000;12680
20141110;000000;47.1000000;52.7000000;47.1000000;50.9000000;14080
20141111;000000;48.7000000;55.5000000;48.7000000;51.0000000;47070
