<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;50.1300000;52.4800000;50.1200000;50.2800000;22500
20140108;000000;50.8800000;52.0000000;50.3000000;50.3000000;9500
20140109;000000;50.0200000;51.2000000;50.0000000;50.8600000;14400
20140110;000000;50.8000000;51.9600000;50.3300000;51.5900000;17300
20140113;000000;51.2300000;52.3500000;51.2100000;51.7300000;20800
20140114;000000;51.3100000;51.5300000;50.5300000;51.0000000;23800
20140115;000000;51.4000000;52.0000000;51.0500000;51.7900000;29600
20140116;000000;51.6000000;51.6000000;50.9000000;50.9000000;21600
20140117;000000;50.8100000;52.2700000;50.8000000;51.0000000;53300
20140120;000000;51.5300000;51.5300000;51.0000000;51.0700000;7400
20140121;000000;51.7100000;54.3000000;50.9900000;54.2900000;107900
20140122;000000;54.5100000;54.5100000;43.6100000;52.6600000;77000
20140123;000000;52.4000000;53.6000000;50.6000000;51.7700000;102800
20140124;000000;51.2000000;51.6800000;50.0100000;50.1200000;127100
20140127;000000;50.1300000;50.6500000;48.0100000;49.3200000;70000
20140128;000000;49.3000000;49.7200000;47.7200000;47.9000000;118500
20140129;000000;48.0000000;49.2000000;47.6200000;47.6600000;157500
20140130;000000;48.3900000;48.3900000;45.1100000;47.2600000;67200
20140131;000000;47.3900000;47.7200000;46.0000000;46.4800000;33100
20140203;000000;46.6700000;46.7900000;45.2200000;46.0000000;252000
20140204;000000;45.4800000;46.4300000;45.4800000;46.3100000;102900
20140205;000000;46.3900000;47.5000000;46.0400000;47.4000000;60700
20140206;000000;48.0000000;49.6100000;47.7000000;48.5100000;42500
20140207;000000;48.8000000;48.8000000;46.9900000;48.0000000;31900
20140210;000000;48.3700000;48.7600000;47.7000000;48.3900000;12200
20140211;000000;47.8200000;48.7000000;47.7800000;48.3000000;6500
20140212;000000;48.3000000;48.9800000;47.6800000;48.3900000;23100
20140213;000000;47.9000000;48.6900000;47.3700000;47.4600000;17100
20140214;000000;47.9900000;48.6000000;47.6900000;47.9100000;8700
20140217;000000;48.3900000;48.9600000;47.6100000;47.8100000;13800
20140218;000000;48.2200000;48.4800000;46.1200000;47.1900000;28600
20140219;000000;47.0100000;47.5900000;46.5000000;46.7000000;17900
20140220;000000;46.4100000;46.8000000;46.0900000;46.4200000;5500
