<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;62000.0000000;62000.0000000;62000.0000000;62000.0000000;1
20140108;000000;61510.0000000;62000.0000000;61510.0000000;62000.0000000;2
20140109;000000;61020.0000000;64990.0000000;44400.0000000;61080.0000000;23
20140110;000000;55300.0000000;70000.0000000;55300.0000000;61000.0000000;15
20140113;000000;56770.0000000;68770.0000000;56770.0000000;59130.0000000;18
20140114;000000;55600.0000000;64900.0000000;55600.0000000;59010.0000000;9
20140115;000000;59050.0000000;59050.0000000;56000.0000000;56000.0000000;9
20140116;000000;56500.0000000;61100.0000000;56500.0000000;57510.0000000;12
20140117;000000;55500.0000000;55900.0000000;55500.0000000;55900.0000000;2
20140121;000000;55100.0000000;55500.0000000;55100.0000000;55100.0000000;3
20140122;000000;55100.0000000;55100.0000000;55100.0000000;55100.0000000;1
20140123;000000;55000.0000000;55020.0000000;55000.0000000;55020.0000000;3
20140124;000000;55020.0000000;55020.0000000;55000.0000000;55000.0000000;19
20140127;000000;55000.0000000;55010.0000000;55000.0000000;55000.0000000;7
20140129;000000;53550.0000000;53550.0000000;53550.0000000;53550.0000000;1
20140205;000000;55000.0000000;55000.0000000;53130.0000000;53130.0000000;4
20140206;000000;52070.0000000;52070.0000000;52070.0000000;52070.0000000;1
20140210;000000;52070.0000000;52070.0000000;52070.0000000;52070.0000000;1
20140211;000000;51000.0000000;51010.0000000;50120.0000000;51000.0000000;96
20140212;000000;51000.0000000;51000.0000000;51000.0000000;51000.0000000;3
20140213;000000;51000.0000000;51990.0000000;51000.0000000;51990.0000000;10
20140214;000000;51980.0000000;51990.0000000;51980.0000000;51990.0000000;8
20140217;000000;52500.0000000;53000.0000000;52500.0000000;53000.0000000;6
20140218;000000;52000.0000000;52000.0000000;52000.0000000;52000.0000000;1
20140219;000000;55000.0000000;55000.0000000;55000.0000000;55000.0000000;6
20140221;000000;51310.0000000;51310.0000000;51310.0000000;51310.0000000;2
20140225;000000;50500.0000000;51200.0000000;50020.0000000;51200.0000000;7
20140226;000000;50100.0000000;50300.0000000;50100.0000000;50300.0000000;5
20140227;000000;50120.0000000;50120.0000000;50120.0000000;50120.0000000;1
20140228;000000;50020.0000000;51800.0000000;50000.0000000;51800.0000000;19
20140305;000000;50000.0000000;50000.0000000;50000.0000000;50000.0000000;2
20140306;000000;50000.0000000;50000.0000000;50000.0000000;50000.0000000;2
20140307;000000;47110.0000000;50000.0000000;47110.0000000;50000.0000000;3
20140311;000000;48310.0000000;48310.0000000;48310.0000000;48310.0000000;3
20140312;000000;50000.0000000;50000.0000000;47000.0000000;47020.0000000;5
20140313;000000;47010.0000000;47010.0000000;47000.0000000;47000.0000000;2
20140314;000000;45000.0000000;49770.0000000;45000.0000000;49770.0000000;10
20140317;000000;45290.0000000;45290.0000000;45290.0000000;45290.0000000;3
20140318;000000;50000.0000000;50000.0000000;46100.0000000;46100.0000000;2
20140319;000000;47490.0000000;47490.0000000;44500.0000000;47000.0000000;11
20140321;000000;46010.0000000;48700.0000000;45990.0000000;47000.0000000;35
20140324;000000;49790.0000000;49800.0000000;47000.0000000;47000.0000000;78
20140325;000000;49840.0000000;49840.0000000;47010.0000000;47160.0000000;7
20140326;000000;48000.0000000;48200.0000000;48000.0000000;48200.0000000;26
20140327;000000;47100.0000000;47200.0000000;47100.0000000;47200.0000000;7
20140328;000000;47950.0000000;49500.0000000;47950.0000000;49500.0000000;5
20140331;000000;47010.0000000;48990.0000000;47000.0000000;47000.0000000;12
20140401;000000;47000.0000000;47000.0000000;47000.0000000;47000.0000000;10
20140402;000000;47000.0000000;47000.0000000;47000.0000000;47000.0000000;17
20140404;000000;46890.0000000;46890.0000000;46890.0000000;46890.0000000;2
20140408;000000;45010.0000000;45900.0000000;45000.0000000;45900.0000000;12
20140410;000000;45000.0000000;45500.0000000;44210.0000000;45500.0000000;28
20140411;000000;45500.0000000;45500.0000000;45500.0000000;45500.0000000;1
20140414;000000;45000.0000000;45000.0000000;45000.0000000;45000.0000000;1
20140416;000000;43690.0000000;45000.0000000;43690.0000000;45000.0000000;4
20140421;000000;45000.0000000;45000.0000000;44000.0000000;45000.0000000;17
20140422;000000;45000.0000000;45000.0000000;45000.0000000;45000.0000000;1
20140424;000000;45000.0000000;45000.0000000;45000.0000000;45000.0000000;6
20140428;000000;45000.0000000;45000.0000000;45000.0000000;45000.0000000;1
20140429;000000;45000.0000000;45000.0000000;45000.0000000;45000.0000000;1
20140430;000000;46000.0000000;46000.0000000;46000.0000000;46000.0000000;1
20140512;000000;46950.0000000;46950.0000000;45000.0000000;45000.0000000;12
20140515;000000;46480.0000000;46480.0000000;46480.0000000;46480.0000000;1
20140519;000000;45040.0000000;45040.0000000;45040.0000000;45040.0000000;2
20140527;000000;45000.0000000;45000.0000000;45000.0000000;45000.0000000;3
20140528;000000;45000.0000000;45000.0000000;45000.0000000;45000.0000000;7
20140529;000000;45010.0000000;45010.0000000;45000.0000000;45000.0000000;2
20140602;000000;45020.0000000;45020.0000000;45000.0000000;45000.0000000;5
20140603;000000;45000.0000000;45980.0000000;45000.0000000;45160.0000000;7
20140604;000000;45960.0000000;46900.0000000;45960.0000000;46900.0000000;5
20140605;000000;46900.0000000;46900.0000000;46000.0000000;46000.0000000;41
20140606;000000;45200.0000000;46000.0000000;45010.0000000;46000.0000000;7
20140609;000000;46810.0000000;46820.0000000;46810.0000000;46820.0000000;2
20140610;000000;45400.0000000;45990.0000000;45400.0000000;45990.0000000;13
20140611;000000;45180.0000000;45180.0000000;45180.0000000;45180.0000000;1
20140616;000000;45990.0000000;46100.0000000;45360.0000000;45360.0000000;5
20140617;000000;46850.0000000;48000.0000000;46850.0000000;47500.0000000;9
20140618;000000;47500.0000000;50000.0000000;47500.0000000;49500.0000000;10
20140619;000000;50000.0000000;51000.0000000;50000.0000000;51000.0000000;3
20140620;000000;51500.0000000;51500.0000000;50010.0000000;50010.0000000;3
20140623;000000;51800.0000000;51800.0000000;51800.0000000;51800.0000000;2
20140626;000000;49970.0000000;50000.0000000;49970.0000000;50000.0000000;5
20140630;000000;48000.0000000;54000.0000000;48000.0000000;54000.0000000;16
20140701;000000;50000.0000000;50000.0000000;50000.0000000;50000.0000000;2
20140702;000000;48010.0000000;49970.0000000;48010.0000000;48210.0000000;4
20140703;000000;47590.0000000;47590.0000000;47590.0000000;47590.0000000;1
20140708;000000;48000.0000000;48000.0000000;48000.0000000;48000.0000000;1
20140715;000000;46970.0000000;48990.0000000;46970.0000000;48990.0000000;8
20140716;000000;48990.0000000;50000.0000000;47500.0000000;50000.0000000;29
20140717;000000;50000.0000000;53010.0000000;50000.0000000;52010.0000000;455
20140718;000000;55000.0000000;55000.0000000;55000.0000000;55000.0000000;10
20140721;000000;52000.0000000;56490.0000000;52000.0000000;56490.0000000;14
20140722;000000;53010.0000000;60000.0000000;53010.0000000;60000.0000000;49
20140723;000000;60840.0000000;60900.0000000;58000.0000000;60000.0000000;24
20140724;000000;59000.0000000;60000.0000000;58100.0000000;60000.0000000;33
20140725;000000;60000.0000000;60000.0000000;60000.0000000;60000.0000000;1
20140728;000000;58500.0000000;58500.0000000;58100.0000000;58100.0000000;2
20140729;000000;57000.0000000;57000.0000000;57000.0000000;57000.0000000;4
20140730;000000;62000.0000000;62000.0000000;60020.0000000;60020.0000000;7
20140801;000000;58040.0000000;58040.0000000;57500.0000000;57500.0000000;4
20140804;000000;58000.0000000;58000.0000000;58000.0000000;58000.0000000;1
20140806;000000;57000.0000000;57000.0000000;55000.0000000;55000.0000000;9
20140811;000000;60000.0000000;60000.0000000;60000.0000000;60000.0000000;9
20140814;000000;59900.0000000;60000.0000000;59900.0000000;60000.0000000;83
20140820;000000;59500.0000000;59500.0000000;59500.0000000;59500.0000000;1
20140821;000000;60000.0000000;67000.0000000;58500.0000000;60000.0000000;64
20140822;000000;60000.0000000;60000.0000000;60000.0000000;60000.0000000;4
20140826;000000;56100.0000000;60000.0000000;56000.0000000;57000.0000000;54
20140827;000000;56040.0000000;56900.0000000;56000.0000000;56900.0000000;10
20140828;000000;56000.0000000;56000.0000000;55000.0000000;55000.0000000;4
20140901;000000;55000.0000000;55000.0000000;55000.0000000;55000.0000000;1
20140902;000000;54000.0000000;54000.0000000;54000.0000000;54000.0000000;3
20140903;000000;59000.0000000;60000.0000000;55010.0000000;55510.0000000;14
20140909;000000;54340.0000000;54340.0000000;54000.0000000;54000.0000000;15
20140910;000000;54000.0000000;59760.0000000;54000.0000000;59760.0000000;33
20140912;000000;56000.0000000;56000.0000000;56000.0000000;56000.0000000;5
20140915;000000;59380.0000000;59900.0000000;55360.0000000;55360.0000000;30
20140922;000000;54000.0000000;54870.0000000;52010.0000000;54870.0000000;23
20140930;000000;54990.0000000;59600.0000000;53310.0000000;59000.0000000;9
20141001;000000;53100.0000000;54900.0000000;53100.0000000;54900.0000000;3
20141002;000000;52000.0000000;54100.0000000;52000.0000000;54100.0000000;5
20141003;000000;56900.0000000;57000.0000000;54000.0000000;54000.0000000;7
20141006;000000;55000.0000000;60000.0000000;54800.0000000;58000.0000000;111
20141007;000000;58500.0000000;58500.0000000;58500.0000000;58500.0000000;1
20141008;000000;60000.0000000;63000.0000000;59900.0000000;63000.0000000;26
20141009;000000;65000.0000000;68800.0000000;65000.0000000;67000.0000000;21
20141010;000000;70000.0000000;70000.0000000;65000.0000000;69500.0000000;23
20141013;000000;70000.0000000;70000.0000000;63300.0000000;65000.0000000;11
20141014;000000;69900.0000000;70000.0000000;69600.0000000;69900.0000000;12
20141015;000000;69000.0000000;69000.0000000;69000.0000000;69000.0000000;1
20141016;000000;66000.0000000;70000.0000000;64100.0000000;67700.0000000;35
20141017;000000;69000.0000000;69000.0000000;63000.0000000;69000.0000000;24
20141020;000000;69000.0000000;69000.0000000;69000.0000000;69000.0000000;1
20141021;000000;69900.0000000;69900.0000000;65000.0000000;65000.0000000;3
20141022;000000;64900.0000000;64900.0000000;64900.0000000;64900.0000000;1
20141023;000000;67500.0000000;68800.0000000;67500.0000000;68800.0000000;4
20141024;000000;65300.0000000;65300.0000000;62400.0000000;63000.0000000;22
20141027;000000;68400.0000000;68400.0000000;68400.0000000;68400.0000000;1
20141028;000000;65000.0000000;70000.0000000;65000.0000000;70000.0000000;2
20141029;000000;68700.0000000;68700.0000000;65700.0000000;66700.0000000;3
20141030;000000;63500.0000000;63500.0000000;63400.0000000;63500.0000000;6
20141031;000000;67000.0000000;67000.0000000;67000.0000000;67000.0000000;4
20141103;000000;66700.0000000;66700.0000000;66700.0000000;66700.0000000;1
20141106;000000;68000.0000000;68000.0000000;68000.0000000;68000.0000000;1
20141110;000000;67700.0000000;67700.0000000;67700.0000000;67700.0000000;1
20141111;000000;65000.0000000;65000.0000000;65000.0000000;65000.0000000;1
20141114;000000;66500.0000000;66500.0000000;66500.0000000;66500.0000000;8
20141117;000000;64900.0000000;64900.0000000;64900.0000000;64900.0000000;4
20141118;000000;64500.0000000;64500.0000000;64500.0000000;64500.0000000;1
20141119;000000;57000.0000000;60000.0000000;57000.0000000;60000.0000000;2
20141120;000000;63400.0000000;63400.0000000;63400.0000000;63400.0000000;1
20141121;000000;63400.0000000;63400.0000000;63400.0000000;63400.0000000;1
20141124;000000;63400.0000000;63400.0000000;63400.0000000;63400.0000000;1
20141125;000000;63000.0000000;63000.0000000;63000.0000000;63000.0000000;1
20141126;000000;59000.0000000;59000.0000000;59000.0000000;59000.0000000;2
20141204;000000;63000.0000000;63000.0000000;63000.0000000;63000.0000000;1
20141208;000000;64900.0000000;64900.0000000;64900.0000000;64900.0000000;1
20141209;000000;63500.0000000;63500.0000000;63500.0000000;63500.0000000;1
20141210;000000;63500.0000000;63500.0000000;54500.0000000;56800.0000000;26
20141211;000000;50200.0000000;51100.0000000;50000.0000000;50000.0000000;6
20141212;000000;51800.0000000;51800.0000000;46300.0000000;49800.0000000;3
20141215;000000;50000.0000000;58400.0000000;50000.0000000;51200.0000000;17
20141216;000000;66200.0000000;66200.0000000;47000.0000000;54800.0000000;3
20141217;000000;53000.0000000;64000.0000000;53000.0000000;64000.0000000;23
20141218;000000;62400.0000000;62400.0000000;60000.0000000;60000.0000000;2
20141219;000000;65000.0000000;69000.0000000;65000.0000000;69000.0000000;3
20141222;000000;61000.0000000;68500.0000000;61000.0000000;68500.0000000;13
20141223;000000;65000.0000000;68000.0000000;60300.0000000;68000.0000000;10
20141224;000000;59000.0000000;59000.0000000;59000.0000000;59000.0000000;5
20141226;000000;61000.0000000;63900.0000000;61000.0000000;61000.0000000;4
20141230;000000;70000.0000000;70000.0000000;59000.0000000;60100.0000000;60
