<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140115;000000;203.0000000;222.2200000;203.0000000;220.0000000;900
20140117;000000;207.1800000;207.1800000;200.0000000;200.0000000;50
20140120;000000;200.0000000;201.0000000;200.0000000;201.0000000;200
20140121;000000;200.0000000;210.0000000;200.0000000;210.0000000;330
20140128;000000;195.0000000;195.0000000;195.0000000;195.0000000;10
20140130;000000;190.0000000;205.0000000;190.0000000;205.0000000;700
20140131;000000;208.3200000;208.3200000;208.3200000;208.3200000;40
20140203;000000;205.0200000;210.0000000;195.0100000;200.0000000;730
20140204;000000;191.0100000;191.0100000;191.0100000;191.0100000;10
20140206;000000;200.0000000;200.0000000;200.0000000;200.0000000;80
20140207;000000;190.0100000;190.0100000;190.0100000;190.0100000;30
20140210;000000;207.6300000;207.6300000;190.0100000;190.0100000;9010
20140211;000000;190.5000000;209.0000000;190.5000000;190.5000000;40
20140213;000000;185.0000000;207.6300000;185.0000000;207.6300000;1020
20140217;000000;206.9900000;207.0000000;200.0000000;200.0000000;670
20140218;000000;198.0000000;200.0000000;196.0000000;200.0000000;320
20140219;000000;192.0000000;192.0000000;192.0000000;192.0000000;40
20140220;000000;191.0000000;192.0000000;191.0000000;192.0000000;20
20140224;000000;193.0000000;193.0000000;184.0000000;184.0000000;300
20140225;000000;192.0000000;192.0000000;187.0000000;187.0000000;70
20140226;000000;187.0100000;190.0000000;183.0100000;183.0100000;250
20140227;000000;182.0100000;195.0000000;182.0100000;183.0100000;150
20140228;000000;182.0100000;185.0000000;182.0000000;183.0000000;160
20140303;000000;160.0100000;160.0100000;160.0000000;160.0000000;60
20140304;000000;155.0000000;165.0000000;155.0000000;165.0000000;70
20140305;000000;185.0000000;185.0000000;160.0000000;160.0000000;920
20140307;000000;187.9500000;187.9500000;183.9500000;183.9500000;20
20140312;000000;160.0100000;160.0100000;160.0100000;160.0100000;20
20140313;000000;153.5100000;169.5100000;153.5100000;169.5100000;1110
20140314;000000;182.0000000;182.0000000;153.0000000;153.0100000;120
20140318;000000;175.0000000;175.0000000;175.0000000;175.0000000;100
20140320;000000;160.0100000;160.0100000;160.0100000;160.0100000;80
20140325;000000;175.0000000;183.0000000;175.0000000;181.0000000;120
20140326;000000;175.0000000;182.0000000;175.0000000;182.0000000;120
20140327;000000;170.0100000;170.0100000;170.0000000;170.0000000;300
20140328;000000;160.0000000;179.9900000;160.0000000;160.3500000;370
20140331;000000;161.0000000;161.0000000;161.0000000;161.0000000;410
20140401;000000;161.0000000;165.0000000;161.0000000;165.0000000;460
20140403;000000;181.0000000;181.0000000;181.0000000;181.0000000;10
20140404;000000;178.0000000;179.9900000;178.0000000;179.9900000;200
20140414;000000;160.0300000;171.9900000;160.0300000;160.0300000;910
20140416;000000;159.8100000;159.8100000;159.8100000;159.8100000;20
20140418;000000;159.7900000;159.7900000;159.7900000;159.7900000;10
20140421;000000;162.0000000;162.0000000;159.8000000;159.8000000;550
20140422;000000;165.0000000;165.0000000;165.0000000;165.0000000;10
