<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140113;000000;3.3330000;3.3330000;3.3330000;3.3330000;3000
20140121;000000;2.6510000;3.0500000;2.6500000;3.0500000;8000
20140206;000000;2.7500000;2.7500000;2.5040000;2.5040000;8000
20140210;000000;3.2990000;3.3000000;3.2990000;3.3000000;2000
20140307;000000;2.7610000;3.4790000;2.7610000;3.4790000;2000
20140314;000000;3.4000000;3.4000000;3.4000000;3.4000000;2000
20140319;000000;2.7610000;3.4800000;2.7600000;3.4800000;5000
20140326;000000;2.8010000;2.8010000;2.8000000;2.8000000;3000
20140328;000000;3.3000000;3.3000000;3.3000000;3.3000000;1000
20140331;000000;3.4890000;3.4900000;3.4890000;3.4900000;3000
20140402;000000;3.3000000;3.3000000;3.3000000;3.3000000;1000
20140407;000000;3.3000000;3.3000000;3.3000000;3.3000000;1000
20140414;000000;2.8020000;2.8020000;2.1000000;2.5220000;34000
20140415;000000;2.5400000;2.5400000;2.5400000;2.5400000;2000
20140418;000000;2.9110000;2.9110000;2.9110000;2.9110000;1000
20140424;000000;2.5220000;2.5220000;2.5000000;2.5000000;8000
20140425;000000;2.3110000;2.6660000;2.3000000;2.6660000;22000
20140507;000000;2.3340000;2.7000000;2.3340000;2.7000000;2000
20140512;000000;2.8000000;2.8000000;2.8000000;2.8000000;4000
20140514;000000;2.8000000;2.8000000;2.8000000;2.8000000;1000
20140522;000000;2.7770000;2.7770000;2.7770000;2.7770000;5000
20140523;000000;2.2130000;2.3110000;2.2100000;2.3110000;6000
20140526;000000;2.6600000;2.6600000;2.6600000;2.6600000;1000
20140528;000000;2.7170000;2.7760000;2.7170000;2.7760000;2000
20140529;000000;2.7550000;2.7550000;2.7550000;2.7550000;1000
20140530;000000;2.7750000;2.7770000;2.7750000;2.7770000;6000
20140603;000000;2.7000000;2.7770000;2.7000000;2.7770000;3000
20140604;000000;2.7770000;2.7770000;2.7770000;2.7770000;7000
20140610;000000;2.8880000;3.4900000;2.8880000;2.9000000;11000
20140616;000000;2.6000000;2.6000000;2.6000000;2.6000000;28000
20140620;000000;2.5210000;2.5210000;2.5000000;2.5000000;11000
20140626;000000;2.5000000;2.5000000;2.5000000;2.5000000;4000
20140701;000000;2.4000000;2.4000000;2.3000000;2.3000000;2000
20140702;000000;2.5040000;2.5040000;2.5030000;2.5030000;2000
20140710;000000;2.9790000;2.9790000;2.9790000;2.9790000;1000
20140718;000000;2.1110000;2.1110000;2.1110000;2.1110000;1000
20140721;000000;2.2320000;2.2320000;2.2320000;2.2320000;1000
20140722;000000;2.3010000;2.3010000;2.2990000;2.3000000;56000
20140729;000000;2.2970000;2.2970000;2.1110000;2.2000000;19000
20140804;000000;2.2800000;2.3000000;2.2800000;2.3000000;7000
20140806;000000;2.1110000;2.1110000;1.6210000;1.6210000;10000
20140812;000000;2.0100000;2.0100000;2.0100000;2.0100000;1000
20140813;000000;2.0100000;2.0100000;2.0100000;2.0100000;1000
20140814;000000;2.0100000;2.0100000;2.0100000;2.0100000;1000
20140818;000000;2.2000000;2.2850000;2.2000000;2.2850000;6000
20140819;000000;2.2850000;2.2850000;2.2850000;2.2850000;5000
20140820;000000;2.2880000;2.3000000;2.2770000;2.2770000;13000
20140827;000000;2.2000000;2.2000000;2.1110000;2.1110000;2000
20140829;000000;2.2000000;2.2000000;2.2000000;2.2000000;1000
20140908;000000;2.0340000;2.2170000;2.0330000;2.2170000;7000
20140910;000000;2.1400000;2.1400000;2.1400000;2.1400000;1000
20140912;000000;2.1000000;2.1000000;2.1000000;2.1000000;13000
20140919;000000;2.2970000;2.2970000;2.0120000;2.0120000;2000
20140924;000000;2.0090000;2.0090000;2.0000000;2.0000000;17000
20140929;000000;2.1430000;2.1430000;2.1430000;2.1430000;1000
20141003;000000;2.1000000;2.1000000;2.1000000;2.1000000;5000
20141008;000000;2.1000000;2.1000000;2.1000000;2.1000000;2000
20141010;000000;2.0000000;2.0000000;2.0000000;2.0000000;1000
20141015;000000;1.9500000;2.0000000;1.9500000;2.0000000;13000
20141016;000000;1.8500000;1.8500000;1.8500000;1.8500000;1000
20141022;000000;1.8500000;1.8500000;1.8500000;1.8500000;1000
20141029;000000;1.8900000;1.9000000;1.8500000;1.8500000;11000
20141031;000000;1.9300000;2.0000000;1.8600000;1.8600000;7000
20141106;000000;1.8900000;1.8900000;1.8800000;1.8800000;3000
20141111;000000;1.9800000;2.0000000;1.8900000;1.9000000;13000
20141112;000000;2.0000000;2.4600000;1.9900000;2.0000000;72000
20141113;000000;2.1900000;2.2000000;2.1000000;2.1000000;4000
20141117;000000;2.0100000;2.0100000;2.0000000;2.0000000;4000
20141203;000000;2.0000000;2.0000000;2.0000000;2.0000000;1000
20141208;000000;1.7700000;1.8000000;1.7600000;1.8000000;12000
20141209;000000;1.8000000;1.8000000;1.8000000;1.8000000;1000
20141210;000000;1.8000000;1.8000000;1.8000000;1.8000000;5000
20141211;000000;1.7600000;1.7600000;1.7600000;1.7600000;1000
20141212;000000;1.7500000;1.8000000;1.5300000;1.5300000;25000
20141215;000000;1.6100000;1.7000000;1.6100000;1.7000000;22000
20141216;000000;1.5300000;1.7000000;1.4100000;1.7000000;44000
20141218;000000;1.6400000;1.6400000;1.5000000;1.5900000;11000
20141223;000000;1.5000000;1.7000000;1.5000000;1.7000000;5000
20141224;000000;1.6800000;1.6800000;1.6800000;1.6800000;5000
20141225;000000;1.6700000;1.6700000;1.6700000;1.6700000;3000
20141226;000000;1.6700000;1.6700000;1.6700000;1.6700000;10000
