<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;11.3750000;11.4790000;11.3400000;11.4490000;8200
20140108;000000;11.4000000;11.4000000;11.3400000;11.4000000;5200
20140109;000000;11.4250000;11.6800000;11.4000000;11.6800000;18500
20140110;000000;11.6800000;11.9160000;11.6770000;11.7000000;45200
20140113;000000;11.7020000;11.7750000;11.6000000;11.7570000;70800
20140114;000000;11.7250000;11.7500000;11.6250000;11.7500000;66400
20140115;000000;11.7700000;11.9390000;11.7300000;11.9050000;76500
20140116;000000;11.9000000;11.9970000;11.8000000;11.8040000;83200
20140117;000000;11.8740000;11.9480000;11.8580000;11.9250000;9500
20140120;000000;11.9500000;12.0000000;11.9000000;11.9000000;78300
20140121;000000;11.9500000;12.0200000;11.8800000;12.0200000;15800
20140122;000000;12.0250000;12.5000000;12.0250000;12.3990000;85500
20140123;000000;12.3750000;12.3750000;11.9900000;11.9900000;114500
20140124;000000;11.9750000;11.9750000;11.8250000;11.8500000;36500
20140127;000000;11.8500000;11.8500000;11.6000000;11.8230000;119000
20140128;000000;11.7800000;12.1980000;11.7800000;12.1980000;160900
20140129;000000;12.1500000;12.5100000;12.1000000;12.1020000;484700
20140130;000000;12.1750000;12.1990000;11.7010000;12.1000000;60500
20140131;000000;12.0510000;12.0740000;11.9100000;11.9100000;6500
20140203;000000;11.9740000;12.0970000;11.8000000;11.8000000;53400
20140204;000000;11.8000000;11.8490000;11.7250000;11.8490000;1900
20140205;000000;11.8490000;11.8750000;11.6510000;11.8750000;10500
20140206;000000;11.9000000;11.9510000;11.8540000;11.9000000;26700
20140207;000000;11.9100000;11.9200000;11.7560000;11.8250000;88700
20140210;000000;11.8200000;12.0000000;11.8200000;11.9520000;138700
20140211;000000;11.9520000;12.1250000;11.9000000;11.9490000;17700
20140212;000000;11.9750000;12.0300000;11.9510000;12.0300000;1000
20140213;000000;11.9760000;12.1500000;11.9760000;12.0010000;36200
20140214;000000;12.0000000;12.0740000;12.0000000;12.0740000;300
20140217;000000;12.0710000;12.2750000;12.0040000;12.1330000;108900
20140218;000000;12.1330000;12.2000000;12.0230000;12.0820000;6400
20140219;000000;12.1810000;12.2580000;12.0060000;12.0510000;82800
20140220;000000;12.1610000;12.2850000;12.0000000;12.2850000;198300
20140221;000000;12.2880000;12.4900000;12.0510000;12.4280000;172100
20140224;000000;12.2840000;12.4990000;12.2540000;12.4980000;12700
20140225;000000;12.3280000;12.3910000;12.2000000;12.3910000;22700
20140226;000000;12.2170000;12.2600000;12.0420000;12.0420000;74900
20140227;000000;12.0100000;12.1500000;11.9000000;11.9000000;73200
20140228;000000;11.8890000;11.9970000;11.8500000;11.9950000;37100
20140303;000000;12.0000000;12.0000000;10.8500000;11.4000000;145600
20140304;000000;11.7960000;11.7960000;11.4000000;11.6500000;7600
20140305;000000;11.7890000;11.7980000;11.6220000;11.7910000;5400
20140306;000000;11.7930000;12.0200000;11.6600000;11.7240000;26400
20140307;000000;11.7040000;11.8700000;11.6600000;11.8690000;11000
20140311;000000;11.7060000;11.8430000;11.6600000;11.8000000;12000
20140312;000000;11.6030000;11.6030000;11.2080000;11.2080000;42200
20140313;000000;11.3020000;11.3020000;11.0180000;11.0300000;63500
20140314;000000;11.0100000;11.6500000;10.4010000;11.0510000;90200
20140317;000000;11.0010000;11.8000000;11.0000000;11.8000000;117900
20140318;000000;11.8400000;12.2500000;11.8400000;12.2380000;61800
20140319;000000;11.8330000;12.3800000;11.8000000;12.1700000;104900
20140320;000000;12.1000000;12.6000000;12.0010000;12.4360000;37400
20140321;000000;12.0110000;12.8000000;12.0110000;12.8000000;32300
20140324;000000;12.7490000;12.7500000;12.5510000;12.6710000;69600
20140325;000000;12.6990000;12.8000000;12.6990000;12.8000000;67500
20140326;000000;12.8100000;13.2010000;12.8100000;13.2000000;82400
20140327;000000;13.2000000;13.5000000;13.1990000;13.5000000;112500
20140328;000000;13.4500000;13.6000000;13.3000000;13.5010000;75400
20140331;000000;13.6850000;13.9500000;13.5450000;13.9500000;57000
20140401;000000;13.6330000;14.0000000;13.6010000;14.0000000;62300
20140402;000000;13.8500000;14.0000000;13.3230000;13.4790000;125000
20140403;000000;13.5460000;13.5880000;12.9500000;12.9990000;11300
20140404;000000;13.2790000;13.2790000;12.4070000;12.7900000;50400
20140407;000000;12.6150000;12.7180000;12.3540000;12.7000000;17100
20140408;000000;12.8880000;12.9010000;12.8810000;12.9010000;1200
20140409;000000;13.1480000;14.0000000;12.6000000;13.4980000;200700
20140410;000000;13.8980000;13.9800000;13.4750000;13.9800000;14200
20140411;000000;14.0000000;17.5980000;14.0000000;15.2700000;225100
20140414;000000;15.5000000;16.0000000;14.5700000;14.5700000;18300
20140415;000000;14.5920000;14.7090000;13.9710000;14.0000000;43900
20140416;000000;14.1290000;14.3900000;14.0000000;14.0060000;15600
20140417;000000;14.5130000;15.2000000;14.0000000;14.5000000;264600
20140418;000000;14.7880000;15.5000000;14.6500000;15.5000000;34700
20140421;000000;15.0710000;15.5500000;14.7000000;15.5500000;62300
20140422;000000;15.4380000;16.3000000;15.1000000;16.0000000;178900
20140423;000000;15.5010000;16.3800000;15.5010000;16.0000000;60600
20140424;000000;16.2550000;16.2550000;14.6000000;14.9000000;308100
20140425;000000;14.6330000;15.0000000;14.5990000;15.0000000;42600
20140428;000000;15.0860000;15.2920000;14.8540000;15.2920000;15100
20140429;000000;15.0160000;15.1460000;14.8880000;14.8880000;17900
20140430;000000;14.9990000;15.0480000;14.9600000;15.0030000;46400
20140502;000000;15.1890000;15.1890000;14.8500000;14.8500000;1000
20140505;000000;14.9990000;15.3870000;14.9500000;14.9820000;17400
20140506;000000;15.2690000;15.5500000;15.1700000;15.5500000;26300
