<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;14.8290000;14.8350000;14.2010000;14.8260000;139700
20140108;000000;14.7190000;14.7190000;14.3560000;14.5500000;114400
20140109;000000;14.7000000;14.7000000;14.2810000;14.3100000;85900
20140110;000000;14.3800000;14.8470000;14.2900000;14.8400000;181600
20140113;000000;14.9100000;14.9100000;14.0080000;14.0080000;185800
20140114;000000;14.0000000;14.0870000;13.9750000;13.9750000;105300
20140115;000000;14.0800000;14.4890000;13.8800000;14.4890000;113700
20140116;000000;14.4850000;14.5000000;14.0470000;14.5000000;130900
20140117;000000;14.3000000;14.3000000;13.9060000;13.9060000;115400
20140120;000000;13.9800000;14.4430000;13.9500000;14.4430000;110800
20140121;000000;14.5000000;14.5000000;13.9200000;13.9200000;81200
20140122;000000;13.9010000;14.3000000;13.9000000;14.2000000;95200
20140123;000000;14.2700000;14.2880000;13.7550000;13.7550000;116800
20140124;000000;13.8240000;13.9790000;13.7350000;13.9090000;72300
20140127;000000;13.8800000;13.8800000;13.7420000;13.8500000;95200
20140128;000000;14.2490000;14.2490000;13.6700000;13.9500000;50800
20140129;000000;13.9000000;13.9000000;13.7630000;13.7630000;87400
20140130;000000;13.3380000;13.4930000;12.6000000;13.0900000;125400
20140131;000000;13.1550000;13.6220000;12.7000000;12.8780000;95400
20140203;000000;13.0010000;13.0010000;12.7000000;12.7900000;80500
20140204;000000;12.7000000;12.7430000;12.5510000;12.7430000;51600
20140205;000000;12.7000000;12.8000000;12.7000000;12.8000000;52500
20140206;000000;12.8500000;12.8500000;12.8000000;12.8200000;19300
20140207;000000;12.8840000;13.0100000;12.8000000;12.8000000;362900
20140210;000000;12.8640000;12.9300000;12.8640000;12.9200000;71000
20140211;000000;13.9920000;13.9920000;12.9600000;13.0000000;46700
20140212;000000;13.6430000;13.7440000;12.9000000;13.0300000;46700
20140213;000000;13.9870000;13.9880000;13.0030000;13.3250000;78600
20140214;000000;13.0000000;14.0230000;12.8500000;13.3000000;4800
20140217;000000;13.9980000;14.3880000;13.2000000;13.4000000;4200
20140218;000000;13.8990000;13.9000000;13.7990000;13.9000000;15300
20140219;000000;13.0760000;13.0760000;12.7120000;12.7130000;1700
20140220;000000;13.8760000;13.8760000;12.3000000;12.3610000;9000
20140221;000000;12.3000000;12.5600000;12.3000000;12.4970000;23700
20140224;000000;12.5500000;13.0000000;11.7500000;11.7500000;65600
20140225;000000;11.6910000;13.1670000;11.6900000;13.1670000;125400
20140226;000000;13.1590000;13.1590000;11.9250000;12.0040000;186600
20140227;000000;12.0000000;14.0920000;11.4000000;14.0920000;155100
20140228;000000;13.6550000;13.9000000;11.9420000;12.5980000;77000
20140303;000000;11.8630000;12.5510000;10.1000000;10.1010000;117800
20140304;000000;10.1520000;10.9950000;10.0050000;10.2980000;59100
