<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;1.2797000;1.2797000;1.2797000;1.2797000;1000
20140113;000000;1.0112000;1.0112000;1.0112000;1.0112000;1000
20140114;000000;1.0114000;1.2943000;1.0114000;1.1001000;4000
20140115;000000;1.2493000;1.2493000;1.1115000;1.1115000;3000
20140116;000000;1.2000000;1.2000000;1.0000000;1.0959000;92000
20140117;000000;1.0932000;1.0999000;1.0932000;1.0999000;10000
20140120;000000;1.0000000;1.0000000;1.0000000;1.0000000;1000
20140121;000000;1.0890000;1.0999000;1.0700000;1.0999000;121000
20140123;000000;1.0999000;1.1978000;1.0999000;1.1978000;23000
20140124;000000;1.1201000;1.2204000;1.1201000;1.2204000;3000
20140219;000000;1.1899000;1.2500000;1.1800000;1.2200000;62000
20140220;000000;1.1410000;1.1480000;1.0000000;1.0700000;35000
20140221;000000;1.1859000;1.1859000;1.1859000;1.1859000;1000
20140224;000000;1.0700000;1.1950000;1.0501000;1.1738000;108000
20140225;000000;1.1200000;1.1855000;1.1200000;1.1855000;14000
20140227;000000;1.0550000;1.1789000;0.9811000;1.1789000;27000
20140304;000000;1.0999000;1.0999000;1.0999000;1.0999000;1000
20140305;000000;1.1495000;1.1495000;1.1495000;1.1495000;1000
20140307;000000;1.0079000;1.1492000;1.0079000;1.1492000;2000
20140311;000000;1.0300000;1.0700000;1.0094000;1.0700000;4000
20140312;000000;1.0094000;1.0500000;0.9711000;1.0498000;19000
20140314;000000;0.9617000;1.0200000;0.9617000;1.0200000;2000
20140317;000000;1.0979000;1.3994000;1.0979000;1.2000000;206000
20140320;000000;1.4000000;1.5497000;1.2950000;1.5497000;118000
20140321;000000;1.5500000;1.7000000;1.4000000;1.5500000;18000
20140324;000000;1.4999000;1.4999000;1.4999000;1.4999000;2000
20140325;000000;1.5867000;1.6400000;1.4300000;1.5400000;5000
20140327;000000;1.5000000;1.6800000;1.4900000;1.6500000;106000
20140328;000000;1.5500000;1.7979000;1.5500000;1.7299000;277000
20140331;000000;1.7440000;1.7700000;1.5945000;1.7700000;523000
20140401;000000;1.6342000;1.7000000;1.6000000;1.6500000;228000
20140402;000000;1.7000000;1.7989000;1.6000000;1.7989000;494000
