<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;644.8000000;644.8000000;581.0000000;581.0000000;140
20140109;000000;579.9000000;580.0000000;570.0000000;570.0000000;250
20140113;000000;571.0000000;571.1000000;570.0000000;570.0000000;560
20140114;000000;555.0000000;579.4000000;486.0000000;560.0000000;90
20140115;000000;566.0000000;566.0000000;566.0000000;566.0000000;240
20140116;000000;580.4000000;580.4000000;580.4000000;580.4000000;10
20140117;000000;567.0000000;577.0000000;565.0000000;577.0000000;290
20140120;000000;567.5000000;567.5000000;567.5000000;567.5000000;10
20140121;000000;582.4000000;582.4000000;575.0000000;575.0000000;120
20140122;000000;579.8000000;579.8000000;579.8000000;579.8000000;20
20140123;000000;579.9000000;585.9000000;579.9000000;583.0000000;670
20140127;000000;570.0000000;578.9000000;561.0000000;565.0000000;2480
20140128;000000;579.0000000;580.0000000;579.0000000;580.0000000;20
20140129;000000;575.3000000;575.3000000;565.0000000;565.0000000;3040
20140130;000000;565.5000000;565.5000000;565.5000000;565.5000000;30
20140131;000000;568.1000000;570.0000000;568.0000000;570.0000000;30
20140203;000000;570.0000000;570.0000000;564.0000000;564.0000000;20
20140204;000000;561.0000000;580.0000000;561.0000000;572.5000000;170
20140205;000000;574.7000000;575.0000000;574.7000000;575.0000000;170
20140206;000000;580.0000000;580.0000000;580.0000000;580.0000000;10
20140207;000000;584.9000000;620.0000000;570.0000000;580.0000000;640
20140210;000000;584.5000000;599.9000000;580.0000000;580.0000000;120
20140211;000000;580.2000000;580.2000000;580.2000000;580.2000000;60
20140212;000000;580.1000000;590.0000000;580.0000000;590.0000000;330
20140213;000000;594.0000000;594.0000000;594.0000000;594.0000000;10
20140219;000000;581.0000000;581.0000000;575.0000000;575.0000000;170
20140220;000000;580.0000000;580.0000000;580.0000000;580.0000000;10
20140221;000000;576.0000000;576.0000000;576.0000000;576.0000000;100
20140225;000000;627.8000000;627.8000000;577.0000000;577.0000000;860
20140226;000000;620.0000000;647.9000000;570.0000000;575.0000000;340
20140227;000000;568.0000000;568.1000000;568.0000000;568.0000000;340
20140228;000000;568.1000000;568.1000000;568.0000000;568.0000000;180
20140303;000000;589.9000000;595.0000000;560.1000000;595.0000000;7710
20140304;000000;589.9000000;590.9000000;589.9000000;590.9000000;30
20140305;000000;598.9000000;598.9000000;598.9000000;598.9000000;30
20140307;000000;560.1000000;589.9000000;560.1000000;589.0000000;2620
20140311;000000;588.4000000;588.4000000;565.0000000;584.2000000;320
20140313;000000;579.8000000;580.0000000;566.1000000;576.9000000;50
20140314;000000;565.0000000;572.4000000;550.0000000;550.0000000;490
20140317;000000;550.5000000;569.9000000;550.0000000;569.9000000;280
20140318;000000;567.8000000;568.0000000;567.8000000;568.0000000;40
20140319;000000;579.8000000;586.0000000;565.0000000;565.0000000;12090
20140320;000000;565.0000000;565.0000000;560.0000000;560.0000000;290
20140321;000000;559.0000000;559.0000000;551.0000000;551.0000000;160
20140324;000000;569.8000000;639.8000000;550.0000000;550.0000000;1080
20140325;000000;555.1000000;555.1000000;550.0000000;550.0000000;1500
20140327;000000;573.6000000;573.6000000;573.6000000;573.6000000;10
20140328;000000;574.0000000;574.0000000;574.0000000;574.0000000;10
20140331;000000;565.0000000;565.0000000;564.0000000;564.0000000;190
20140401;000000;569.9000000;570.0000000;555.0000000;557.5000000;390
20140403;000000;563.7000000;563.7000000;563.7000000;563.7000000;10
