<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140110;000000;6996.1000000;6996.1000000;6007.7000000;6017.0000000;4
20140116;000000;5907.6000000;6500.1000000;5907.0000000;6500.0000000;10
20140122;000000;6003.3000000;6500.0000000;5900.0000000;6500.0000000;27
20140123;000000;6499.9000000;6499.9000000;6202.2000000;6202.2000000;101
20140124;000000;6000.4000000;6500.0000000;6000.0000000;6300.0000000;38
20140127;000000;6202.1000000;6202.1000000;6202.1000000;6202.1000000;70
20140128;000000;6001.3000000;6203.6000000;6001.2000000;6203.6000000;54
20140129;000000;6300.1000000;6301.0000000;6300.1000000;6301.0000000;50
20140130;000000;6005.5000000;6500.0000000;6005.5000000;6500.0000000;110
20140203;000000;6500.0000000;6500.0000000;6500.0000000;6500.0000000;1
20140204;000000;6300.0000000;6500.0000000;6300.0000000;6500.0000000;12
20140207;000000;6599.9000000;6599.9000000;6172.0000000;6500.0000000;17
20140212;000000;6500.0000000;6500.0000000;6178.2000000;6500.0000000;17
20140213;000000;6066.6000000;6066.6000000;6000.0000000;6000.0000000;29
20140214;000000;6473.3000000;6900.0000000;6473.3000000;6900.0000000;47
20140217;000000;6400.1000000;6800.0000000;6105.0000000;6800.0000000;47
20140218;000000;6875.0000000;6875.0000000;6799.9000000;6875.0000000;7
20140219;000000;6500.0000000;7100.0000000;6222.0000000;7100.0000000;336
20140220;000000;7099.9000000;7199.0000000;6899.9000000;7199.0000000;80
20140221;000000;7100.0000000;7199.9000000;7100.0000000;7100.0000000;14
20140224;000000;7100.0000000;7299.7000000;7100.0000000;7299.7000000;21
20140225;000000;7200.0000000;7200.0000000;7150.1000000;7150.1000000;13
20140226;000000;7199.8000000;7199.8000000;7199.8000000;7199.8000000;1
20140227;000000;6800.1000000;7020.0000000;6700.0000000;7020.0000000;15
20140228;000000;6700.0000000;7050.0000000;6700.0000000;6809.9000000;14
20140303;000000;6150.1000000;7100.0000000;6100.0000000;6400.0000000;69
20140304;000000;6890.0000000;6900.0000000;5999.9000000;6900.0000000;530
20140305;000000;6998.9000000;7000.0000000;6998.9000000;7000.0000000;120
20140307;000000;6238.2000000;6996.9000000;6238.2000000;6996.9000000;2
20140319;000000;6163.1000000;6200.1000000;6006.0000000;6200.1000000;11
20140320;000000;6300.0000000;6300.0000000;6300.0000000;6300.0000000;170
20140327;000000;6100.0000000;6100.0000000;6001.1000000;6001.1000000;2
20140331;000000;6791.9000000;6791.9000000;6207.0000000;6207.0000000;3
20140404;000000;6200.1000000;6200.1000000;6200.1000000;6200.1000000;3
20140408;000000;6200.0000000;6200.0000000;6200.0000000;6200.0000000;11
20140409;000000;6200.0000000;6200.0000000;6200.0000000;6200.0000000;20
20140410;000000;6200.0000000;6200.0000000;6200.0000000;6200.0000000;3
20140416;000000;6011.4000000;6011.4000000;6001.0000000;6001.0000000;4
20140421;000000;6250.0000000;6250.0000000;6250.0000000;6250.0000000;5
20140422;000000;6020.0000000;6020.0000000;6000.0000000;6000.0000000;22
20140424;000000;6212.6000000;6212.6000000;6200.0000000;6200.0000000;4
20140429;000000;6005.0000000;6005.0000000;6005.0000000;6005.0000000;1
20140507;000000;6007.0000000;6007.0000000;6007.0000000;6007.0000000;1
20140508;000000;5923.0000000;5923.0000000;5501.3000000;5900.0000000;14
20140513;000000;5900.0000000;5900.0000000;5900.0000000;5900.0000000;9
20140519;000000;5550.1000000;5700.0000000;5400.0000000;5700.0000000;54
20140522;000000;5506.6000000;5506.6000000;5506.6000000;5506.6000000;1
20140523;000000;5505.7000000;5505.7000000;5505.7000000;5505.7000000;2
20140526;000000;5701.0000000;5701.0000000;5701.0000000;5701.0000000;1
20140528;000000;5600.0000000;5600.0000000;5600.0000000;5600.0000000;12
20140603;000000;5869.9000000;5869.9000000;5869.9000000;5869.9000000;2
20140606;000000;5869.7000000;6000.0000000;5700.3000000;5700.3000000;65
20140609;000000;5700.5000000;5700.5000000;5700.5000000;5700.5000000;1
20140610;000000;5560.1000000;5560.1000000;5560.1000000;5560.1000000;1
20140616;000000;5560.3000000;5565.0000000;5560.2000000;5565.0000000;9
20140617;000000;5564.9000000;5565.0000000;5564.9000000;5565.0000000;2
20140620;000000;5900.0000000;5900.0000000;5300.0000000;5300.0000000;38
20140623;000000;5900.0000000;5900.0000000;5900.0000000;5900.0000000;10
20140624;000000;5500.0000000;5500.0000000;5500.0000000;5500.0000000;54
20140625;000000;5400.0000000;5400.0000000;5202.2000000;5202.2000000;6
20140626;000000;5203.3000000;5554.3000000;4900.0000000;5198.9000000;229
20140627;000000;5277.7000000;5277.7000000;5249.9000000;5249.9000000;2
20140630;000000;5250.0000000;5299.8000000;5001.0000000;5299.8000000;4
20140701;000000;5279.6000000;5279.6000000;5279.6000000;5279.6000000;2
20140702;000000;5449.9000000;5449.9000000;5078.2000000;5078.2000000;4
20140703;000000;5250.0000000;6600.0000000;5057.0000000;5225.0000000;59
20140704;000000;5277.0000000;5277.0000000;5277.0000000;5277.0000000;38
20140707;000000;5850.0000000;5850.0000000;5300.0000000;5375.0000000;8
20140708;000000;5218.2000000;5218.2000000;5209.1000000;5209.1000000;7
20140709;000000;5209.4000000;5299.8000000;5209.4000000;5299.8000000;6
20140710;000000;5241.1000000;5241.1000000;5226.7000000;5226.7000000;10
20140711;000000;5080.0000000;5730.5000000;5080.0000000;5200.0000000;20
20140714;000000;5500.0000000;5500.0000000;5151.0000000;5412.6000000;38
20140716;000000;6078.0000000;6078.0000000;5350.0000000;5400.0000000;7
20140718;000000;5100.1000000;5101.5000000;5000.0000000;5000.0000000;31
20140721;000000;5000.0000000;5050.0000000;4902.9000000;5008.0000000;53
20140722;000000;5008.0000000;5008.0000000;5008.0000000;5008.0000000;2
20140723;000000;5180.1000000;5180.2000000;5180.1000000;5180.2000000;22
20140724;000000;5000.0000000;5000.0000000;5000.0000000;5000.0000000;1
20140725;000000;4900.1000000;4900.1000000;4210.0000000;4210.0000000;6
20140728;000000;5094.9000000;5099.9000000;4336.0000000;4336.0000000;5
20140729;000000;5000.0000000;5000.0000000;4989.0000000;4989.0000000;3
20140801;000000;5000.0000000;5000.0000000;4650.0000000;4650.0000000;24
20140804;000000;4657.0000000;4881.0000000;4657.0000000;4881.0000000;18
20140805;000000;4979.9000000;4980.0000000;4881.0000000;4881.0000000;3
20140806;000000;4578.3000000;4578.3000000;4578.3000000;4578.3000000;1
20140807;000000;4578.3000000;4578.3000000;4578.3000000;4578.3000000;1
20140808;000000;4605.0000000;4828.0000000;4605.0000000;4828.0000000;18
20140811;000000;4828.0000000;4828.0000000;4828.0000000;4828.0000000;1
20140813;000000;4648.1000000;4648.1000000;4500.0000000;4500.0000000;6
20140814;000000;4470.0000000;4698.0000000;4470.0000000;4698.0000000;36
20140815;000000;4698.0000000;4698.0000000;4460.1000000;4460.1000000;5
20140818;000000;4332.0000000;5150.0000000;4332.0000000;5150.0000000;26
20140819;000000;4777.6000000;5040.0000000;4520.0000000;5040.0000000;23
20140820;000000;4800.0000000;4800.0000000;4800.0000000;4800.0000000;16
20140821;000000;4800.0000000;5169.5000000;4800.0000000;5169.5000000;20
20140822;000000;4804.2000000;5099.4000000;4803.0000000;5099.4000000;17
20140825;000000;4556.0000000;4891.0000000;4556.0000000;4891.0000000;18
20140827;000000;4993.9000000;4993.9000000;4993.9000000;4993.9000000;1
20140828;000000;4630.0000000;4970.0000000;4630.0000000;4970.0000000;18
20140829;000000;4320.0000000;4320.0000000;4320.0000000;4320.0000000;11
20140904;000000;4700.0000000;4700.0000000;4700.0000000;4700.0000000;1
20140909;000000;4896.0000000;5099.9000000;4896.0000000;5099.9000000;3
20140910;000000;4465.0000000;4900.0000000;4465.0000000;4900.0000000;4
20140912;000000;4500.0000000;4500.0000000;4414.7000000;4455.0000000;61
20140915;000000;4774.9000000;4950.0000000;4457.7000000;4800.0000000;30
20140916;000000;4426.0000000;4794.4000000;4425.0000000;4794.4000000;10
20140919;000000;4900.0000000;4900.0000000;4550.0000000;4870.0000000;40
20140923;000000;4516.7000000;4693.7000000;4516.7000000;4693.7000000;3
20140924;000000;4692.0000000;4692.0000000;4450.0000000;4599.6000000;17
20140925;000000;4595.7000000;4777.7000000;4400.0000000;4777.7000000;41
20140926;000000;4405.0000000;4407.7000000;4400.7000000;4400.7000000;4
20140929;000000;4499.7000000;4965.0000000;4499.7000000;4965.0000000;82
20140930;000000;4500.0000000;4520.5000000;4455.0000000;4506.0000000;56
20141001;000000;4490.0000000;4500.0000000;4310.0000000;4450.0000000;20
20141002;000000;4500.0000000;4500.0000000;4500.0000000;4500.0000000;6
20141006;000000;4350.0000000;4350.0000000;4320.0000000;4320.0000000;6
20141007;000000;4330.0000000;4490.0000000;4200.0000000;4350.0000000;61
20141008;000000;4300.0000000;4300.0000000;4250.0000000;4250.0000000;17
20141009;000000;4230.0000000;4230.0000000;4230.0000000;4230.0000000;1
20141010;000000;4300.0000000;4300.0000000;4200.0000000;4200.0000000;8
20141013;000000;4100.0000000;4200.0000000;4100.0000000;4200.0000000;2
20141014;000000;4100.0000000;4240.0000000;4060.0000000;4240.0000000;10
20141015;000000;4100.0000000;4120.0000000;4100.0000000;4110.0000000;17
20141016;000000;3870.0000000;4200.0000000;3860.0000000;4200.0000000;11
20141017;000000;4110.0000000;4110.0000000;4100.0000000;4100.0000000;16
20141020;000000;4000.0000000;4010.0000000;4000.0000000;4000.0000000;3
20141021;000000;3930.0000000;3930.0000000;3930.0000000;3930.0000000;2
20141022;000000;3970.0000000;3970.0000000;3970.0000000;3970.0000000;2
20141028;000000;3950.0000000;3970.0000000;3950.0000000;3970.0000000;2
20141029;000000;4150.0000000;4200.0000000;4100.0000000;4200.0000000;6
20141030;000000;3960.0000000;4140.0000000;3960.0000000;4050.0000000;20
20141031;000000;3990.0000000;4880.0000000;3800.0000000;4080.0000000;195
20141103;000000;4240.0000000;4250.0000000;4240.0000000;4250.0000000;6
20141106;000000;4000.0000000;4390.0000000;4000.0000000;4390.0000000;2
20141110;000000;4320.0000000;4330.0000000;4320.0000000;4330.0000000;2
20141111;000000;4690.0000000;4690.0000000;4100.0000000;4380.0000000;69
20141112;000000;4100.0000000;4100.0000000;4100.0000000;4100.0000000;10
20141114;000000;4000.0000000;4150.0000000;4000.0000000;4150.0000000;3
20141117;000000;4010.0000000;4020.0000000;4000.0000000;4010.0000000;9
20141118;000000;4000.0000000;4000.0000000;4000.0000000;4000.0000000;1
20141119;000000;3940.0000000;4200.0000000;3940.0000000;4000.0000000;16
20141120;000000;4100.0000000;4100.0000000;4100.0000000;4100.0000000;10
20141121;000000;4000.0000000;4000.0000000;4000.0000000;4000.0000000;1
20141124;000000;4000.0000000;4000.0000000;3880.0000000;3990.0000000;68
20141125;000000;3990.0000000;3990.0000000;3820.0000000;3820.0000000;5
20141126;000000;3700.0000000;4000.0000000;3650.0000000;4000.0000000;163
20141128;000000;3990.0000000;3990.0000000;3990.0000000;3990.0000000;2
20141201;000000;3980.0000000;4000.0000000;3980.0000000;4000.0000000;56
20141202;000000;4000.0000000;4000.0000000;3720.0000000;3720.0000000;4
20141203;000000;3720.0000000;3750.0000000;3650.0000000;3750.0000000;8
20141204;000000;3950.0000000;3950.0000000;3950.0000000;3950.0000000;1
20141210;000000;3920.0000000;3930.0000000;2350.0000000;3810.0000000;110
20141212;000000;3380.0000000;3740.0000000;3380.0000000;3740.0000000;2
20141216;000000;3740.0000000;3770.0000000;3400.0000000;3770.0000000;14
20141222;000000;3240.0000000;3590.0000000;3240.0000000;3590.0000000;14
20141225;000000;3400.0000000;3710.0000000;3400.0000000;3710.0000000;6
20141226;000000;3330.0000000;3600.0000000;3330.0000000;3600.0000000;25
20141230;000000;3690.0000000;3710.0000000;3690.0000000;3710.0000000;6
