<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;3.2000000;3.2000000;3.2000000;3.2000000;1000
20140203;000000;3.4980000;3.5000000;3.4980000;3.5000000;79000
20140307;000000;3.2000000;3.6500000;3.2000000;3.6500000;2000
20140321;000000;3.2000000;3.2000000;3.2000000;3.2000000;4000
20140403;000000;3.2000000;3.2000000;3.2000000;3.2000000;5000
20140429;000000;2.9100000;2.9100000;2.9100000;2.9100000;22000
20140617;000000;1.7520000;2.5000000;1.7520000;2.5000000;3000
20140821;000000;3.0000000;3.0000000;1.5210000;1.5210000;2000
20140822;000000;2.5000000;2.6000000;2.5000000;2.6000000;9000
20140825;000000;2.6300000;2.6500000;2.6300000;2.6500000;7000
20141001;000000;1.6300000;2.0500000;1.6200000;2.0500000;9000
20141002;000000;2.3500000;2.4500000;2.3500000;2.4500000;2000
20141017;000000;1.6100000;2.0000000;1.6000000;2.0000000;8000
20141103;000000;2.5000000;2.5000000;2.5000000;2.5000000;1000
20141113;000000;2.5000000;2.5000000;2.5000000;2.5000000;1000
20141216;000000;2.5000000;2.5000000;2.5000000;2.5000000;2000
