<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;842.8000000;851.0000000;830.3000000;830.3000000;123
20140108;000000;821.4000000;821.4000000;821.2000000;821.2000000;12
20140109;000000;835.3000000;859.6000000;835.1000000;850.0000000;299
20140110;000000;850.0000000;850.0000000;840.0000000;850.0000000;517
20140113;000000;850.0000000;850.0000000;850.0000000;850.0000000;150
20140114;000000;850.0000000;855.0000000;850.0000000;850.0000000;62
20140116;000000;849.9000000;855.0000000;849.9000000;850.0000000;137
20140117;000000;850.0000000;850.0000000;850.0000000;850.0000000;101
20140120;000000;850.0000000;850.0000000;850.0000000;850.0000000;100
20140121;000000;855.1000000;855.1000000;855.1000000;855.1000000;1
20140122;000000;859.9000000;870.0000000;859.9000000;870.0000000;211
20140123;000000;880.0000000;900.0000000;870.0000000;870.0000000;62
20140124;000000;869.9000000;870.0000000;869.9000000;870.0000000;50
20140127;000000;870.1000000;870.1000000;870.0000000;870.0000000;59
20140128;000000;875.5000000;955.0000000;870.0000000;870.0000000;94
20140129;000000;830.4000000;870.0000000;826.5000000;870.0000000;61
20140130;000000;863.7000000;870.5000000;863.7000000;870.0000000;54
20140131;000000;870.0000000;870.0000000;870.0000000;870.0000000;50
20140203;000000;880.0000000;880.0000000;824.3000000;870.0000000;71
20140204;000000;870.0000000;870.0000000;870.0000000;870.0000000;44
20140205;000000;870.0000000;870.0000000;860.0000000;870.0000000;70
20140206;000000;941.2000000;999.8000000;870.0000000;870.0000000;131
20140207;000000;875.9000000;882.3000000;875.9000000;881.0000000;52
20140210;000000;881.1000000;881.1000000;827.0000000;881.0000000;202
20140211;000000;881.1000000;886.1000000;881.0000000;886.1000000;434
20140212;000000;881.1000000;886.1000000;881.1000000;886.1000000;6
20140213;000000;871.7000000;886.1000000;860.0000000;886.1000000;321
20140214;000000;886.1000000;886.1000000;870.0000000;875.0000000;576
20140217;000000;886.1000000;886.1000000;826.9000000;886.1000000;311
20140218;000000;870.0000000;885.0000000;870.0000000;885.0000000;60
20140219;000000;886.1000000;886.1000000;830.0000000;886.1000000;705
20140220;000000;886.1000000;886.1000000;832.0000000;885.7000000;188
20140221;000000;886.6000000;920.0000000;885.0000000;900.0000000;6225
20140224;000000;919.9000000;930.0000000;910.0000000;922.0000000;1464
20140225;000000;930.0000000;949.9000000;930.0000000;949.9000000;1454
20140226;000000;960.0000000;966.1000000;960.0000000;966.0000000;116
20140227;000000;988.0000000;1037.5000000;988.0000000;991.0000000;185
20140228;000000;1007.9000000;1014.0000000;1007.9000000;1007.9000000;623
20140303;000000;1007.6000000;1019.8000000;1007.6000000;1007.9000000;2511
20140304;000000;1000.0000000;1013.5000000;1000.0000000;1007.9000000;4045
20140305;000000;1007.9000000;1007.9000000;1007.9000000;1007.9000000;169
20140306;000000;1008.0000000;1008.0000000;1007.9000000;1007.9000000;81
20140307;000000;1007.9000000;1026.0000000;1007.9000000;1008.0000000;5
20140311;000000;1008.1000000;1008.1000000;1007.9000000;1007.9000000;5060
20140312;000000;1005.7000000;1008.0000000;1005.7000000;1007.9000000;91
20140313;000000;1007.9000000;1007.9000000;1007.9000000;1007.9000000;228
20140314;000000;1007.9000000;1007.9000000;1007.9000000;1007.9000000;550
20140317;000000;1010.0000000;1020.9000000;1010.0000000;1020.9000000;2
20140318;000000;1008.0000000;1008.0000000;1007.9000000;1007.9000000;101
20140319;000000;1010.0000000;1010.0000000;1008.0000000;1008.0000000;5
20140320;000000;1007.9000000;1007.9000000;1007.9000000;1007.9000000;229
20140321;000000;1007.9000000;1007.9000000;1007.9000000;1007.9000000;11
20140325;000000;948.9000000;948.9000000;942.1000000;942.1000000;3
20140326;000000;1007.9000000;1007.9000000;1007.9000000;1007.9000000;155
20140328;000000;1007.9000000;1007.9000000;1007.9000000;1007.9000000;16
20140331;000000;1040.0000000;1040.0000000;1008.0000000;1008.0000000;12
20140401;000000;1019.9000000;1020.0000000;1007.9000000;1007.9000000;28
20140402;000000;1018.5000000;1018.5000000;1018.5000000;1018.5000000;1
20140404;000000;1007.9000000;1007.9000000;1007.9000000;1007.9000000;5
20140407;000000;1008.5000000;1008.5000000;1007.9000000;1007.9000000;7
20140408;000000;945.3000000;1007.9000000;943.0000000;1007.9000000;50
20140409;000000;1008.0000000;1008.0000000;1007.9000000;1007.9000000;35
