<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;61.3000000;61.4000000;61.2000000;61.2000000;18300
20140110;000000;61.1500000;61.6800000;60.9900000;61.1500000;17700
20140113;000000;60.9900000;61.6000000;60.9500000;61.2900000;16000
20140114;000000;60.9900000;61.7000000;60.9900000;61.1800000;16000
20140115;000000;61.3000000;61.3000000;61.1800000;61.3000000;17000
20140116;000000;61.0000000;61.8000000;61.0000000;61.5000000;16400
20140117;000000;61.3500000;61.5100000;61.3000000;61.5100000;16900
20140120;000000;61.0500000;61.7400000;61.0500000;61.5000000;17700
20140121;000000;61.6000000;61.7200000;61.5200000;61.5200000;14700
20140122;000000;61.3000000;61.7500000;61.0100000;61.4000000;15500
20140123;000000;60.9900000;61.6000000;60.9900000;61.6000000;17500
20140124;000000;61.5000000;61.5400000;61.4000000;61.4000000;15600
20140127;000000;61.3000000;61.7100000;61.0200000;61.4200000;15600
20140128;000000;61.1000000;61.7000000;61.1000000;61.3000000;16500
20140129;000000;61.4800000;61.6200000;61.0000000;61.0000000;18100
20140130;000000;61.0300000;61.7000000;61.0300000;61.1000000;16500
20140131;000000;61.2000000;61.4000000;61.1300000;61.4000000;11000
20140203;000000;61.2000000;61.5000000;61.2000000;61.5000000;14300
20140204;000000;61.3000000;61.3000000;61.0000000;61.2500000;13700
20140205;000000;61.5000000;61.5000000;61.1100000;61.1100000;16100
20140206;000000;61.2500000;61.5700000;61.2000000;61.4000000;15100
20140207;000000;61.5700000;61.6300000;61.4000000;61.5000000;17100
20140210;000000;61.2800000;61.5000000;61.2800000;61.5000000;17000
20140211;000000;61.4400000;61.4900000;61.3200000;61.4900000;16100
20140212;000000;61.5800000;61.7000000;60.9800000;61.6000000;15700
20140213;000000;61.5000000;61.5900000;61.3500000;61.3500000;18000
20140214;000000;61.3500000;61.5500000;61.3000000;61.3000000;12700
20140217;000000;60.9800000;61.5500000;60.9800000;61.5500000;17500
20140218;000000;61.4400000;61.6000000;61.4400000;61.6000000;23000
20140219;000000;61.4500000;61.5000000;61.1100000;61.1100000;18400
20140220;000000;61.4100000;61.5000000;61.3500000;61.3500000;16700
20140221;000000;61.3800000;61.5000000;61.3000000;61.5000000;11300
20140224;000000;61.3700000;61.4000000;61.3100000;61.3100000;13000
20140225;000000;61.2000000;61.3700000;61.2000000;61.3700000;15300
20140226;000000;61.3000000;61.3300000;61.2200000;61.2400000;14900
20140227;000000;61.4000000;61.4300000;61.2100000;61.2100000;14400
20140305;000000;60.9900000;60.9900000;60.7500000;60.7500000;2900
20140307;000000;61.9800000;61.9800000;60.9800000;60.9800000;200
20140328;000000;61.3800000;61.3800000;60.9900000;60.9900000;2900
20140331;000000;60.9900000;61.3300000;60.9800000;60.9800000;3200
20140401;000000;61.3400000;61.5000000;61.1500000;61.5000000;5500
20140402;000000;61.5700000;61.5700000;61.0500000;61.0500000;9500
20140403;000000;61.3800000;61.3800000;61.1000000;61.1000000;10300
20140404;000000;61.4800000;61.5400000;61.1100000;61.1100000;8300
20140407;000000;61.1800000;61.4000000;60.9800000;60.9900000;11800
20140408;000000;61.3000000;61.3800000;61.0000000;61.0000000;13000
20140409;000000;61.2500000;61.4500000;61.0000000;61.2200000;13200
20140410;000000;61.1800000;61.4800000;61.1000000;61.4000000;13200
20140411;000000;61.2000000;61.3900000;60.9800000;61.3900000;11200
20140414;000000;61.0100000;61.3000000;61.0000000;61.0900000;12200
20140415;000000;61.2000000;61.4000000;61.0700000;61.1300000;13700
20140416;000000;60.9800000;61.4300000;60.9800000;61.4000000;9900
20140417;000000;61.2800000;61.7100000;61.1800000;61.4800000;12000
20140418;000000;61.4000000;61.6000000;61.2100000;61.4500000;9400
20140421;000000;60.9900000;61.4000000;60.9900000;61.4000000;3000
20140422;000000;61.4100000;61.4100000;61.0500000;61.0500000;7500
20140423;000000;61.2000000;61.4900000;61.1100000;61.1100000;10700
20140424;000000;61.3000000;61.5500000;61.1000000;61.2500000;11700
20140425;000000;61.1000000;61.1000000;61.0200000;61.0200000;5800
20140428;000000;61.1700000;61.4500000;61.0800000;61.4500000;12300
20140429;000000;61.3800000;61.4500000;61.1500000;61.4500000;9700
20140430;000000;61.2300000;61.3400000;61.2300000;61.2600000;5000
20140505;000000;61.4000000;61.5300000;61.3300000;61.4800000;7600
20140506;000000;61.4700000;61.7000000;61.3600000;61.5200000;4900
20140507;000000;61.7600000;61.8000000;61.4500000;61.6700000;7300
20140508;000000;61.7500000;61.8200000;61.6000000;61.8200000;6000
20140512;000000;61.5500000;61.5500000;61.2700000;61.5000000;9300
20140513;000000;61.5000000;61.6500000;61.4000000;61.6000000;9000
20140514;000000;61.3600000;61.4900000;61.2100000;61.4900000;12800
20140515;000000;61.3500000;61.7000000;61.2500000;61.5000000;10500
20140516;000000;61.4800000;61.5800000;61.3300000;61.4000000;9500
20140519;000000;61.4000000;61.6900000;61.3000000;61.6900000;8700
20140520;000000;61.4600000;61.7700000;61.0300000;61.7200000;18400
20140521;000000;61.7100000;61.7500000;61.4800000;61.7500000;10000
20140522;000000;61.5700000;61.6000000;61.5700000;61.6000000;4400
20140609;000000;30.5900000;30.5900000;30.5900000;30.5900000;100
20140624;000000;39.9900000;39.9900000;39.9900000;39.9900000;100
20140710;000000;41.5000000;41.5000000;41.5000000;41.5000000;100
20140723;000000;38.0600000;38.0600000;38.0600000;38.0600000;100
20140804;000000;27.2000000;27.2000000;27.2000000;27.2000000;100
20140805;000000;27.5000000;27.5000000;27.5000000;27.5000000;100
20140807;000000;38.4800000;38.4800000;38.4800000;38.4800000;100
20140821;000000;53.8100000;53.8100000;53.8100000;53.8100000;100
20140822;000000;32.3600000;32.3600000;32.3600000;32.3600000;100
20140825;000000;32.5000000;32.5000000;32.3600000;32.3600000;400
20140905;000000;23.0700000;23.0700000;23.0700000;23.0700000;100
20140911;000000;25.4000000;25.4000000;25.4000000;25.4000000;100
20141118;000000;21.0000000;21.0000000;21.0000000;21.0000000;300
20141222;000000;24.2000000;24.2000000;24.2000000;24.2000000;100
20141225;000000;30.0000000;30.0000000;30.0000000;30.0000000;100
