<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140204;000000;2.0000000;2.0000000;2.0000000;2.0000000;2000
20140207;000000;2.2000000;2.2000000;2.2000000;2.2000000;3000
20140212;000000;2.4990000;2.4990000;2.4990000;2.4990000;1000
20140307;000000;1.6012000;2.7720000;1.6012000;2.7720000;2000
20140314;000000;2.1000000;2.1000000;2.1000000;2.1000000;1000
20140318;000000;2.7700000;2.7700000;2.7700000;2.7700000;1000
20140327;000000;2.7216000;2.7216000;2.7216000;2.7216000;1000
20140423;000000;1.7702000;2.0000000;1.7700000;2.0000000;3000
20140425;000000;2.0011000;2.0011000;2.0011000;2.0011000;1000
20140428;000000;2.0011000;2.0011000;2.0000000;2.0000000;4000
20140502;000000;1.7800000;1.7800000;1.7800000;1.7800000;1000
20140519;000000;2.1000000;2.1000000;1.9000000;1.9000000;13000
20140522;000000;2.0800000;2.0800000;2.0800000;2.0800000;17000
20140527;000000;2.0000000;2.0000000;2.0000000;2.0000000;2000
20140814;000000;2.3500000;2.3500000;2.3500000;2.3500000;1000
20140915;000000;1.8448000;2.2000000;1.8448000;2.2000000;2000
20141008;000000;2.2900000;2.5000000;2.2900000;2.5000000;11000
20141009;000000;1.8200000;1.9900000;1.6400000;1.8100000;106000
20141010;000000;1.8000000;1.8000000;1.7900000;1.7900000;5000
20141013;000000;1.9700000;1.9700000;1.9700000;1.9700000;2000
20141014;000000;1.7000000;1.8900000;1.7000000;1.8900000;3000
20141015;000000;1.8000000;1.8000000;1.7000000;1.7400000;7000
20141022;000000;1.9600000;2.3900000;1.9600000;2.3900000;24000
20141029;000000;2.0000000;2.0000000;2.0000000;2.0000000;2000
20141106;000000;2.0000000;2.0000000;2.0000000;2.0000000;1000
20141107;000000;1.9000000;1.9000000;1.8400000;1.8400000;5000
20141110;000000;2.1900000;2.1900000;2.1900000;2.1900000;1000
20141111;000000;1.9900000;1.9900000;1.8000000;1.8000000;10000
20141112;000000;1.8100000;2.0000000;1.7100000;1.7100000;11000
20141121;000000;1.8400000;2.0000000;1.7700000;2.0000000;7000
20141203;000000;1.8000000;1.8000000;1.8000000;1.8000000;2000
20141204;000000;1.8000000;1.8000000;1.8000000;1.8000000;2000
20141216;000000;1.6100000;1.6100000;1.6100000;1.6100000;1000
20141224;000000;1.7000000;1.7000000;1.7000000;1.7000000;2000
20141226;000000;1.7000000;1.7000000;1.7000000;1.7000000;2000
