<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;15.4200000;15.7500000;15.1600000;15.4200000;6280
20140108;000000;15.7000000;15.8300000;15.3600000;15.5700000;330
20140109;000000;15.5900000;15.6400000;15.2900000;15.2900000;3850
20140110;000000;15.2600000;15.2600000;14.4800000;15.1400000;68590
20140113;000000;15.0700000;15.0700000;14.8100000;14.9800000;6250
20140114;000000;14.9100000;14.9200000;14.4800000;14.6300000;31880
20140115;000000;14.5200000;14.9000000;14.3000000;14.6500000;114290
20140116;000000;14.5500000;14.9200000;14.5000000;14.8600000;13730
20140117;000000;14.7800000;15.2500000;14.7700000;15.1600000;20440
20140120;000000;15.0700000;15.2500000;14.8400000;14.8600000;9030
20140121;000000;15.0000000;15.2700000;14.9200000;15.0000000;23510
20140122;000000;15.0000000;15.4500000;14.9100000;15.0500000;39170
20140123;000000;15.0500000;15.2400000;15.0000000;15.2000000;25990
20140124;000000;15.0700000;15.2200000;15.0200000;15.1000000;7910
20140127;000000;14.8000000;15.1800000;14.6600000;14.9800000;15740
20140128;000000;14.8900000;15.0600000;14.5000000;14.7300000;13750
20140129;000000;14.9600000;14.9600000;14.5100000;14.9000000;16820
20140130;000000;15.0000000;15.0000000;14.6700000;14.7900000;290
20140131;000000;14.6800000;15.0000000;14.6800000;14.8300000;760
20140203;000000;14.9000000;14.9700000;14.6700000;14.7900000;3800
20140204;000000;14.7100000;14.7500000;13.1500000;14.1200000;20180
20140205;000000;14.2100000;14.4100000;14.1600000;14.2600000;9230
20140206;000000;14.3900000;14.4400000;14.2000000;14.3000000;1590
20140207;000000;14.2900000;14.5000000;14.2100000;14.4600000;9090
20140210;000000;14.4400000;14.4900000;14.2100000;14.4000000;5420
20140211;000000;14.4200000;14.8300000;14.4000000;14.8300000;46310
20140212;000000;14.8300000;15.7200000;14.7800000;15.4400000;90440
20140213;000000;15.4400000;16.0000000;15.4400000;15.6600000;45410
20140214;000000;15.5900000;15.8400000;15.2900000;15.6500000;10350
20140217;000000;15.6500000;15.9400000;15.3500000;15.5800000;22900
20140218;000000;15.5900000;15.5900000;15.2000000;15.4900000;4420
20140219;000000;15.3700000;15.7600000;15.1700000;15.2800000;21680
20140220;000000;15.3800000;15.3800000;14.8100000;15.2500000;6340
20140221;000000;15.2900000;15.7000000;15.1200000;15.2900000;7420
20140224;000000;15.5000000;15.5000000;14.7200000;15.2800000;11170
20140225;000000;15.3300000;15.3300000;14.7500000;15.0300000;13630
20140226;000000;15.1400000;15.3700000;14.8400000;15.2400000;24810
20140227;000000;15.1400000;15.1900000;14.5000000;14.8800000;41560
20140228;000000;14.9700000;14.9800000;14.0200000;14.7500000;31400
