<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0696000;0.0696500;0.0695000;0.0695000;140000
20140108;000000;0.0690000;0.0690000;0.0689300;0.0689300;610000
20140109;000000;0.0689300;0.0709800;0.0689300;0.0709800;30000
20140110;000000;0.0645500;0.0689300;0.0645500;0.0688900;40000
20140113;000000;0.0699900;0.0721400;0.0678700;0.0678700;50000
20140114;000000;0.0695900;0.0695900;0.0686000;0.0695900;30000
20140115;000000;0.0690000;0.0696900;0.0690000;0.0696900;20000
20140116;000000;0.0690000;0.0694900;0.0677500;0.0686500;280000
20140117;000000;0.0677400;0.0679000;0.0677300;0.0679000;760000
20140120;000000;0.0677300;0.0677300;0.0670600;0.0670600;530000
20140122;000000;0.0653200;0.0690000;0.0653200;0.0690000;2490000
20140123;000000;0.0661400;0.0661400;0.0655000;0.0655000;480000
20140124;000000;0.0669900;0.0670000;0.0669900;0.0670000;130000
20140127;000000;0.0670000;0.0670000;0.0652000;0.0659900;1030000
20140128;000000;0.0666600;0.0666600;0.0666600;0.0666600;10000
20140129;000000;0.0639000;0.0639000;0.0639000;0.0639000;10000
20140130;000000;0.0650000;0.0650000;0.0650000;0.0650000;5000000
20140131;000000;0.0623100;0.0650000;0.0623100;0.0650000;30000
20140203;000000;0.0622200;0.0622200;0.0622200;0.0622200;10000
20140205;000000;0.0695200;0.0695200;0.0695200;0.0695200;20000
20140206;000000;0.0625100;0.0625100;0.0625000;0.0625000;540000
20140210;000000;0.0630100;0.0630100;0.0630100;0.0630100;330000
20140212;000000;0.0622900;0.0640000;0.0610000;0.0631000;600000
20140213;000000;0.0618000;0.0675000;0.0618000;0.0618300;430000
20140214;000000;0.0639800;0.0640000;0.0639800;0.0640000;170000
20140218;000000;0.0620300;0.0626900;0.0610100;0.0626900;510000
20140219;000000;0.0619800;0.0633200;0.0600000;0.0629600;2270000
20140220;000000;0.0595000;0.0605900;0.0500100;0.0597900;1250000
20140221;000000;0.0581100;0.0590000;0.0533500;0.0569900;1540000
20140224;000000;0.0570000;0.0578700;0.0532800;0.0547700;3500000
20140225;000000;0.0531300;0.0557900;0.0520200;0.0542100;2610000
