<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0281900;0.0284200;0.0280500;0.0280700;1610000
20140108;000000;0.0285000;0.0285000;0.0280600;0.0280900;810000
20140109;000000;0.0280000;0.0280000;0.0272000;0.0275100;860000
20140110;000000;0.0274000;0.0275800;0.0270700;0.0275800;4540000
20140113;000000;0.0270600;0.0275300;0.0265100;0.0275100;3860000
20140114;000000;0.0275400;0.0275400;0.0275100;0.0275100;20000
20140115;000000;0.0271900;0.0288400;0.0271900;0.0277600;440000
20140116;000000;0.0279900;0.0284600;0.0270600;0.0275400;4920000
20140117;000000;0.0270800;0.0275000;0.0270500;0.0275000;2490000
20140120;000000;0.0271300;0.0280000;0.0270800;0.0275000;1570000
20140121;000000;0.0280000;0.0280000;0.0277000;0.0277000;1170000
20140122;000000;0.0277200;0.0285000;0.0274600;0.0283800;1580000
20140123;000000;0.0283700;0.0283800;0.0283700;0.0283800;40000
20140124;000000;0.0284800;0.0284800;0.0275600;0.0275600;20000
20140127;000000;0.0284000;0.0284000;0.0284000;0.0284000;20000
20140128;000000;0.0279100;0.0279900;0.0270200;0.0279900;320000
20140129;000000;0.0277100;0.0284800;0.0277100;0.0279800;80000
20140130;000000;0.0280000;0.0283900;0.0270200;0.0278900;6550000
20140131;000000;0.0280000;0.0292000;0.0275000;0.0279900;240000
20140203;000000;0.0279000;0.0289500;0.0275000;0.0275000;260000
20140204;000000;0.0276100;0.0276400;0.0276100;0.0276400;20000
20140205;000000;0.0271300;0.0275000;0.0269900;0.0275000;8910000
20140206;000000;0.0277700;0.0281900;0.0277700;0.0281900;90000
20140207;000000;0.0278000;0.0278000;0.0270200;0.0274900;11520000
20140210;000000;0.0274800;0.0274800;0.0274800;0.0274800;40000
20140211;000000;0.0272000;0.0275000;0.0270200;0.0274900;3520000
20140212;000000;0.0275800;0.0289000;0.0275000;0.0275000;710000
20140213;000000;0.0275000;0.0285900;0.0273100;0.0279900;1400000
20140214;000000;0.0277000;0.0284700;0.0270000;0.0273200;2450000
20140217;000000;0.0273200;0.0274800;0.0269900;0.0273000;18090000
20140218;000000;0.0272800;0.0275000;0.0272800;0.0274900;5000000
20140219;000000;0.0270400;0.0270400;0.0267000;0.0267000;1600000
20140220;000000;0.0266400;0.0268900;0.0260200;0.0261500;2890000
20140221;000000;0.0267800;0.0267900;0.0257900;0.0257900;1920000
20140224;000000;0.0254100;0.0275000;0.0254100;0.0275000;7390000
20140225;000000;0.0265000;0.0273000;0.0265000;0.0270000;6760000
20140226;000000;0.0274000;0.0284200;0.0274000;0.0275100;520000
20140227;000000;0.0275200;0.0275200;0.0256900;0.0256900;1500000
20140228;000000;0.0260000;0.0269500;0.0250000;0.0250000;5860000
20140303;000000;0.0244200;0.0259500;0.0199900;0.0208500;7520000
20140304;000000;0.0210100;0.0272000;0.0210100;0.0230000;13710000
20140305;000000;0.0251000;0.0268700;0.0220000;0.0259600;1440000
20140306;000000;0.0250400;0.0252000;0.0235000;0.0249900;7920000
20140307;000000;0.0230100;0.0260000;0.0230100;0.0230900;11090000
20140311;000000;0.0235000;0.0237900;0.0229900;0.0236000;8180000
20140312;000000;0.0225200;0.0240100;0.0225000;0.0240000;20760000
20140313;000000;0.0230300;0.0260000;0.0230300;0.0250000;36740000
20140314;000000;0.0222000;0.0250000;0.0222000;0.0250000;4240000
20140317;000000;0.0249900;0.0269500;0.0240300;0.0269500;1160000
20140318;000000;0.0269000;0.0270000;0.0248600;0.0270000;4150000
20140319;000000;0.0274000;0.0274000;0.0240400;0.0260000;5670000
20140320;000000;0.0257300;0.0257300;0.0235400;0.0250000;1160000
20140321;000000;0.0230200;0.0250000;0.0230200;0.0249300;1050000
20140324;000000;0.0274900;0.0274900;0.0255400;0.0260000;3970000
20140325;000000;0.0270000;0.0280900;0.0260000;0.0260400;2580000
20140326;000000;0.0261000;0.0269900;0.0261000;0.0269900;320000
20140327;000000;0.0252800;0.0267100;0.0249900;0.0262900;7870000
20140328;000000;0.0277000;0.0277000;0.0255000;0.0255000;630000
20140331;000000;0.0248000;0.0267800;0.0248000;0.0260000;6610000
