<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140123;000000;0.1001100;0.1001100;0.1000000;0.1000000;240000
20140127;000000;0.1164800;0.1164800;0.1076000;0.1076000;100000
20140130;000000;0.1076000;0.1076000;0.1076000;0.1076000;10000
20140131;000000;0.1026000;0.1066000;0.1000100;0.1066000;120000
20140203;000000;0.1000100;0.1123700;0.1000000;0.1123700;70000
20140204;000000;0.1000000;0.1000000;0.1000000;0.1000000;50000
20140207;000000;0.1200000;0.1200000;0.1100000;0.1123900;310000
20140214;000000;0.1000100;0.1000100;0.1000000;0.1000000;110000
20140224;000000;0.0950000;0.0969100;0.0880000;0.0969100;140000
20140227;000000;0.0905200;0.0935000;0.0900000;0.0910000;390000
20140303;000000;0.0860200;0.0880400;0.0730300;0.0799900;1230000
20140304;000000;0.0880400;0.0880400;0.0700000;0.0780000;1750000
20140305;000000;0.0752100;0.0790000;0.0700000;0.0790000;1680000
20140306;000000;0.0700000;0.0750000;0.0700000;0.0700000;4750000
20140307;000000;0.0670100;0.0779900;0.0670100;0.0770000;50000
20140311;000000;0.0784500;0.0784500;0.0764400;0.0764400;20000
20140312;000000;0.0690000;0.0690000;0.0690000;0.0690000;20000
20140313;000000;0.0730800;0.0810000;0.0730800;0.0810000;3500000
20140314;000000;0.0660000;0.0660200;0.0660000;0.0660000;1650000
20140319;000000;0.0749900;0.0799000;0.0749900;0.0799000;360000
20140320;000000;0.0795500;0.0795500;0.0795500;0.0795500;180000
20140321;000000;0.0750100;0.0750100;0.0750000;0.0750000;210000
20140324;000000;0.0750000;0.0880300;0.0750000;0.0790000;90000
20140325;000000;0.0880400;0.0880400;0.0760600;0.0760600;20000
20140326;000000;0.0819900;0.0819900;0.0819900;0.0819900;100000
20140327;000000;0.0849900;0.0850000;0.0750300;0.0780000;3760000
20140328;000000;0.0750200;0.0810000;0.0750200;0.0750200;130000
20140401;000000;0.0750300;0.1049900;0.0750300;0.0901100;2610000
20140402;000000;0.0900200;0.1000000;0.0900200;0.0950000;360000
20140403;000000;0.0910400;0.0910400;0.0850400;0.0860700;360000
20140404;000000;0.0860400;0.0860400;0.0773400;0.0850000;170000
20140407;000000;0.0810100;0.0900000;0.0810100;0.0900000;180000
20140409;000000;0.0800100;0.0900100;0.0790100;0.0900000;180000
20140411;000000;0.0801200;0.0801200;0.0801100;0.0801100;20000
20140414;000000;0.0801300;0.0870000;0.0801300;0.0870000;40000
20140416;000000;0.0899900;0.0900000;0.0899900;0.0900000;110000
20140417;000000;0.0900200;0.0920000;0.0900100;0.0920000;70000
20140421;000000;0.0900100;0.0900100;0.0801100;0.0801100;20000
20140423;000000;0.0900000;0.1072000;0.0890000;0.1000000;18230000
20140424;000000;0.0979900;0.1005000;0.0901500;0.1005000;890000
20140425;000000;0.0900600;0.1000100;0.0900300;0.0950000;460000
20140428;000000;0.0900000;0.0999800;0.0900000;0.0950000;590000
20140430;000000;0.0850000;0.0932300;0.0850000;0.0910000;90000
20140502;000000;0.0990000;0.0990000;0.0990000;0.0990000;10000
20140506;000000;0.0860100;0.1049900;0.0850000;0.1049900;590000
20140508;000000;0.0810200;0.0999800;0.0800000;0.0839900;4290000
20140512;000000;0.0880000;0.0999800;0.0803000;0.0803000;370000
20140513;000000;0.0889700;0.0889700;0.0810100;0.0850000;330000
20140514;000000;0.0880000;0.0880100;0.0850100;0.0880000;70000
20140515;000000;0.0840000;0.0870000;0.0807200;0.0870000;220000
20140516;000000;0.0860100;0.0870000;0.0860100;0.0870000;20000
20140519;000000;0.1087800;0.1087800;0.0900000;0.0900000;260000
20140520;000000;0.0900100;0.0900100;0.0900000;0.0900000;170000
20140521;000000;0.0890000;0.0890000;0.0890000;0.0890000;120000
20140522;000000;0.0919800;0.0920000;0.0890100;0.0890100;100000
20140523;000000;0.0998800;0.0999100;0.0802300;0.0870100;1450000
20140526;000000;0.0899900;0.0900000;0.0899900;0.0900000;330000
20140527;000000;0.0900500;0.0900500;0.0900500;0.0900500;20000
20140528;000000;0.0900500;0.0900500;0.0900500;0.0900500;40000
20140529;000000;0.0998900;0.0999000;0.0859100;0.0970000;440000
20140530;000000;0.1050000;0.1050000;0.0952000;0.0990000;2460000
20140602;000000;0.0975000;0.0980000;0.0930000;0.0980000;430000
20140603;000000;0.1000200;0.1030000;0.1000000;0.1020000;180000
20140604;000000;0.1010200;0.1010200;0.1010000;0.1010000;560000
20140606;000000;0.1019900;0.1085000;0.1000000;0.1085000;900000
20140616;000000;0.1030200;0.1030200;0.1030000;0.1030000;40000
20140617;000000;0.1030200;0.1030200;0.1000000;0.1000000;80000
20140619;000000;0.1000000;0.1000000;0.1000000;0.1000000;110000
20140620;000000;0.1050000;0.1050000;0.1049800;0.1049900;60000
20140623;000000;0.1050000;0.1055000;0.1050000;0.1055000;20000
