<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;35.1700000;36.6400000;34.4900000;34.7000000;102810
20140108;000000;34.8400000;34.9700000;34.2800000;34.5500000;41460
20140109;000000;34.4000000;34.7400000;34.0000000;34.7400000;71930
20140110;000000;34.3000000;36.4700000;34.3000000;35.9000000;123250
20140113;000000;35.8000000;36.5000000;35.5000000;36.0500000;68700
20140114;000000;35.5300000;36.3900000;35.0000000;36.2400000;76830
20140115;000000;36.1900000;36.2000000;35.7800000;36.1500000;77870
20140116;000000;36.2000000;36.4000000;35.6300000;35.6400000;63060
20140117;000000;35.8000000;36.1800000;35.6400000;36.0100000;46110
20140120;000000;35.8000000;35.9200000;35.0000000;35.6100000;107610
20140121;000000;35.8100000;35.9500000;34.8100000;35.2000000;121510
20140122;000000;35.1200000;35.4600000;34.5000000;34.5500000;134810
20140123;000000;34.6000000;35.4200000;34.3700000;34.3700000;88220
20140124;000000;34.3500000;34.6000000;34.1200000;34.3100000;73130
20140127;000000;34.2700000;34.3500000;33.9800000;34.0900000;56250
20140128;000000;34.1700000;34.2000000;33.7300000;33.9400000;39260
20140129;000000;34.0200000;34.4800000;33.4000000;33.5000000;174930
20140130;000000;33.6900000;33.7600000;33.0300000;33.1500000;96600
20140131;000000;33.0600000;33.4500000;32.6500000;32.7400000;45330
20140203;000000;32.7800000;33.1500000;32.5300000;32.7500000;51160
20140204;000000;32.5100000;32.9500000;32.2500000;32.4000000;83780
20140205;000000;32.6900000;33.5000000;32.4100000;33.2500000;74200
20140206;000000;33.2500000;33.4400000;32.8800000;33.0300000;33020
20140207;000000;33.2800000;33.7000000;32.7700000;32.9800000;69810
20140210;000000;32.8900000;33.1100000;32.6500000;32.7200000;58520
20140211;000000;32.6500000;32.7700000;31.9900000;32.3100000;125870
20140212;000000;32.5500000;32.9900000;32.4000000;32.7000000;38260
20140213;000000;32.5300000;32.8800000;31.2700000;31.7400000;216550
20140214;000000;31.9000000;32.2700000;31.7700000;31.8500000;36400
20140217;000000;32.0700000;32.2000000;32.0100000;32.1800000;30250
20140218;000000;32.1500000;32.4100000;31.3800000;31.5700000;115880
20140219;000000;31.5000000;31.9000000;31.4200000;31.5900000;116920
20140220;000000;31.4500000;31.4500000;29.8000000;31.0000000;187740
20140221;000000;31.1000000;31.4200000;30.3300000;30.5400000;39500
20140224;000000;30.5400000;31.1300000;30.4500000;31.0400000;25040
20140225;000000;31.0000000;31.4000000;30.6900000;31.0100000;37800
20140226;000000;30.8700000;30.8700000;30.1000000;30.3500000;47820
20140227;000000;30.2100000;30.4800000;28.5300000;29.4000000;118760
20140228;000000;28.9900000;28.9900000;22.5100000;24.4000000;382510
20140303;000000;23.9200000;23.9200000;18.5000000;19.8100000;327530
20140304;000000;20.1500000;22.5000000;20.1400000;21.3000000;264770
20140305;000000;21.9500000;24.0000000;21.6200000;23.2200000;100440
20140306;000000;23.5800000;25.3700000;21.9900000;23.9600000;389400
20140307;000000;23.7700000;24.9000000;22.9500000;23.9900000;120000
20140311;000000;24.1000000;24.4000000;22.5400000;22.7800000;67960
20140312;000000;22.7500000;23.0000000;21.7500000;22.0500000;145200
20140313;000000;22.5400000;23.9200000;21.7000000;22.6700000;70490
20140314;000000;22.0000000;22.0000000;19.0000000;20.8500000;125710
20140317;000000;21.9700000;22.1500000;21.1100000;22.0000000;72280
20140318;000000;22.2000000;23.9500000;22.0000000;23.0900000;80900
20140319;000000;22.9400000;23.9400000;22.1400000;23.1000000;54230
20140320;000000;22.8100000;23.1900000;22.3500000;22.8600000;26690
20140321;000000;22.8500000;22.8500000;21.6700000;22.6600000;33310
20140324;000000;22.8000000;24.0000000;22.8000000;23.6000000;110430
20140325;000000;23.7900000;23.9500000;23.4000000;23.7000000;35010
20140326;000000;23.8900000;24.8700000;23.8900000;24.3700000;164130
20140327;000000;24.4500000;25.2000000;23.6400000;23.6500000;77540
20140328;000000;23.7900000;24.4000000;22.7500000;23.1400000;75430
20140331;000000;23.3000000;24.1400000;23.2100000;23.8800000;116230
20140401;000000;23.8900000;24.0000000;22.7600000;23.4600000;75630
20140402;000000;23.5300000;23.7700000;22.8000000;23.0000000;97970
20140403;000000;22.8000000;23.7000000;20.2100000;23.2000000;101870
20140404;000000;23.2000000;23.5700000;22.7900000;23.2000000;61430
20140407;000000;23.1100000;23.8400000;22.0500000;23.3000000;103910
20140408;000000;23.3000000;23.7600000;22.6000000;23.3400000;78160
20140409;000000;23.3400000;23.8200000;23.0400000;23.2200000;86720
20140410;000000;23.3800000;23.8400000;22.8100000;23.4400000;53360
20140411;000000;23.4100000;24.3000000;23.2300000;23.5500000;56130
20140414;000000;23.4700000;24.1800000;23.4500000;23.7200000;47080
20140415;000000;23.7900000;24.3200000;23.1900000;23.7300000;119930
20140416;000000;24.1300000;24.6500000;23.2700000;24.0900000;89590
20140417;000000;24.2000000;25.1000000;23.8800000;24.6700000;131040
20140418;000000;24.9600000;25.5600000;24.5200000;24.7800000;121920
20140421;000000;24.8200000;26.1500000;24.8200000;25.4900000;128380
20140422;000000;25.4800000;26.4500000;25.4800000;26.2000000;157940
20140423;000000;26.2000000;26.9300000;26.0700000;26.2400000;118760
20140424;000000;26.2500000;27.3000000;25.0100000;25.3000000;139070
20140425;000000;25.2100000;25.7600000;24.5600000;25.0500000;71300
20140428;000000;25.0700000;25.9100000;24.6700000;25.1300000;41530
20140429;000000;25.2000000;26.1300000;24.7500000;25.7200000;68340
20140430;000000;25.7000000;26.0700000;25.2500000;25.7400000;31610
20140502;000000;25.7000000;26.9400000;23.6900000;26.2400000;53780
20140505;000000;26.0200000;26.9000000;24.2200000;25.4100000;43480
20140506;000000;25.4900000;25.9500000;25.1900000;25.4000000;27480
20140507;000000;25.3800000;26.1100000;25.2000000;25.8800000;165140
20140508;000000;25.8900000;27.7500000;25.5000000;27.4400000;192120
20140512;000000;27.3800000;29.9300000;26.9200000;29.3000000;173020
20140513;000000;29.3800000;29.9000000;27.6100000;28.5200000;200630
20140514;000000;28.5200000;28.9400000;28.0500000;28.3900000;66150
20140515;000000;28.0000000;28.4600000;27.6400000;28.0100000;34630
20140516;000000;28.0000000;28.8600000;26.1000000;27.1500000;152400
20140519;000000;27.1500000;27.5900000;27.0000000;27.5000000;62860
20140520;000000;27.5500000;28.4000000;27.5500000;28.4000000;53690
20140521;000000;28.1100000;28.8500000;27.5600000;27.5600000;31890
20140522;000000;27.8400000;27.9400000;26.7900000;27.4200000;90620
20140523;000000;27.2100000;27.6000000;26.8500000;27.3900000;80020
20140526;000000;27.6200000;27.7100000;27.2700000;27.4600000;44420
20140527;000000;27.3800000;27.3800000;26.0000000;26.7600000;65690
20140528;000000;26.8300000;27.1100000;26.4800000;26.6200000;49030
20140529;000000;26.7400000;27.2800000;26.5000000;26.5000000;87810
20140530;000000;26.6000000;26.7800000;24.5700000;24.5700000;241970
20140602;000000;25.0900000;26.0000000;25.0800000;25.2100000;179290
20140603;000000;25.2200000;26.3000000;25.2200000;25.8100000;259020
20140604;000000;25.8100000;25.9000000;25.5800000;25.6500000;49670
20140605;000000;25.6200000;26.0000000;25.0500000;25.3900000;111320
20140606;000000;25.3500000;25.7800000;25.2000000;25.7500000;64570
20140609;000000;25.5200000;26.2100000;25.4500000;25.6900000;217270
20140610;000000;25.8700000;26.3900000;25.7000000;25.9000000;221680
20140611;000000;26.0500000;26.1000000;25.7500000;25.7800000;27910
20140616;000000;26.0900000;26.4000000;25.4000000;25.5000000;122710
20140617;000000;25.4600000;25.9500000;25.4000000;25.8500000;579290
20140618;000000;25.7900000;25.8000000;25.3600000;25.4500000;134190
20140619;000000;25.3500000;25.6200000;25.2600000;25.4900000;62890
20140620;000000;25.4500000;25.5900000;25.3200000;25.4500000;13190
20140623;000000;25.4200000;25.4900000;24.3600000;25.0100000;131910
20140624;000000;25.0800000;25.2000000;24.8500000;25.0000000;109290
20140625;000000;25.0100000;25.3400000;24.8500000;24.9000000;87510
20140626;000000;24.9500000;25.4600000;24.9500000;25.0000000;31710
20140627;000000;25.0500000;25.3400000;25.0000000;25.0900000;28440
20140630;000000;25.1000000;25.3100000;24.9000000;25.0300000;16230
20140701;000000;25.1000000;25.1600000;24.9900000;25.0000000;6080
20140702;000000;25.0100000;25.4600000;24.7300000;25.1700000;40510
20140703;000000;25.1600000;25.2700000;24.9000000;24.9400000;42380
20140704;000000;24.9400000;25.6000000;24.5100000;24.9100000;76630
20140707;000000;24.9700000;25.1000000;24.7000000;24.9700000;182010
20140708;000000;25.0000000;25.0500000;23.9000000;24.3400000;38780
20140709;000000;24.3100000;24.9100000;24.0100000;24.5000000;52060
20140710;000000;24.4800000;24.8500000;22.2500000;22.5000000;317320
20140711;000000;22.5000000;22.5400000;18.5300000;20.1200000;522290
20140714;000000;20.2000000;21.0000000;19.9000000;20.0100000;234380
20140715;000000;20.2000000;20.8800000;19.6900000;20.2000000;457660
20140716;000000;20.2100000;20.4400000;19.8500000;20.0000000;247640
20140717;000000;19.9500000;19.9900000;18.6200000;19.3600000;80380
20140718;000000;19.3000000;19.3400000;18.7800000;19.2000000;180490
20140721;000000;19.3500000;19.4000000;18.6800000;18.7700000;217140
20140722;000000;18.7900000;18.9000000;18.5100000;18.8200000;21140
20140723;000000;18.7400000;19.3700000;18.1700000;19.1700000;203320
20140724;000000;19.1000000;19.6700000;18.8000000;19.6700000;46200
20140725;000000;19.4000000;19.5000000;18.9100000;18.9700000;108000
20140728;000000;18.8200000;18.8200000;17.6100000;17.7500000;574850
20140729;000000;17.7500000;18.1500000;16.0100000;16.1800000;880850
20140730;000000;16.5300000;16.6400000;15.2600000;16.4000000;613890
20140731;000000;16.5400000;16.8700000;16.1300000;16.4300000;283770
20140801;000000;16.4400000;16.5600000;15.7000000;16.5000000;352620
20140804;000000;16.0900000;16.7900000;16.0000000;16.1000000;184550
20140805;000000;16.3000000;16.3000000;14.8800000;14.9000000;698410
20140806;000000;14.8900000;14.9500000;13.2000000;13.5100000;546040
20140807;000000;13.5100000;13.5500000;12.0500000;12.2400000;723540
20140808;000000;12.1100000;12.9900000;11.3100000;12.2100000;508830
20140811;000000;12.5000000;13.1500000;12.2100000;12.2100000;315280
20140812;000000;12.4800000;12.6900000;12.2400000;12.3600000;160310
20140813;000000;12.6400000;13.2300000;12.5100000;12.9600000;216750
20140814;000000;13.1200000;13.2700000;12.2500000;12.4700000;683790
20140815;000000;12.6500000;13.0000000;12.5000000;12.6600000;215000
20140818;000000;12.7400000;12.9800000;12.7300000;12.7900000;203840
20140819;000000;12.8600000;13.1400000;12.7800000;13.0100000;292120
20140820;000000;13.0500000;14.1400000;13.0000000;13.3500000;1000770
20140821;000000;13.3900000;14.0900000;13.3800000;13.4200000;1350260
20140822;000000;13.3800000;13.6700000;12.5300000;12.7200000;861980
20140825;000000;12.8700000;13.5000000;12.8000000;12.9300000;502100
20140826;000000;13.0300000;13.1500000;12.7000000;12.7900000;311470
20140827;000000;12.8500000;12.9900000;12.5500000;12.5500000;270750
20140828;000000;12.5300000;12.5400000;12.1100000;12.1900000;355450
20140829;000000;12.2100000;12.4700000;11.9500000;12.1900000;228140
20140901;000000;12.2900000;12.3600000;11.9500000;12.1100000;223550
20140902;000000;12.2000000;12.4400000;12.1100000;12.2000000;359840
20140903;000000;12.2000000;12.7800000;12.2000000;12.3000000;772920
20140904;000000;12.2100000;12.4300000;12.1900000;12.3000000;377170
20140905;000000;12.3300000;12.3900000;12.2000000;12.2200000;257160
20140908;000000;12.2600000;12.3700000;11.9800000;11.9900000;322030
20140909;000000;12.1300000;12.2500000;12.0000000;12.0700000;515420
20140910;000000;12.0700000;12.2600000;12.0500000;12.1800000;196770
20140911;000000;12.1500000;12.3600000;12.1300000;12.1400000;306030
20140912;000000;12.1600000;12.2000000;12.0000000;12.0800000;229630
20140915;000000;12.0800000;12.1600000;11.9100000;12.0000000;621110
20140916;000000;12.0300000;12.1100000;11.8800000;12.0500000;172290
20140917;000000;12.0200000;12.0600000;11.4500000;11.6000000;284550
20140918;000000;11.6000000;11.7400000;11.5100000;11.6300000;185730
20140919;000000;11.6300000;11.7200000;11.3300000;11.4600000;178680
20140922;000000;11.4500000;11.4800000;10.6100000;10.6400000;340880
20140923;000000;10.9200000;11.0100000;8.5000000;9.4500000;894080
20140924;000000;9.4500000;9.9000000;9.0900000;9.4300000;493670
20140925;000000;9.4800000;9.6500000;8.7800000;9.1600000;405110
20140926;000000;9.0600000;9.0600000;8.4500000;8.7400000;535300
20140929;000000;8.6000000;9.6000000;8.4300000;9.4800000;796960
20140930;000000;9.6000000;13.4700000;9.6000000;13.2900000;1629720
20141001;000000;13.4000000;17.9500000;12.7000000;14.8000000;4275670
20141002;000000;15.0100000;16.2800000;13.1000000;13.7000000;1727490
20141003;000000;13.9400000;14.4400000;12.0000000;13.9000000;976900
20141006;000000;13.1300000;14.4000000;12.9500000;14.1400000;687040
20141007;000000;14.2400000;14.2400000;13.4000000;14.1000000;271380
20141008;000000;14.0100000;14.2000000;13.5100000;14.1900000;294140
20141009;000000;14.1500000;14.3000000;13.6000000;13.6100000;191280
20141010;000000;13.3800000;13.4000000;12.4000000;12.8500000;448980
20141013;000000;12.9000000;14.4000000;12.3400000;13.9900000;1286220
20141014;000000;14.1000000;14.3000000;13.3000000;13.4100000;397170
20141015;000000;13.8000000;14.2100000;13.3400000;13.6700000;368920
20141016;000000;13.6600000;13.9100000;13.0500000;13.3300000;192470
20141017;000000;13.4100000;13.8400000;13.3200000;13.7800000;172400
20141020;000000;13.7800000;13.7900000;13.4500000;13.5000000;113880
20141021;000000;13.5500000;13.5800000;13.2100000;13.4900000;199820
20141022;000000;13.5500000;13.6900000;13.3700000;13.5000000;56580
