<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;307.9900000;319.0000000;289.0300000;306.2100000;78590
20140108;000000;306.1100000;313.3800000;301.0200000;307.7600000;10490
20140109;000000;302.2700000;309.0000000;302.2600000;306.0000000;14190
20140110;000000;303.1200000;312.9900000;300.9000000;302.0000000;37440
20140113;000000;303.4400000;305.0000000;293.0100000;299.4300000;37660
20140114;000000;304.4600000;304.4600000;296.0000000;298.9900000;31540
20140115;000000;299.9700000;300.0000000;294.9900000;294.9900000;48150
20140116;000000;298.9800000;298.9800000;287.0500000;290.0000000;218640
20140117;000000;291.0000000;292.9400000;278.3100000;279.0100000;168670
20140120;000000;279.9800000;282.0000000;269.3000000;271.6700000;271850
20140121;000000;273.8300000;273.8300000;258.5500000;261.0000000;272330
20140122;000000;259.0500000;260.8200000;252.3000000;257.5000000;230310
20140123;000000;257.0000000;265.0000000;256.3000000;263.9200000;158390
20140124;000000;262.8000000;263.8200000;257.0100000;261.0900000;209350
20140127;000000;257.0500000;260.0000000;250.3500000;250.5000000;104460
20140128;000000;250.5100000;251.9900000;242.1800000;243.2900000;149130
20140129;000000;245.5900000;251.4900000;240.0000000;241.5000000;215420
20140130;000000;242.7000000;242.7000000;234.0600000;239.9000000;121020
20140131;000000;239.3100000;245.8000000;229.0000000;232.6800000;163430
20140203;000000;232.1200000;236.4700000;227.7100000;230.8800000;98570
20140204;000000;228.5700000;233.3400000;226.0400000;228.0000000;142800
20140205;000000;228.0100000;233.0000000;228.0100000;231.7000000;177150
20140206;000000;233.0000000;238.8300000;232.1200000;235.0000000;388580
20140207;000000;236.0000000;244.9900000;235.1000000;241.0000000;173640
20140210;000000;242.6900000;251.8500000;242.0500000;248.0000000;88510
20140211;000000;250.4800000;252.0000000;245.9600000;247.0000000;38320
20140212;000000;248.0000000;249.6300000;247.6300000;248.9900000;31320
20140213;000000;248.0000000;248.9900000;240.9900000;241.7300000;147170
20140214;000000;243.0000000;247.0100000;241.1800000;246.0000000;37590
20140217;000000;247.7900000;248.9000000;245.3800000;246.2800000;16960
20140218;000000;246.9000000;248.0000000;243.1000000;243.3000000;58780
20140219;000000;244.9000000;247.3700000;238.1000000;238.1000000;128000
20140220;000000;237.9900000;243.2500000;234.0000000;237.3800000;38680
20140221;000000;238.1300000;242.9900000;237.5000000;239.3000000;27050
20140224;000000;241.1500000;241.4500000;236.1900000;238.8200000;16020
20140225;000000;239.9700000;241.9000000;236.2000000;237.8800000;24880
20140226;000000;239.9900000;241.0000000;233.0000000;237.0000000;27480
20140227;000000;236.9800000;238.7100000;231.0600000;236.9700000;102520
20140228;000000;237.0000000;238.6800000;232.0000000;238.0000000;30060
20140303;000000;229.9900000;230.0100000;190.1100000;201.0400000;153580
20140304;000000;203.1800000;221.0300000;203.1800000;214.8300000;290480
20140305;000000;220.1800000;225.8700000;214.0000000;217.2500000;31640
20140306;000000;218.3300000;222.4000000;206.6900000;215.6900000;67200
20140307;000000;212.8200000;221.9700000;210.0000000;211.2000000;121220
20140311;000000;211.9900000;213.9600000;206.0100000;208.3300000;206160
20140312;000000;206.1000000;209.8900000;200.1900000;203.9900000;99580
20140313;000000;201.9500000;204.8100000;192.2500000;193.7200000;48870
20140314;000000;194.9100000;198.9800000;160.0100000;173.0000000;371740
20140317;000000;176.8900000;184.0000000;175.7700000;177.4800000;249340
20140318;000000;183.8600000;188.4700000;177.5500000;186.1300000;374540
20140319;000000;188.6800000;192.5000000;186.0000000;189.7000000;207250
20140320;000000;189.7000000;190.0000000;186.2000000;190.0000000;61850
20140321;000000;186.6800000;194.7300000;185.0000000;192.2000000;643670
20140324;000000;191.8800000;194.3800000;183.0000000;185.6000000;159090
20140325;000000;185.5000000;186.9800000;183.3400000;186.3000000;37440
20140326;000000;185.4900000;190.0000000;184.0400000;187.2500000;194830
20140327;000000;188.3900000;206.0000000;188.0100000;200.9900000;390670
20140328;000000;203.1700000;210.0000000;203.1700000;207.5900000;411140
20140331;000000;209.4300000;214.9700000;207.5200000;213.2700000;136190
20140401;000000;213.3500000;223.5000000;213.3500000;222.0000000;274340
20140402;000000;220.0100000;228.8900000;220.0100000;225.0200000;58250
20140403;000000;228.4700000;231.8600000;222.9900000;224.0200000;117490
20140404;000000;225.7000000;231.1000000;220.2700000;230.0000000;107440
20140407;000000;226.6800000;228.8400000;216.9900000;222.0000000;151100
20140408;000000;224.1500000;227.0000000;218.5400000;222.4900000;91340
20140409;000000;223.9800000;240.0000000;222.0900000;226.0000000;133550
20140410;000000;228.8600000;239.7700000;228.0000000;236.2800000;118440
20140411;000000;231.5000000;248.7600000;229.5300000;241.0000000;171460
20140414;000000;235.1600000;240.9000000;227.7000000;228.5400000;76070
20140415;000000;228.5500000;229.0000000;210.1300000;212.6100000;200820
20140416;000000;214.9300000;234.0000000;209.8000000;222.6200000;232940
20140417;000000;224.4800000;232.4900000;223.9200000;227.9500000;88500
20140418;000000;234.3100000;235.0000000;229.5100000;231.7000000;33960
20140421;000000;234.0000000;234.0000000;229.1600000;230.2000000;29640
20140422;000000;231.9000000;231.9000000;225.2500000;226.1900000;35350
20140423;000000;226.8100000;227.8700000;222.0000000;227.0000000;36960
20140424;000000;228.9800000;230.0000000;212.8500000;219.9900000;605030
20140425;000000;217.8200000;217.9500000;207.0100000;210.0300000;84910
