<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140108;000000;113.0000000;113.0000000;113.0000000;113.0000000;650
20140127;000000;105.3500000;105.3500000;105.0000000;105.0000000;200
20140204;000000;109.9900000;110.0000000;109.9900000;110.0000000;150
20140206;000000;110.0000000;110.0000000;110.0000000;110.0000000;10
20140212;000000;100.0300000;100.0300000;100.0300000;100.0300000;10
20140214;000000;100.0100000;100.0100000;100.0000000;100.0000000;210
20140220;000000;95.0200000;95.0200000;95.0200000;95.0200000;10
20140221;000000;95.0200000;95.0200000;95.0200000;95.0200000;20
20140225;000000;95.0100000;95.0100000;95.0100000;95.0100000;10
20140228;000000;95.0200000;95.0200000;95.0100000;95.0100000;170
20140303;000000;95.0000000;95.0000000;95.0000000;95.0000000;20
20140307;000000;58.0300000;102.4800000;58.0300000;102.4800000;20
20140314;000000;80.0000000;90.0000000;80.0000000;90.0000000;90
20140317;000000;100.8900000;102.4900000;100.8900000;102.4900000;200
20140321;000000;90.0000000;90.0000000;90.0000000;90.0000000;390
20140324;000000;93.0000000;100.0000000;93.0000000;100.0000000;200
20140325;000000;100.0000000;102.0000000;100.0000000;102.0000000;2380
20140326;000000;102.5000000;105.0000000;102.5000000;105.0000000;1760
20140327;000000;110.0000000;113.0000000;110.0000000;113.0000000;840
20140328;000000;112.0100000;112.0100000;112.0000000;112.0000000;100
20140331;000000;112.0000000;112.0000000;112.0000000;112.0000000;420
20140401;000000;112.0000000;112.0000000;112.0000000;112.0000000;310
20140409;000000;112.0000000;112.0000000;111.9900000;112.0000000;820
20140410;000000;112.0000000;112.0000000;112.0000000;112.0000000;500
20140414;000000;150.0000000;150.0000000;117.0100000;117.0100000;20
20140417;000000;114.0000000;115.0000000;114.0000000;115.0000000;680
20140520;000000;113.0000000;113.0000000;113.0000000;113.0000000;200
20140523;000000;115.0000000;115.0000000;115.0000000;115.0000000;500
20140526;000000;118.0000000;120.0000000;118.0000000;120.0000000;700
20140527;000000;124.0100000;125.0000000;124.0000000;125.0000000;260
20140528;000000;126.0000000;126.0000000;126.0000000;126.0000000;10
20140530;000000;128.0000000;128.0000000;128.0000000;128.0000000;200
20140602;000000;125.0000000;125.0000000;125.0000000;125.0000000;10
20140605;000000;128.0000000;128.0000000;128.0000000;128.0000000;170
20140616;000000;119.0000000;119.0000000;119.0000000;119.0000000;100
20140620;000000;120.0000000;120.0000000;120.0000000;120.0000000;200
20140626;000000;129.0000000;129.0000000;129.0000000;129.0000000;300
20140627;000000;130.0000000;130.0000000;130.0000000;130.0000000;300
20140703;000000;134.0000000;134.0000000;134.0000000;134.0000000;220
20140710;000000;134.0000000;134.0000000;134.0000000;134.0000000;20
20140711;000000;134.0000000;134.0000000;134.0000000;134.0000000;100
20140722;000000;133.0000000;133.0000000;133.0000000;133.0000000;100
20141031;000000;105.0000000;105.0000000;104.5000000;104.5000000;250
20141103;000000;100.0000000;105.0000000;94.5000000;105.0000000;1500
20141106;000000;105.0000000;107.0000000;105.0000000;107.0000000;130
20141114;000000;107.0000000;117.0000000;107.0000000;117.0000000;530
20141117;000000;129.0000000;137.0000000;129.0000000;137.0000000;20
20141127;000000;139.0000000;139.0000000;139.0000000;139.0000000;20
20141202;000000;139.0000000;139.0000000;94.5000000;139.0000000;420
20141204;000000;96.0000000;96.0000000;96.0000000;96.0000000;10
20141205;000000;100.0000000;100.5000000;100.0000000;100.0000000;440
20141209;000000;95.0000000;95.0000000;95.0000000;95.0000000;800
20141210;000000;100.0000000;100.0000000;100.0000000;100.0000000;300
20141211;000000;112.5000000;113.0000000;112.5000000;113.0000000;30
20141219;000000;100.0000000;100.0000000;100.0000000;100.0000000;200
20141225;000000;100.0000000;100.0000000;100.0000000;100.0000000;30
20141226;000000;100.0000000;100.0000000;100.0000000;100.0000000;500
