<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;26.6490000;26.6500000;26.3500000;26.4000000;3700
20140108;000000;26.3700000;26.3700000;26.2310000;26.3500000;4800
20140109;000000;26.5810000;26.5990000;23.3930000;26.1100000;16100
20140110;000000;26.1000000;26.5000000;26.0000000;26.5000000;27900
20140113;000000;26.4000000;26.8580000;26.1300000;26.2930000;53700
20140114;000000;26.2180000;26.2500000;26.1250000;26.1250000;12500
20140115;000000;26.1200000;26.2360000;26.0840000;26.2360000;600
20140116;000000;26.1990000;26.5500000;26.1000000;26.4950000;75300
20140117;000000;26.3000000;26.3990000;26.2990000;26.3500000;26800
20140120;000000;26.5000000;26.6500000;26.3080000;26.3080000;79800
20140121;000000;26.2010000;26.2010000;24.8000000;25.7460000;45700
20140122;000000;25.0160000;26.0250000;25.0000000;25.9960000;19600
20140123;000000;25.3060000;25.6950000;25.2000000;25.2000000;5400
20140124;000000;25.4950000;25.7010000;24.5740000;25.0000000;37300
20140127;000000;25.0000000;25.0750000;23.8920000;24.0570000;74500
20140128;000000;24.0100000;24.4000000;23.8500000;23.8500000;32400
20140129;000000;24.1260000;24.1260000;23.8000000;23.9000000;51100
20140130;000000;23.7000000;24.1980000;23.5080000;24.1980000;6800
20140131;000000;24.1160000;24.1160000;23.3000000;23.7000000;8500
20140203;000000;23.3010000;24.0980000;23.3010000;23.5140000;14000
20140204;000000;23.8410000;24.0000000;23.0000000;23.7970000;65700
20140205;000000;23.6660000;23.6980000;23.3000000;23.6480000;42100
20140206;000000;23.5260000;24.9990000;23.5250000;24.9970000;103200
20140207;000000;24.5030000;24.8000000;24.3510000;24.5030000;170000
20140210;000000;24.7480000;24.7480000;24.5000000;24.6000000;44400
20140211;000000;24.6900000;25.2500000;24.6900000;25.2500000;183700
20140212;000000;24.5800000;25.0000000;24.5000000;25.0000000;44600
20140213;000000;24.7220000;25.0990000;24.7000000;24.8000000;85300
20140214;000000;24.9430000;25.2750000;24.9430000;25.1000000;14900
20140217;000000;25.0000000;25.3200000;25.0000000;25.3200000;4300
