<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140110;000000;11.9990000;11.9990000;11.9990000;11.9990000;100
20140116;000000;12.0000000;12.0000000;10.8060000;10.8060000;400
20140122;000000;10.0100000;10.9780000;10.0000000;10.9770000;3200
20140123;000000;10.0000000;10.0000000;10.0000000;10.0000000;1400
20140124;000000;10.4930000;10.4950000;10.0000000;10.4950000;3400
20140130;000000;9.5820000;9.5820000;9.4970000;9.5000000;11600
20140131;000000;9.5030000;9.5030000;9.5020000;9.5020000;1200
20140207;000000;10.0000000;10.0000000;8.6050000;9.0000000;5500
20140210;000000;9.5000000;9.5000000;9.5000000;9.5000000;100
20140211;000000;9.5000000;9.5000000;9.5000000;9.5000000;100
20140213;000000;8.5060000;8.5060000;8.5020000;8.5020000;400
20140214;000000;9.4870000;9.5000000;9.4870000;9.5000000;1200
20140217;000000;9.2500000;9.2500000;8.5080000;8.5080000;1000
20140219;000000;9.0000000;9.0000000;9.0000000;9.0000000;1500
20140226;000000;9.3760000;12.5930000;9.0160000;12.5900000;38800
20140227;000000;12.1030000;17.6150000;12.1030000;17.6150000;45300
20140228;000000;18.9900000;23.7800000;13.9000000;14.0050000;112400
20140303;000000;13.1010000;13.1010000;8.5670000;10.0000000;7100
20140304;000000;10.0080000;12.0000000;10.0080000;12.0000000;9400
20140306;000000;12.9000000;13.5000000;12.5000000;12.5010000;11700
20140307;000000;8.4070000;14.9890000;8.4070000;14.8800000;1000
20140311;000000;14.9980000;15.0000000;12.5210000;12.5210000;9900
20140312;000000;12.5280000;14.9880000;11.0250000;11.0250000;77800
20140313;000000;10.5000000;10.5000000;10.0000000;10.0000000;300
20140314;000000;9.6520000;9.6520000;9.6520000;9.6520000;100
20140318;000000;11.0000000;11.9900000;9.6680000;11.9900000;3100
20140321;000000;10.0010000;10.0010000;10.0000000;10.0000000;300
20140324;000000;12.9860000;12.9860000;11.0800000;12.0000000;900
20140326;000000;10.5550000;10.7500000;10.3580000;10.5000000;37300
20140327;000000;10.5000000;13.2000000;10.0630000;12.7820000;17700
20140328;000000;12.0000000;12.0000000;10.7150000;11.6600000;1700
20140331;000000;11.0000000;11.8870000;10.5560000;10.9990000;1600
20140401;000000;11.8000000;12.5000000;11.1210000;12.5000000;5800
20140402;000000;13.0000000;13.4490000;11.0000000;12.4740000;800
20140403;000000;12.5000000;13.2490000;10.5010000;10.5010000;7400
20140407;000000;11.0500000;15.0000000;11.0000000;11.5050000;13500
20140408;000000;11.5080000;11.6020000;11.5080000;11.6020000;500
20140410;000000;13.6910000;13.6910000;11.6020000;11.6020000;200
20140415;000000;11.6090000;11.6090000;11.6090000;11.6090000;200
20140416;000000;13.5970000;13.5970000;11.6100000;11.6100000;1100
20140421;000000;12.9050000;12.9060000;12.9050000;12.9060000;200
20140424;000000;11.6550000;12.9990000;11.6550000;12.9990000;200
20140425;000000;11.0000000;12.7840000;11.0000000;12.7840000;1300
20140428;000000;11.0020000;12.1550000;11.0000000;11.0020000;1800
20140429;000000;13.9970000;13.9970000;13.9970000;13.9970000;100
20140430;000000;11.2120000;12.8960000;11.2120000;12.8960000;1000
20140505;000000;11.0010000;11.3000000;10.8130000;11.0170000;1400
20140507;000000;10.8000000;10.8000000;10.8000000;10.8000000;100
20140508;000000;12.1000000;12.7100000;11.1100000;12.7100000;600
20140513;000000;11.0020000;13.5490000;11.0020000;11.9700000;9200
20140515;000000;11.5000000;11.5000000;10.3100000;10.3100000;3200
20140516;000000;11.3000000;11.3000000;11.3000000;11.3000000;800
20140519;000000;10.5080000;11.3500000;10.3650000;11.3500000;5100
20140522;000000;11.3000000;11.3000000;11.3000000;11.3000000;100
20140526;000000;10.5000000;11.8690000;10.5000000;11.8690000;200
20140527;000000;10.6030000;10.6030000;10.6030000;10.6030000;100
20140528;000000;10.6010000;10.6080000;9.5010000;10.5000000;15200
20140529;000000;10.7620000;10.7700000;10.2000000;10.2000000;300
20140530;000000;10.0000000;10.0000000;10.0000000;10.0000000;5000
20140603;000000;10.4000000;10.4000000;10.4000000;10.4000000;500
20140606;000000;10.0000000;10.0000000;9.3620000;9.3620000;500
20140609;000000;10.3360000;10.3360000;9.5000000;9.5000000;1200
20140611;000000;10.0150000;10.0150000;10.0150000;10.0150000;100
20140616;000000;10.2600000;10.4400000;10.2600000;10.4400000;300
20140617;000000;10.0000000;10.0000000;9.5750000;9.5750000;1000
20140619;000000;10.0000000;10.0000000;9.9990000;10.0000000;1100
20140620;000000;10.2980000;10.7500000;9.5220000;10.0000000;5400
20140623;000000;10.0000000;10.3990000;10.0000000;10.3990000;200
20140624;000000;10.3980000;10.3990000;9.8100000;9.8100000;3300
20140626;000000;10.5700000;10.5700000;10.5700000;10.5700000;300
20140701;000000;9.7560000;9.7560000;9.7560000;9.7560000;100
20140702;000000;10.4990000;13.2000000;10.0000000;10.0110000;48800
20140703;000000;10.1000000;10.1000000;9.9800000;9.9800000;4100
20140704;000000;10.1000000;10.1000000;10.0990000;10.1000000;3100
20140707;000000;9.9800000;9.9800000;9.9800000;9.9800000;2300
20140709;000000;10.2400000;10.2410000;10.2400000;10.2410000;1300
20140718;000000;9.8400000;9.8400000;9.8400000;9.8400000;100
20140721;000000;9.8340000;9.8340000;9.8330000;9.8330000;500
20140724;000000;9.8330000;9.8330000;8.5810000;8.5810000;1100
20140725;000000;9.0150000;9.0150000;9.0150000;9.0150000;100
20140729;000000;9.9800000;9.9800000;9.9800000;9.9800000;100
20140730;000000;8.7340000;9.9800000;8.7210000;8.7830000;7500
20140801;000000;9.4940000;10.5250000;9.4940000;10.5250000;1000
20140805;000000;9.5000000;11.7770000;9.5000000;11.7770000;3500
20140807;000000;11.7070000;11.7070000;8.8780000;10.9990000;4300
20140808;000000;10.0000000;10.0010000;10.0000000;10.0010000;200
20140811;000000;11.5000000;11.5000000;9.9830000;9.9840000;1300
20140813;000000;9.1390000;9.9860000;8.5560000;9.6000000;19200
20140815;000000;9.4990000;9.9990000;9.4990000;9.9990000;12100
20140818;000000;9.5110000;10.3660000;9.5100000;10.3660000;1100
20140819;000000;9.1000000;10.6950000;8.6400000;10.6950000;3700
20140820;000000;10.6560000;10.6560000;9.5210000;9.5210000;200
20140821;000000;10.4850000;10.4850000;10.4850000;10.4850000;100
20140822;000000;10.6570000;10.6570000;10.6570000;10.6570000;100
20140826;000000;9.6100000;11.4670000;9.6100000;11.4670000;3400
20140901;000000;9.6010000;9.6010000;9.6010000;9.6010000;100
20140904;000000;11.0000000;11.0000000;9.8000000;10.9620000;300
20140909;000000;9.5500000;9.7000000;9.5500000;9.7000000;300
20140910;000000;10.7990000;10.7990000;10.7990000;10.7990000;100
20140912;000000;10.8000000;10.8000000;10.8000000;10.8000000;100
20140915;000000;9.7000000;10.8860000;9.7000000;10.8860000;200
20140919;000000;10.0000000;10.9850000;10.0000000;10.9850000;200
20140922;000000;11.0000000;11.3000000;11.0000000;11.3000000;300
20140925;000000;9.6070000;11.0000000;9.6070000;11.0000000;200
20140926;000000;11.2990000;11.2990000;9.6610000;9.8800000;900
20140929;000000;9.7010000;10.4650000;9.7010000;10.4650000;200
20141001;000000;10.4500000;10.5000000;10.4500000;10.5000000;1300
20141002;000000;9.7500000;10.4000000;9.7500000;10.4000000;200
20141003;000000;9.9500000;9.9500000;9.9500000;9.9500000;400
20141009;000000;10.0000000;10.0000000;10.0000000;10.0000000;100
20141013;000000;9.7500000;10.4500000;9.7500000;10.4500000;200
20141014;000000;11.0000000;12.3000000;9.9500000;11.4500000;500
20141017;000000;9.8000000;10.9500000;9.7000000;10.2000000;4900
20141022;000000;10.7500000;10.7500000;10.7500000;10.7500000;100
20141028;000000;9.5000000;10.1000000;9.0500000;10.1000000;1200
20141029;000000;10.2500000;10.2500000;10.2500000;10.2500000;100
20141031;000000;10.2000000;10.2000000;10.1500000;10.2000000;700
20141103;000000;10.5000000;10.5000000;10.5000000;10.5000000;100
20141112;000000;9.2000000;10.2000000;9.2000000;10.2000000;1700
20141113;000000;10.9000000;10.9000000;10.9000000;10.9000000;200
20141114;000000;10.9500000;10.9500000;10.5500000;10.5500000;200
20141118;000000;10.8000000;10.8000000;10.8000000;10.8000000;200
