<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;777.0000000;777.0000000;617.7000000;617.7000000;50
20140108;000000;620.8000000;779.9000000;620.8000000;621.7000000;60
20140109;000000;800.0000000;800.0000000;650.9000000;650.9000000;30
20140110;000000;819.0000000;819.0000000;665.0000000;665.0000000;40
20140113;000000;641.7000000;641.7000000;641.7000000;641.7000000;10
20140114;000000;610.0000000;819.9000000;605.0000000;607.0000000;130
20140128;000000;591.1000000;591.1000000;591.1000000;591.1000000;10
20140131;000000;601.0000000;601.0000000;601.0000000;601.0000000;10
20140211;000000;598.0000000;598.0000000;598.0000000;598.0000000;10
20140213;000000;720.0000000;836.0000000;720.0000000;800.0000000;210
20140218;000000;899.0000000;1000.0000000;720.0000000;720.0000000;120
20140219;000000;634.6000000;748.9000000;634.6000000;748.9000000;20
20140220;000000;645.0000000;645.0000000;645.0000000;645.0000000;20
20140225;000000;632.0000000;742.5000000;617.1000000;742.5000000;40
20140227;000000;628.2000000;839.6000000;628.2000000;652.3000000;120
20140228;000000;642.3000000;642.3000000;632.4000000;632.4000000;20
20140303;000000;641.0000000;641.0000000;531.6000000;531.6000000;320
20140307;000000;535.0000000;589.9000000;535.0000000;589.9000000;20
20140312;000000;537.9000000;537.9000000;513.0000000;513.0000000;440
20140314;000000;503.8000000;572.2000000;501.0000000;572.2000000;470
20140317;000000;552.2000000;590.0000000;529.8000000;529.8000000;120
20140401;000000;589.5000000;589.5000000;589.5000000;589.5000000;10
20140410;000000;515.5000000;520.2000000;515.5000000;520.2000000;350
20140415;000000;511.2000000;528.0000000;511.0000000;528.0000000;40
20140416;000000;511.0000000;528.0000000;505.0000000;525.0000000;90
20140418;000000;545.9000000;580.3000000;545.9000000;576.9000000;90
20140505;000000;508.1000000;554.9000000;500.0000000;554.9000000;90
20140506;000000;507.5000000;531.0000000;507.4000000;531.0000000;40
20140507;000000;510.4000000;510.4000000;510.4000000;510.4000000;10
20140512;000000;550.6000000;550.6000000;536.8000000;536.8000000;20
20140513;000000;554.4000000;554.4000000;554.4000000;554.4000000;20
20140515;000000;520.1000000;520.1000000;517.3000000;517.3000000;40
20140519;000000;554.9000000;554.9000000;554.9000000;554.9000000;10
20140527;000000;530.0000000;530.0000000;517.1000000;517.1000000;30
20140530;000000;565.0000000;565.0000000;535.0000000;535.0000000;70
20140610;000000;535.9000000;563.6000000;535.9000000;563.6000000;30
20140624;000000;517.6000000;517.6000000;517.6000000;517.6000000;10
20140626;000000;558.6000000;558.6000000;558.6000000;558.6000000;10
20140627;000000;520.2000000;580.0000000;519.0000000;580.0000000;70
20140702;000000;553.0000000;553.0000000;553.0000000;553.0000000;10
20140710;000000;509.4000000;509.4000000;508.2000000;508.2000000;60
20140717;000000;508.3000000;508.3000000;508.3000000;508.3000000;10
20140722;000000;508.4000000;520.0000000;508.4000000;520.0000000;20
20140724;000000;502.8000000;502.8000000;502.8000000;502.8000000;10
20140804;000000;548.4000000;632.0000000;547.4000000;632.0000000;110
20140808;000000;507.0000000;588.9000000;507.0000000;588.9000000;20
20140811;000000;516.1000000;516.1000000;516.0000000;516.0000000;20
20140814;000000;512.5000000;532.0000000;512.5000000;532.0000000;20
20140815;000000;508.2000000;555.0000000;508.2000000;555.0000000;40
20140818;000000;511.3000000;545.9000000;509.0000000;545.9000000;50
20140819;000000;549.8000000;587.8000000;549.8000000;587.8000000;30
20140827;000000;510.0000000;600.0000000;499.0000000;600.0000000;800
20140903;000000;506.1000000;532.0000000;506.1000000;532.0000000;160
20140904;000000;574.8000000;574.8000000;574.8000000;574.8000000;10
20140910;000000;509.3000000;595.8000000;509.3000000;595.8000000;40
20140929;000000;519.0000000;548.9000000;519.0000000;548.9000000;30
20140930;000000;513.4000000;549.9000000;513.3000000;524.9000000;50
20141007;000000;515.0000000;515.0000000;515.0000000;515.0000000;160
20141008;000000;510.0000000;510.0000000;507.0000000;507.0000000;30
20141013;000000;538.0000000;538.0000000;538.0000000;538.0000000;10
20141014;000000;579.0000000;579.0000000;579.0000000;579.0000000;10
20141020;000000;510.0000000;510.0000000;509.0000000;509.0000000;20
20141022;000000;523.0000000;587.0000000;523.0000000;587.0000000;120
20141023;000000;512.0000000;576.0000000;502.0000000;576.0000000;60
20141103;000000;578.0000000;578.0000000;578.0000000;578.0000000;10
20141106;000000;514.0000000;514.0000000;514.0000000;514.0000000;20
20141107;000000;513.0000000;513.0000000;513.0000000;513.0000000;10
20141111;000000;509.0000000;512.0000000;491.0000000;512.0000000;190
20141112;000000;524.0000000;524.0000000;524.0000000;524.0000000;10
20141118;000000;523.0000000;523.0000000;523.0000000;523.0000000;10
20141119;000000;529.0000000;605.0000000;529.0000000;605.0000000;600
20141120;000000;629.0000000;650.0000000;629.0000000;650.0000000;500
20141121;000000;636.0000000;720.0000000;636.0000000;720.0000000;520
20141124;000000;587.0000000;720.0000000;582.0000000;700.0000000;590
20141201;000000;750.0000000;750.0000000;680.0000000;700.0000000;570
20141203;000000;747.0000000;747.0000000;747.0000000;747.0000000;10
20141225;000000;747.0000000;747.0000000;580.0000000;730.0000000;140
20141226;000000;729.0000000;729.0000000;729.0000000;729.0000000;20
20141229;000000;749.0000000;749.0000000;590.0000000;700.0000000;40
20141230;000000;749.0000000;749.0000000;740.0000000;749.0000000;50
