<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;949.6000000;953.8000000;921.1000000;936.5000000;9486
20140108;000000;936.0000000;948.0000000;930.5000000;939.0000000;2933
20140109;000000;930.3000000;936.5000000;927.0000000;932.5000000;2525
20140110;000000;930.2000000;937.0000000;925.0000000;936.8000000;6404
20140113;000000;936.9000000;936.9000000;928.4000000;931.0000000;11384
20140114;000000;937.3000000;958.6000000;928.0000000;954.1000000;9641
20140115;000000;955.0000000;1017.9000000;950.7000000;1005.0000000;115567
20140116;000000;1014.9000000;1029.0000000;995.6000000;1010.0000000;139512
20140117;000000;1017.0000000;1029.9000000;977.5000000;1012.3000000;20253
20140120;000000;1012.9000000;1048.9000000;1012.7000000;1040.0000000;19364
20140121;000000;1052.7000000;1089.9000000;1033.6000000;1080.1000000;26323
20140122;000000;1086.4000000;1098.0000000;1063.1000000;1085.6000000;49284
20140123;000000;1085.6000000;1118.0000000;1080.0000000;1085.0000000;41806
20140124;000000;1081.8000000;1130.0000000;1080.8000000;1114.0000000;10182
20140127;000000;1113.0000000;1114.8000000;1079.9000000;1090.1000000;15760
20140128;000000;1094.5000000;1109.8000000;1080.0000000;1092.4000000;7081
20140129;000000;1099.9000000;1149.0000000;1075.5000000;1089.8000000;43158
20140130;000000;1089.9000000;1097.0000000;1045.0000000;1056.2000000;24205
20140131;000000;1060.3000000;1109.0000000;1058.7000000;1070.0000000;24825
20140203;000000;1077.0000000;1090.0000000;1045.3000000;1056.3000000;5412
20140204;000000;1043.3000000;1076.4000000;1001.1000000;1076.4000000;23703
20140205;000000;1062.3000000;1076.5000000;1052.6000000;1069.6000000;10319
20140206;000000;1061.8000000;1086.8000000;1057.0000000;1075.7000000;4661
20140207;000000;1090.0000000;1099.1000000;1082.2000000;1097.6000000;18912
20140210;000000;1111.0000000;1122.0000000;1103.0000000;1117.8000000;4384
20140211;000000;1125.0000000;1141.4000000;1111.3000000;1138.0000000;18421
20140212;000000;1144.3000000;1150.1000000;1137.9000000;1148.0000000;21985
