<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;784.9000000;805.0000000;780.6000000;781.0000000;5550
20140108;000000;790.0000000;806.0000000;788.8000000;795.7000000;11688
20140109;000000;796.0000000;802.0000000;777.9000000;787.7000000;8282
20140110;000000;786.0000000;789.7000000;779.0000000;788.3000000;3211
20140113;000000;785.0000000;791.1000000;781.7000000;788.0000000;4941
20140114;000000;790.0000000;791.7000000;782.2000000;786.0000000;2091
20140115;000000;786.0000000;806.6000000;782.2000000;806.6000000;7536
20140116;000000;808.0000000;808.4000000;792.6000000;798.2000000;4845
20140117;000000;798.1000000;800.3000000;793.0000000;795.7000000;2575
20140120;000000;796.0000000;805.0000000;796.0000000;801.5000000;5497
20140121;000000;804.9000000;804.9000000;789.0000000;796.7000000;7421
20140122;000000;798.4000000;798.4000000;784.0000000;787.8000000;4098
20140123;000000;785.5000000;791.0000000;784.0000000;789.8000000;1891
20140124;000000;790.0000000;797.7000000;783.2000000;789.4000000;9412
20140127;000000;790.9000000;790.9000000;784.7000000;787.1000000;1710
20140128;000000;788.4000000;788.4000000;777.0000000;777.6000000;5122
20140129;000000;783.3000000;783.3000000;773.0000000;773.5000000;6129
20140130;000000;775.0000000;777.0000000;747.1000000;749.1000000;19797
20140131;000000;749.2000000;757.0000000;696.0000000;705.0000000;33217
20140203;000000;705.0000000;717.2000000;701.0000000;710.0000000;12571
20140204;000000;710.0000000;742.1000000;700.0000000;729.9000000;15567
20140205;000000;725.2000000;734.9000000;716.8000000;726.9000000;8474
20140206;000000;724.6000000;727.5000000;717.1000000;720.8000000;5876
20140207;000000;721.0000000;728.2000000;715.1000000;725.5000000;9482
20140210;000000;726.0000000;728.0000000;721.2000000;724.5000000;1536
20140211;000000;725.0000000;743.0000000;725.0000000;730.0000000;7657
20140212;000000;732.0000000;745.0000000;730.1000000;738.7000000;9033
20140213;000000;735.0000000;744.0000000;725.2000000;730.4000000;4164
20140214;000000;732.5000000;748.4000000;729.0000000;744.9000000;18870
20140217;000000;745.3000000;774.8000000;745.3000000;773.0000000;28004
20140218;000000;775.2000000;805.0000000;770.0000000;787.2000000;27219
20140219;000000;780.0000000;789.9000000;742.0000000;758.0000000;11983
20140220;000000;750.4000000;795.0000000;742.2000000;760.0000000;8929
20140221;000000;769.8000000;770.0000000;755.3000000;764.0000000;1783
20140224;000000;767.0000000;783.0000000;759.0000000;776.3000000;5350
20140225;000000;778.0000000;779.0000000;770.0000000;774.7000000;3674
20140226;000000;774.9000000;778.5000000;754.6000000;760.2000000;5374
20140227;000000;764.8000000;764.8000000;736.0000000;740.0000000;7218
20140228;000000;739.9000000;739.9000000;670.0000000;719.9000000;17229
20140303;000000;695.1000000;696.9000000;650.0000000;655.1000000;26276
20140304;000000;656.0000000;683.0000000;650.0000000;680.8000000;8261
20140305;000000;682.4000000;696.8000000;672.1000000;685.0000000;5529
20140306;000000;683.1000000;690.0000000;648.0000000;666.6000000;31091
20140307;000000;665.6000000;667.9000000;651.0000000;660.4000000;8787
20140311;000000;662.0000000;665.0000000;650.1000000;654.3000000;6904
20140312;000000;652.0000000;680.0000000;620.0000000;625.8000000;25933
20140313;000000;625.0000000;627.4000000;593.1000000;603.0000000;11224
20140314;000000;593.6000000;595.0000000;521.3000000;594.9000000;24191
20140317;000000;565.2000000;629.7000000;565.2000000;624.9000000;12863
20140318;000000;625.0000000;642.0000000;620.0000000;641.5000000;7551
20140319;000000;641.5000000;650.0000000;625.8000000;636.0000000;11208
20140320;000000;631.0000000;632.5000000;612.9000000;613.0000000;16234
20140321;000000;613.0000000;613.0000000;568.0000000;591.5000000;33466
20140324;000000;586.0000000;610.0000000;570.0000000;580.0000000;19766
20140325;000000;577.8000000;586.9000000;575.0000000;580.5000000;7390
20140326;000000;590.2000000;598.0000000;580.6000000;583.9000000;14551
20140327;000000;585.0000000;586.9000000;574.0000000;581.5000000;13375
20140328;000000;580.1000000;584.0000000;570.0000000;575.9000000;13639
20140331;000000;571.5000000;583.8000000;571.5000000;578.4000000;9630
20140401;000000;575.7000000;592.0000000;572.4000000;574.6000000;14364
20140402;000000;575.0000000;575.5000000;516.0000000;562.9000000;21277
20140403;000000;566.9000000;579.9000000;551.0000000;562.0000000;28587
20140404;000000;564.1000000;564.6000000;558.1000000;561.0000000;6281
20140407;000000;559.0000000;559.0000000;542.1000000;548.9000000;15394
20140408;000000;554.9000000;554.9000000;547.1000000;547.1000000;11434
20140409;000000;555.0000000;573.9000000;545.1000000;571.0000000;26853
20140410;000000;571.1000000;576.0000000;560.0000000;562.0000000;9624
20140411;000000;564.0000000;573.0000000;560.0000000;572.0000000;12574
20140414;000000;562.9000000;576.7000000;556.2000000;572.2000000;34630
20140415;000000;571.0000000;572.0000000;552.0000000;553.0000000;28568
20140416;000000;553.0000000;556.9000000;549.8000000;553.6000000;4134
20140417;000000;553.6000000;561.8000000;550.0000000;552.9000000;8273
20140418;000000;560.6000000;560.6000000;550.0000000;556.6000000;6164
20140421;000000;556.7000000;556.7000000;550.0000000;552.0000000;7063
20140422;000000;550.1000000;550.1000000;539.3000000;542.8000000;11858
20140423;000000;543.9000000;544.9000000;530.0000000;532.0000000;6089
20140424;000000;531.4000000;537.1000000;514.0000000;523.0000000;18043
20140425;000000;520.1000000;522.9000000;510.0000000;518.6000000;8860
20140428;000000;514.8000000;540.2000000;514.5000000;532.0000000;24074
20140429;000000;530.0000000;539.0000000;525.1000000;531.0000000;7028
20140430;000000;533.5000000;540.6000000;528.6000000;531.2000000;5028
20140502;000000;537.0000000;537.0000000;526.2000000;529.8000000;1145
20140505;000000;534.9000000;539.8000000;530.0000000;535.0000000;3213
20140506;000000;537.1000000;545.5000000;529.9000000;542.7000000;10058
20140507;000000;538.5000000;547.8000000;537.8000000;541.1000000;8174
20140508;000000;540.5000000;543.3000000;533.7000000;537.9000000;4495
20140512;000000;542.7000000;542.7000000;531.1000000;535.9000000;3838
20140513;000000;539.0000000;540.6000000;535.1000000;538.0000000;5112
20140514;000000;538.1000000;539.2000000;534.9000000;537.6000000;3884
20140515;000000;538.6000000;539.0000000;526.7000000;527.7000000;27352
20140516;000000;523.1000000;527.4000000;519.2000000;522.2000000;9842
20140519;000000;525.0000000;531.4000000;522.9000000;527.6000000;4833
20140520;000000;528.5000000;528.5000000;524.0000000;526.7000000;4536
20140521;000000;526.0000000;532.5000000;515.0000000;525.0000000;10132
20140522;000000;526.0000000;529.1000000;522.5000000;526.9000000;5677
