<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.8900000;0.9500000;0.8800000;0.8900000;14000
20140108;000000;0.9790000;0.9790000;0.9590000;0.9700000;15000
20140109;000000;0.9940000;0.9960000;0.9940000;0.9960000;4000
20140113;000000;0.9980000;1.0000000;0.9980000;1.0000000;8000
20140114;000000;0.9900000;1.0000000;0.9900000;1.0000000;5000
20140115;000000;0.9770000;0.9770000;0.9770000;0.9770000;14000
20140122;000000;0.9350000;0.9350000;0.9340000;0.9340000;2000
20140127;000000;0.9960000;0.9960000;0.9960000;0.9960000;1000
20140128;000000;0.9520000;0.9520000;0.9510000;0.9510000;4000
20140203;000000;0.9990000;1.0200000;0.9990000;1.0200000;61000
20140204;000000;0.9890000;0.9890000;0.9760000;0.9760000;2000
20140206;000000;1.0020000;1.0020000;0.9320000;1.0000000;18000
20140211;000000;0.9990000;0.9990000;0.9990000;0.9990000;1000
20140212;000000;1.0020000;1.0020000;1.0020000;1.0020000;2000
20140213;000000;1.0000000;1.0000000;1.0000000;1.0000000;2000
20140217;000000;0.9350000;0.9350000;0.9210000;0.9210000;10000
20140218;000000;0.9950000;1.0000000;0.9950000;1.0000000;20000
20140219;000000;1.0330000;1.2460000;0.9920000;0.9920000;51000
20140221;000000;1.0170000;1.0170000;1.0170000;1.0170000;1000
20140224;000000;0.9510000;0.9510000;0.9360000;0.9360000;18000
20140226;000000;0.9370000;1.0890000;0.9360000;1.0890000;20000
20140227;000000;0.9370000;0.9980000;0.9360000;0.9730000;48000
20140228;000000;0.9500000;0.9500000;0.9500000;0.9500000;1000
20140303;000000;0.8820000;0.9220000;0.8270000;0.8960000;22000
20140304;000000;0.9540000;0.9540000;0.8120000;0.8120000;20000
20140306;000000;0.9000000;0.9550000;0.8000000;0.9550000;35000
20140311;000000;0.8010000;0.8500000;0.8010000;0.8500000;42000
20140313;000000;0.7810000;0.8570000;0.7800000;0.8570000;12000
20140314;000000;0.7770000;0.8000000;0.7110000;0.7790000;19000
20140317;000000;0.7550000;0.7770000;0.7550000;0.7770000;4000
20140318;000000;0.8010000;0.8860000;0.7500000;0.7500000;16000
20140319;000000;0.8800000;0.8800000;0.8500000;0.8500000;89000
20140320;000000;0.8700000;0.8700000;0.8700000;0.8700000;2000
20140325;000000;0.8760000;0.8980000;0.8760000;0.8900000;31000
20140326;000000;0.9400000;0.9400000;0.9400000;0.9400000;1000
20140327;000000;0.8050000;0.9390000;0.8040000;0.9390000;4000
20140331;000000;0.9400000;0.9400000;0.9400000;0.9400000;1000
20140401;000000;0.8510000;0.8510000;0.8510000;0.8510000;1000
20140402;000000;0.9000000;0.9000000;0.9000000;0.9000000;1000
20140403;000000;0.9430000;0.9440000;0.9430000;0.9440000;3000
20140404;000000;0.9000000;0.9500000;0.9000000;0.9500000;2000
20140407;000000;0.9530000;0.9530000;0.9530000;0.9530000;1000
20140408;000000;0.9530000;0.9530000;0.9000000;0.9510000;7000
20140409;000000;0.9490000;0.9490000;0.9490000;0.9490000;2000
20140410;000000;0.9540000;0.9540000;0.9540000;0.9540000;1000
20140414;000000;0.9000000;0.9000000;0.9000000;0.9000000;2000
20140416;000000;0.8510000;0.8540000;0.8500000;0.8540000;4000
20140418;000000;0.9500000;0.9500000;0.8500000;0.9500000;35000
20140422;000000;0.9490000;0.9490000;0.9490000;0.9490000;7000
20140424;000000;0.8550000;0.8550000;0.7370000;0.7640000;27000
20140425;000000;0.8840000;0.8840000;0.8400000;0.8400000;10000
20140428;000000;0.8000000;0.8400000;0.7770000;0.8400000;27000
20140429;000000;0.8500000;0.8500000;0.8500000;0.8500000;20000
20140502;000000;0.7710000;0.7710000;0.7700000;0.7700000;5000
20140506;000000;0.9350000;0.9350000;0.9350000;0.9350000;1000
20140513;000000;0.9300000;0.9300000;0.9300000;0.9300000;5000
20140514;000000;0.9300000;0.9980000;0.8880000;0.9490000;24000
20140519;000000;0.8410000;0.8410000;0.8400000;0.8400000;2000
20140520;000000;1.0030000;1.0030000;0.9490000;0.9550000;56000
20140523;000000;0.8600000;0.8600000;0.8600000;0.8600000;3000
20140526;000000;0.9550000;0.9550000;0.9100000;0.9100000;2000
20140527;000000;0.9350000;0.9350000;0.9000000;0.9000000;2000
20140528;000000;0.8880000;0.8880000;0.8430000;0.8500000;41000
20140529;000000;0.8400000;0.9540000;0.8220000;0.9540000;60000
20140602;000000;0.9530000;0.9530000;0.9530000;0.9530000;20000
20140609;000000;0.8510000;0.9000000;0.8210000;0.9000000;10000
20140610;000000;0.8480000;0.8480000;0.8480000;0.8480000;6000
20140611;000000;0.8880000;0.8880000;0.8880000;0.8880000;1000
20140617;000000;0.8510000;0.8550000;0.8510000;0.8550000;7000
20140618;000000;0.8250000;0.8320000;0.8220000;0.8230000;19000
20140619;000000;0.8250000;0.8250000;0.8220000;0.8220000;26000
20140623;000000;0.8310000;0.8310000;0.8310000;0.8310000;10000
