<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.1710000;0.1710000;0.1600000;0.1630000;207300
20140108;000000;0.1600000;0.1620000;0.1600000;0.1600000;16800
20140109;000000;0.1600000;0.1640000;0.1600000;0.1610000;248100
20140110;000000;0.1880000;0.1880000;0.1600000;0.1600000;610000
20140113;000000;0.1620000;0.1620000;0.1440000;0.1580000;778500
20140114;000000;0.1580000;0.1590000;0.1560000;0.1580000;210100
20140115;000000;0.1610000;0.1800000;0.1600000;0.1600000;1054100
20140116;000000;0.1640000;0.1640000;0.1420000;0.1570000;372000
20140117;000000;0.1580000;0.1580000;0.1560000;0.1580000;423600
20140120;000000;0.1600000;0.1600000;0.1560000;0.1570000;276300
20140121;000000;0.1570000;0.1580000;0.1560000;0.1560000;252400
20140122;000000;0.1570000;0.1570000;0.1540000;0.1550000;396600
20140123;000000;0.1600000;0.1600000;0.1530000;0.1550000;591500
20140124;000000;0.1590000;0.1590000;0.1530000;0.1540000;346000
20140127;000000;0.1590000;0.1590000;0.1510000;0.1540000;518400
20140128;000000;0.1520000;0.1570000;0.1410000;0.1480000;414600
20140129;000000;0.1680000;0.1680000;0.1440000;0.1480000;998200
20140130;000000;0.1480000;0.1500000;0.1450000;0.1470000;1165000
20140131;000000;0.1480000;0.1480000;0.1420000;0.1440000;197600
20140203;000000;0.1480000;0.1500000;0.1310000;0.1370000;942100
20140204;000000;0.1320000;0.1380000;0.1120000;0.1280000;1871700
20140205;000000;0.1340000;0.1370000;0.1210000;0.1220000;2868600
20140206;000000;0.1230000;0.1310000;0.1200000;0.1270000;5438500
20140207;000000;0.1290000;0.1530000;0.1270000;0.1440000;8941100
20140210;000000;0.1350000;0.1640000;0.1350000;0.1560000;5957300
20140211;000000;0.1650000;0.2180000;0.1520000;0.2180000;17261200
20140212;000000;0.2500000;0.3050000;0.2310000;0.3050000;31084300
20140213;000000;0.3290000;0.4260000;0.2700000;0.2880000;59212400
20140214;000000;0.2970000;0.2970000;0.2200000;0.2510000;28690100
20140217;000000;0.2470000;0.3480000;0.2470000;0.3200000;26637100
20140218;000000;0.3250000;0.3330000;0.2880000;0.3030000;12617200
20140219;000000;0.3090000;0.3090000;0.2470000;0.2800000;17154000
20140220;000000;0.2880000;0.2880000;0.2560000;0.2650000;5904700
20140221;000000;0.2700000;0.2980000;0.2490000;0.2580000;5386900
20140224;000000;0.2670000;0.2790000;0.2330000;0.2510000;11466400
20140225;000000;0.1910000;0.2670000;0.1910000;0.2630000;3720500
20140226;000000;0.2670000;0.3100000;0.2470000;0.2520000;16842500
20140227;000000;0.2590000;0.2590000;0.2090000;0.2340000;8613400
20140228;000000;0.1880000;0.2350000;0.1840000;0.1930000;12848100
20140303;000000;0.1730000;0.1900000;0.1310000;0.1400000;9717600
20140304;000000;0.1580000;0.1800000;0.1340000;0.1720000;10615300
20140305;000000;0.1780000;0.1890000;0.1680000;0.1760000;4584600
20140306;000000;0.1640000;0.1790000;0.1610000;0.1680000;6273800
20140307;000000;0.1670000;0.1730000;0.1610000;0.1690000;1941300
20140311;000000;0.1730000;0.1730000;0.1600000;0.1630000;2476600
20140312;000000;0.1590000;0.1630000;0.1550000;0.1600000;3279500
20140313;000000;0.1620000;0.1640000;0.1510000;0.1570000;1578300
20140314;000000;0.1510000;0.1570000;0.1340000;0.1460000;2438600
20140317;000000;0.1720000;0.1720000;0.1430000;0.1500000;4879100
20140318;000000;0.1410000;0.1570000;0.1410000;0.1530000;1716600
20140319;000000;0.1550000;0.1550000;0.1470000;0.1510000;1498800
20140320;000000;0.1540000;0.1540000;0.1480000;0.1540000;1503000
20140321;000000;0.1500000;0.1540000;0.1480000;0.1520000;419600
20140324;000000;0.1510000;0.1800000;0.1510000;0.1580000;8432800
20140325;000000;0.1580000;0.1640000;0.1570000;0.1590000;3081700
20140326;000000;0.1560000;0.1650000;0.1410000;0.1600000;2521800
20140327;000000;0.1580000;0.1600000;0.1560000;0.1600000;718800
20140328;000000;0.1600000;0.1600000;0.1570000;0.1580000;904300
20140331;000000;0.1590000;0.1610000;0.1580000;0.1590000;674200
20140401;000000;0.1600000;0.1860000;0.1570000;0.1600000;8991300
20140402;000000;0.1700000;0.1790000;0.1600000;0.1660000;7352600
20140403;000000;0.1600000;0.1670000;0.1580000;0.1620000;11612400
20140404;000000;0.1620000;0.1640000;0.1580000;0.1590000;6343000
20140407;000000;0.1650000;0.1650000;0.1530000;0.1570000;7791100
20140408;000000;0.1610000;0.1610000;0.1520000;0.1560000;2404400
20140409;000000;0.1930000;0.1980000;0.1510000;0.1550000;3768900
20140410;000000;0.1590000;0.1590000;0.1490000;0.1500000;2512100
20140411;000000;0.1460000;0.1500000;0.1460000;0.1480000;565100
20140414;000000;0.1510000;0.1590000;0.1450000;0.1500000;2719300
20140415;000000;0.1500000;0.1500000;0.1460000;0.1490000;364800
20140416;000000;0.1540000;0.1540000;0.1380000;0.1410000;4857600
20140417;000000;0.1400000;0.1430000;0.1370000;0.1390000;1892600
20140418;000000;0.1460000;0.1460000;0.1320000;0.1340000;4337200
20140421;000000;0.1380000;0.1380000;0.1310000;0.1330000;831200
20140422;000000;0.1430000;0.1430000;0.1250000;0.1290000;2771800
20140423;000000;0.1290000;0.1690000;0.1230000;0.1580000;9379100
20140424;000000;0.1610000;0.1930000;0.1500000;0.1550000;21922700
20140425;000000;0.1550000;0.1640000;0.1370000;0.1410000;6218800
20140428;000000;0.1310000;0.1450000;0.1310000;0.1390000;2620000
20140429;000000;0.1500000;0.1740000;0.1400000;0.1500000;5608600
20140430;000000;0.1570000;0.1700000;0.1500000;0.1610000;6243700
20140502;000000;0.1690000;0.1740000;0.1510000;0.1540000;2393600
20140505;000000;0.1500000;0.1620000;0.1480000;0.1560000;1970100
