<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;9699.0000000;9700.0000000;9699.0000000;9700.0000000;2
20140108;000000;8500.1000000;8500.1000000;8500.1000000;8500.1000000;1
20140110;000000;9700.0000000;9748.0000000;9500.0000000;9747.9000000;4
20140113;000000;9000.0000000;9748.0000000;9000.0000000;9748.0000000;3
20140129;000000;9300.0000000;9300.0000000;9225.7000000;9225.7000000;2
20140203;000000;9500.0000000;9500.0000000;9500.0000000;9500.0000000;2
20140204;000000;8500.0000000;8500.0000000;8500.0000000;8500.0000000;2
20140320;000000;9000.0000000;9000.0000000;9000.0000000;9000.0000000;1
20140321;000000;9000.1000000;9000.1000000;9000.0000000;9000.0000000;2
20140624;000000;9000.0000000;9000.0000000;9000.0000000;9000.0000000;1
20140702;000000;8000.1000000;8000.1000000;8000.1000000;8000.1000000;1
20140708;000000;9000.0000000;9000.0000000;9000.0000000;9000.0000000;1
20141022;000000;9500.0000000;9500.0000000;9500.0000000;9500.0000000;1
20141028;000000;9500.0000000;10000.0000000;9500.0000000;10000.0000000;6
20141030;000000;9500.0000000;9500.0000000;9500.0000000;9500.0000000;2
20141105;000000;9500.0000000;9500.0000000;9500.0000000;9500.0000000;2
20141113;000000;9500.0000000;9500.0000000;9500.0000000;9500.0000000;2
20141124;000000;10500.0000000;10500.0000000;10500.0000000;10500.0000000;1
20141208;000000;9500.0000000;9500.0000000;9500.0000000;9500.0000000;2
20141209;000000;9000.0000000;9000.0000000;9000.0000000;9000.0000000;1
