<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140505;000000;100.0000000;100.0000000;100.0000000;100.0000000;460
20140506;000000;99.9000000;100.0000000;99.9000000;100.0000000;530
20140507;000000;99.9500000;100.0500000;99.9500000;100.0000000;640
20140508;000000;100.0000000;100.0700000;100.0000000;100.0700000;500
20140512;000000;100.0000000;100.0100000;99.0000000;100.0100000;590
20140513;000000;100.0000000;100.0900000;99.7000000;100.0900000;440
20140514;000000;100.0000000;100.0000000;100.0000000;100.0000000;610
20140515;000000;100.0000000;100.0000000;99.9900000;100.0000000;1950
20140516;000000;99.8000000;100.2000000;99.8000000;100.0000000;880
20140519;000000;100.0000000;100.0900000;100.0000000;100.0900000;1040
20140520;000000;100.0000000;100.0800000;100.0000000;100.0800000;850
20140521;000000;100.0000000;100.1300000;100.0000000;100.0000000;2000
20140522;000000;100.0000000;100.0000000;99.9700000;100.0000000;5340
20140523;000000;100.0000000;100.0000000;99.9900000;100.0000000;2120
20140526;000000;100.0000000;100.5000000;99.9700000;100.0000000;9520
20140527;000000;100.0000000;100.0000000;99.9900000;100.0000000;15620
20140528;000000;100.0000000;100.0000000;99.9900000;100.0000000;6960
20140529;000000;95.5000000;96.0500000;91.0000000;93.0000000;940
20140530;000000;96.0000000;98.0000000;95.0100000;96.0000000;1050
20140602;000000;96.9600000;97.7000000;96.9600000;97.7000000;130
20140603;000000;96.9000000;96.9000000;94.0100000;94.0100000;400
20140605;000000;96.6400000;97.9900000;95.0000000;95.0200000;550
20140606;000000;95.9000000;96.5000000;94.1300000;96.0000000;570
20140609;000000;96.0000000;96.0000000;94.2500000;94.4100000;300
20140610;000000;94.3100000;97.5000000;94.3100000;97.0400000;290
20140611;000000;95.2600000;99.5000000;95.2500000;98.9800000;1570
20140616;000000;94.2500000;94.2700000;94.2300000;94.2500000;60
20140617;000000;95.0500000;95.4500000;95.0500000;95.4500000;40
20140618;000000;95.1200000;98.0000000;95.1200000;95.4500000;270
20140619;000000;95.4900000;95.4900000;95.4900000;95.4900000;40
20140620;000000;98.0000000;98.8800000;96.1200000;96.1200000;1830
20140623;000000;98.8900000;98.8900000;98.7900000;98.7900000;20
20140624;000000;98.0000000;99.0000000;97.1200000;99.0000000;580
20140625;000000;98.0000000;98.5000000;97.0500000;97.0800000;480
20140626;000000;96.0900000;97.0000000;96.0900000;97.0000000;80
20140627;000000;96.5300000;98.0000000;95.0900000;95.1100000;600
20140630;000000;97.5000000;97.5000000;95.0000000;97.1800000;340
20140701;000000;97.4900000;100.0000000;97.4900000;100.0000000;940
20140702;000000;98.7300000;98.8000000;96.3000000;97.5300000;470
20140703;000000;97.5300000;98.2500000;96.7200000;97.1000000;320
20140704;000000;96.6200000;98.0000000;96.6200000;97.2300000;550
20140707;000000;97.3500000;98.8000000;97.3500000;97.4100000;1960
20140708;000000;97.4400000;97.4400000;97.4000000;97.4000000;200
20140710;000000;97.1000000;97.1000000;96.0000000;96.0000000;300
20140711;000000;96.0500000;97.9500000;95.2700000;95.2700000;670
20140715;000000;95.4500000;95.4500000;95.4500000;95.4500000;20
20140716;000000;95.6400000;95.8400000;95.6400000;95.8400000;30
20140717;000000;95.9500000;96.5000000;95.6400000;95.6400000;520
20140718;000000;95.5000000;97.9600000;95.5000000;95.5900000;150
20140721;000000;95.5000000;95.5000000;94.5900000;94.9500000;880
20140722;000000;95.0100000;97.5900000;94.7900000;95.0400000;850
20140723;000000;94.8000000;95.0700000;94.8000000;95.0000000;360
20140724;000000;95.0300000;95.0500000;94.8000000;94.8700000;1600
20140725;000000;96.0000000;96.0000000;94.7700000;94.7700000;20
20140728;000000;95.0100000;95.0100000;94.2800000;94.3500000;120
20140729;000000;94.2800000;94.4000000;94.2800000;94.4000000;70
20140730;000000;94.5300000;96.9800000;94.5300000;96.9800000;90
20140731;000000;94.6100000;97.4000000;94.6100000;97.4000000;130
20140801;000000;97.4700000;97.4700000;97.4700000;97.4700000;10
20140804;000000;95.1100000;96.3000000;95.1100000;96.3000000;50
20140806;000000;96.9900000;97.0000000;96.2200000;96.9800000;250
20140807;000000;96.9500000;96.9500000;95.1400000;95.1400000;40
20140808;000000;96.9400000;97.0000000;95.3300000;95.5200000;90
20140812;000000;95.2100000;97.1000000;95.2100000;95.6400000;380
20140813;000000;96.5000000;96.5000000;96.0000000;96.0000000;500
20140820;000000;97.4500000;97.4500000;97.4500000;97.4500000;130
20140821;000000;97.4500000;97.4500000;97.4500000;97.4500000;10
20140822;000000;97.4500000;97.4500000;97.4500000;97.4500000;10
20140825;000000;97.4600000;97.4600000;97.1000000;97.1000000;150
20140826;000000;97.4500000;97.4500000;97.4500000;97.4500000;10
20140827;000000;97.4500000;97.4500000;97.4500000;97.4500000;450
20140828;000000;97.5000000;97.5000000;97.5000000;97.5000000;10
20140829;000000;97.5000000;97.5000000;97.4800000;97.4800000;160
20140901;000000;97.5500000;97.5500000;97.5000000;97.5000000;40
20140903;000000;96.0000000;97.5500000;96.0000000;97.4900000;890
20140904;000000;96.0100000;97.5500000;96.0100000;97.5500000;250
20140905;000000;95.5000000;97.9900000;95.0000000;97.0000000;1760
20140908;000000;97.9800000;97.9900000;96.0000000;96.8000000;3740
20140909;000000;96.8000000;97.9700000;95.2500000;96.1000000;3050
20140910;000000;96.9000000;97.8600000;96.0100000;96.0200000;7940
20140911;000000;96.0100000;96.6400000;96.0100000;96.3600000;7550
