<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;101.8000000;105.0000000;101.8000000;104.2000000;180
20140108;000000;92.6000000;101.3000000;92.2000000;100.6000000;580
20140109;000000;99.8000000;100.6000000;99.8000000;100.3000000;150
20140110;000000;99.3000000;100.0000000;98.0000000;99.1000000;470
20140113;000000;99.3000000;99.3000000;98.4000000;98.5000000;100
20140114;000000;98.8000000;100.8000000;98.8000000;100.6000000;2430
20140115;000000;99.8000000;100.3000000;99.8000000;99.8000000;10770
20140116;000000;100.8000000;101.3000000;99.7000000;99.7000000;11430
20140117;000000;99.5000000;99.9000000;99.5000000;99.6000000;230
20140120;000000;99.7000000;99.9000000;99.7000000;99.7000000;140
20140121;000000;100.3000000;100.3000000;98.1000000;99.3000000;430
20140122;000000;99.0000000;105.0000000;99.0000000;99.8000000;960
20140123;000000;103.7000000;105.5000000;99.9000000;100.0000000;790
20140124;000000;98.9000000;99.8000000;98.8000000;99.4000000;90
20140127;000000;99.9000000;105.8000000;99.0000000;99.4000000;700
20140128;000000;98.9000000;98.9000000;94.6000000;96.0000000;8580
20140129;000000;97.8000000;98.0000000;95.2000000;95.2000000;8740
20140130;000000;97.8000000;97.8000000;92.1000000;93.7000000;3310
20140131;000000;93.1000000;96.5000000;89.4000000;92.0000000;2450
20140203;000000;94.0000000;94.5000000;87.5000000;87.5000000;3040
20140204;000000;87.6000000;90.0000000;82.4000000;85.1000000;5470
20140205;000000;86.5000000;87.4000000;83.0000000;87.4000000;850
20140206;000000;85.1000000;86.5000000;83.0000000;86.2000000;3110
20140207;000000;87.1000000;87.1000000;85.0000000;85.9000000;1860
20140210;000000;84.4000000;89.6000000;84.3000000;85.9000000;4230
20140211;000000;88.9000000;88.9000000;87.0000000;87.0000000;1590
20140212;000000;87.8000000;88.6000000;82.6000000;86.7000000;3620
20140213;000000;83.7000000;86.5000000;83.6000000;83.6000000;7780
20140214;000000;86.7000000;86.7000000;86.7000000;86.7000000;20
20140217;000000;84.0000000;88.2000000;83.4000000;86.3000000;2070
20140218;000000;86.9000000;93.8000000;84.0000000;87.0000000;4340
20140219;000000;87.0000000;87.0000000;86.1000000;86.2000000;330
20140220;000000;84.2000000;86.4000000;84.2000000;86.4000000;30
20140221;000000;84.5000000;87.0000000;84.5000000;85.1000000;800
20140224;000000;85.2000000;85.2000000;85.2000000;85.2000000;10
20140225;000000;85.1000000;85.1000000;84.7000000;84.7000000;480
20140226;000000;85.0000000;85.0000000;82.6000000;83.1000000;1250
20140227;000000;83.0000000;84.2000000;75.7000000;79.1000000;5020
20140228;000000;79.2000000;79.9000000;75.0000000;79.9000000;4450
20140303;000000;75.0000000;76.1000000;61.1000000;69.9000000;6940
20140304;000000;70.0000000;76.9000000;65.7000000;74.1000000;22610
20140305;000000;74.1000000;74.1000000;67.1000000;73.4000000;2370
20140306;000000;73.0000000;74.9000000;70.0000000;74.9000000;1900
20140307;000000;83.3000000;83.3000000;70.1000000;72.9000000;4760
20140311;000000;70.5000000;72.4000000;69.1000000;69.5000000;2640
20140312;000000;68.6000000;69.3000000;66.6000000;66.6000000;1170
