<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140114;000000;10998.0000000;10998.0000000;10998.0000000;10998.0000000;1
20140121;000000;11200.0000000;11200.0000000;11200.0000000;11200.0000000;1
20140123;000000;11200.0000000;11500.0000000;11200.0000000;11200.0000000;6
20140127;000000;11700.0000000;11700.0000000;11700.0000000;11700.0000000;1
20140131;000000;11900.0000000;12294.0000000;11900.0000000;12294.0000000;4
20140206;000000;12900.0000000;13000.0000000;12900.0000000;13000.0000000;5
20140207;000000;12100.0000000;12100.0000000;12100.0000000;12100.0000000;2
20140210;000000;13499.0000000;13499.0000000;13450.0000000;13488.0000000;3
20140221;000000;11100.0000000;11100.0000000;11100.0000000;11100.0000000;2
20140228;000000;12999.0000000;13500.0000000;12999.0000000;13500.0000000;18
20140311;000000;12002.0000000;12002.0000000;12000.0000000;12000.0000000;8
20140312;000000;12000.0000000;12000.0000000;12000.0000000;12000.0000000;2
20140313;000000;12000.0000000;12000.0000000;12000.0000000;12000.0000000;3
20140325;000000;13996.0000000;13996.0000000;13996.0000000;13996.0000000;2
20140404;000000;13992.0000000;13992.0000000;13992.0000000;13992.0000000;2
20140417;000000;13992.0000000;13992.0000000;13992.0000000;13992.0000000;1
20140522;000000;10050.0000000;10500.0000000;10050.0000000;10500.0000000;4
20140527;000000;10118.0000000;10118.0000000;10000.0000000;10020.0000000;6
20140528;000000;10020.0000000;11200.0000000;10020.0000000;11200.0000000;5
20140530;000000;11200.0000000;11200.0000000;11200.0000000;11200.0000000;1
20140702;000000;11221.0000000;11221.0000000;11221.0000000;11221.0000000;1
20140704;000000;11230.0000000;11230.0000000;11200.0000000;11200.0000000;11
20140805;000000;12501.0000000;12501.0000000;12500.0000000;12500.0000000;11
20140828;000000;13989.0000000;13989.0000000;13989.0000000;13989.0000000;1
20140829;000000;13200.0000000;13200.0000000;13200.0000000;13200.0000000;19
20140901;000000;13200.0000000;13300.0000000;13200.0000000;13300.0000000;2
20140904;000000;12500.0000000;12500.0000000;12500.0000000;12500.0000000;1
20140908;000000;12500.0000000;12500.0000000;12500.0000000;12500.0000000;1
20140926;000000;12500.0000000;12500.0000000;12500.0000000;12500.0000000;10
20141001;000000;12500.0000000;12500.0000000;12500.0000000;12500.0000000;1
20141105;000000;12500.0000000;12500.0000000;12500.0000000;12500.0000000;2
20141110;000000;13750.0000000;13800.0000000;13750.0000000;13800.0000000;5
20141111;000000;13000.0000000;13650.0000000;12500.0000000;12500.0000000;12
20141113;000000;13000.0000000;13600.0000000;13000.0000000;13600.0000000;5
20141204;000000;10650.0000000;13600.0000000;10650.0000000;13600.0000000;4
20141205;000000;11250.0000000;13000.0000000;11250.0000000;13000.0000000;3
20141208;000000;11300.0000000;12900.0000000;11300.0000000;12900.0000000;2
20141211;000000;11400.0000000;11500.0000000;11400.0000000;11500.0000000;3
20141212;000000;12500.0000000;12500.0000000;12500.0000000;12500.0000000;1
20141222;000000;9400.0000000;11400.0000000;8850.0000000;9950.0000000;24
20141223;000000;8000.0000000;9500.0000000;7000.0000000;8100.0000000;38
20141224;000000;6050.0000000;8900.0000000;5000.0000000;8900.0000000;26
20141230;000000;11000.0000000;11000.0000000;11000.0000000;11000.0000000;1
