<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;74.1300000;74.1300000;72.8100000;73.1400000;104100
20140108;000000;73.1800000;75.2500000;72.9800000;75.0100000;182300
20140109;000000;75.3000000;75.7200000;73.3800000;73.4400000;146400
20140110;000000;73.5900000;73.5900000;72.7000000;73.2200000;162500
20140113;000000;73.6000000;73.6000000;73.0500000;73.3500000;193500
20140114;000000;73.0900000;74.0000000;72.8400000;73.8300000;128100
20140115;000000;73.5000000;74.8000000;73.2000000;74.5900000;101800
20140116;000000;74.9200000;75.0100000;73.3300000;73.7000000;202700
20140117;000000;73.5100000;74.5500000;73.5100000;74.4700000;170600
20140120;000000;74.3100000;74.8500000;74.2200000;74.8100000;95100
20140121;000000;74.9700000;76.6500000;74.8600000;76.1000000;464700
20140122;000000;76.2200000;76.3800000;75.5100000;76.0000000;575100
20140123;000000;75.6600000;76.1400000;74.0600000;74.1500000;358700
20140124;000000;73.9000000;74.7000000;73.6000000;74.3700000;145900
20140127;000000;74.1200000;75.0000000;73.9000000;74.1500000;239300
20140128;000000;74.4900000;74.5000000;73.0000000;74.1600000;228100
20140129;000000;74.2000000;75.1000000;73.5900000;73.6500000;289500
20140130;000000;73.9400000;74.3400000;72.5000000;72.5200000;971100
20140131;000000;72.8300000;73.0700000;71.8800000;71.9000000;578200
20140203;000000;72.1900000;72.4800000;71.5000000;71.5800000;177500
20140204;000000;71.4100000;73.5000000;70.8900000;72.8100000;589800
20140205;000000;72.7000000;73.9700000;72.0300000;73.9700000;314100
20140206;000000;73.9500000;74.8800000;73.3200000;73.9000000;125000
20140207;000000;74.0100000;74.4400000;73.5000000;74.1400000;264300
20140210;000000;74.4400000;74.4400000;73.4200000;73.9600000;21800
20140211;000000;73.6900000;74.2300000;73.4000000;74.2300000;197100
20140212;000000;74.3800000;74.4000000;73.6000000;73.7900000;60000
20140213;000000;73.3100000;73.5600000;72.1100000;73.4000000;391500
20140214;000000;73.0700000;73.3400000;72.5300000;72.9600000;103200
20140217;000000;73.3000000;74.9400000;73.0700000;74.2000000;348700
20140218;000000;74.2200000;74.8800000;72.6600000;73.3300000;293300
20140219;000000;72.8600000;73.1900000;72.0000000;72.6800000;133500
20140220;000000;72.6200000;73.1800000;72.1100000;72.9200000;101900
20140221;000000;73.0500000;73.1500000;72.5100000;72.9100000;77700
20140224;000000;73.0900000;73.8400000;72.4000000;72.5500000;80100
20140225;000000;72.8000000;73.1000000;70.9300000;71.5000000;1520200
20140226;000000;71.9700000;72.0100000;71.5000000;71.6300000;184000
20140227;000000;71.7300000;71.7900000;69.9000000;70.1000000;426100
20140228;000000;70.1300000;71.0000000;69.0700000;69.7000000;1395600
20140303;000000;66.2000000;66.9900000;60.1000000;61.9500000;2111900
20140304;000000;60.5000000;66.0000000;60.0000000;65.5000000;481900
20140305;000000;65.7800000;66.7900000;61.5100000;62.6500000;913400
20140306;000000;62.9000000;62.9600000;61.0800000;61.4500000;523500
20140307;000000;61.4500000;62.4900000;61.0100000;62.0100000;304800
20140311;000000;62.0000000;62.3900000;58.4000000;60.3000000;496900
20140312;000000;60.1000000;61.5000000;56.7700000;56.7900000;1015200
20140313;000000;57.9900000;58.0000000;53.3600000;54.0900000;1507500
20140314;000000;53.3200000;53.6200000;49.8200000;51.1800000;1235100
20140317;000000;53.0000000;53.8000000;51.0100000;53.3100000;792300
