<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;0.3047000;0.3047000;0.3047000;0.3047000;610000
20140113;000000;0.3100000;0.3100000;0.3100000;0.3100000;200000
20140115;000000;0.3137900;0.3137900;0.3137900;0.3137900;10000
20140116;000000;0.3249500;0.3249900;0.3249500;0.3249900;150000
20140117;000000;0.3000100;0.3000100;0.3000100;0.3000100;10000
20140120;000000;0.3246800;0.3246800;0.3246800;0.3246800;10000
20140121;000000;0.3000600;0.3210000;0.3000000;0.3210000;1330000
20140124;000000;0.3248000;0.3248000;0.3248000;0.3248000;60000
20140127;000000;0.3200000;0.3200000;0.3200000;0.3200000;60000
20140128;000000;0.3200000;0.3258900;0.3200000;0.3258900;150000
20140131;000000;0.3243000;0.3244400;0.3001300;0.3001300;40000
20140203;000000;0.3050200;0.3050200;0.3050000;0.3050000;770000
20140204;000000;0.3050000;0.3050000;0.3000300;0.3000300;30000
20140212;000000;0.3000100;0.3100100;0.3000100;0.3100100;170000
20140218;000000;0.3100000;0.3100000;0.3100000;0.3100000;200000
20140221;000000;0.3199900;0.3199900;0.3000000;0.3000000;670000
20140303;000000;0.3000000;0.3000100;0.2800000;0.2900200;1550000
20140306;000000;0.2952000;0.2952000;0.2950000;0.2950000;390000
20140314;000000;0.2801500;0.3000000;0.2740000;0.3000000;590000
20140320;000000;0.3000100;0.3000100;0.3000000;0.3000000;90000
20140325;000000;0.2700100;0.2700100;0.2700100;0.2700100;10000
20140326;000000;0.2510100;0.2510100;0.2510100;0.2510100;10000
20140328;000000;0.2510000;0.2510000;0.2510000;0.2510000;30000
20140331;000000;0.2500400;0.2500400;0.2500300;0.2500300;20000
20140403;000000;0.2720000;0.2720100;0.2720000;0.2720100;20000
20140409;000000;0.2720100;0.2720200;0.2720100;0.2720200;20000
20140411;000000;0.2850100;0.3008000;0.2850100;0.3000100;290000
20140414;000000;0.2900000;0.3000000;0.2900000;0.3000000;1490000
20140424;000000;0.3068100;0.3100000;0.2950000;0.3000100;150000
20140429;000000;0.3134000;0.3250000;0.3134000;0.3250000;40000
20140508;000000;0.2716200;0.2716200;0.2716200;0.2716200;60000
20140521;000000;0.2716900;0.2716900;0.2716900;0.2716900;20000
20140527;000000;0.3249700;0.3249700;0.3249700;0.3249700;10000
20140529;000000;0.2730700;0.2731000;0.2716000;0.2731000;80000
20140624;000000;0.2900500;0.3000000;0.2900500;0.3000000;90000
20140625;000000;0.3199500;0.4100000;0.3000000;0.3400000;4280000
20140626;000000;0.4000000;0.4500000;0.4000000;0.4500000;280000
20140701;000000;0.3000000;0.3899900;0.3000000;0.3200100;40000
20140714;000000;0.3320000;0.3400000;0.3320000;0.3400000;30000
20140716;000000;0.3320100;0.3320100;0.3320100;0.3320100;110000
20140717;000000;0.3320000;0.3320000;0.3320000;0.3320000;20000
20140722;000000;0.3879000;0.3879100;0.3879000;0.3879100;20000
20140730;000000;0.3300000;0.3300000;0.3300000;0.3300000;10000
20140804;000000;0.3400100;0.3400100;0.3400100;0.3400100;10000
20140814;000000;0.3300000;0.3300000;0.3300000;0.3300000;10000
20140815;000000;0.3300000;0.3300000;0.3300000;0.3300000;600000
20140825;000000;0.3500000;0.3500000;0.3500000;0.3500000;10000
20140828;000000;0.2700000;0.3000100;0.2620000;0.3000000;140000
20140829;000000;0.3140000;0.3140000;0.3140000;0.3140000;20000
20140901;000000;0.3000100;0.3000200;0.3000100;0.3000200;120000
20140902;000000;0.3459100;0.3460000;0.3459100;0.3460000;30000
20140904;000000;0.3800000;0.3980000;0.3508400;0.3508400;640000
20140908;000000;0.3299900;0.3300200;0.3299900;0.3300000;360000
20140910;000000;0.3999900;0.3999900;0.3999900;0.3999900;10000
20140916;000000;0.3400100;0.3400100;0.3400100;0.3400100;10000
20140917;000000;0.3400100;0.3401900;0.3400100;0.3401900;330000
20140919;000000;0.3999700;0.3999700;0.3999700;0.3999700;10000
20140924;000000;0.3251300;0.3523100;0.3251100;0.3390100;40000
20141017;000000;0.3160000;0.3160000;0.3160000;0.3160000;20000
20141028;000000;0.3300000;0.3320000;0.3160000;0.3300000;1020000
20141030;000000;0.3300000;0.3310000;0.3300000;0.3300000;890000
20141103;000000;0.3250000;0.3250000;0.2600000;0.2600000;20000
20141112;000000;0.3200000;0.3200000;0.3200000;0.3200000;100000
20141113;000000;0.3350000;0.3350000;0.3350000;0.3350000;10000
20141117;000000;0.3200000;0.3200000;0.3200000;0.3200000;70000
20141121;000000;0.3350000;0.3350000;0.3350000;0.3350000;10000
20141125;000000;0.3500000;0.3500000;0.3500000;0.3500000;210000
20141126;000000;0.3790000;0.3790000;0.3140000;0.3140000;150000
20141201;000000;0.3200000;0.3200000;0.3200000;0.3200000;10000
20141204;000000;0.3310000;0.3310000;0.3310000;0.3310000;100000
20141208;000000;0.3770000;0.3900000;0.3300000;0.3300000;60000
20141212;000000;0.3610000;0.3700000;0.3610000;0.3700000;190000
20141215;000000;0.2620000;0.2620000;0.2620000;0.2620000;10000
20141216;000000;0.3400000;0.3400000;0.2590000;0.2990000;40000
20141218;000000;0.3200000;0.4180000;0.3010000;0.3260000;1780000
20141219;000000;0.3390000;0.4200000;0.3300000;0.3300000;790000
20141226;000000;0.3310000;0.3310000;0.3310000;0.3310000;10000
20141230;000000;0.3300000;0.4190000;0.3300000;0.4190000;20000
