<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;35.4100000;35.4100000;35.3700000;35.3700000;4800
20140108;000000;35.4100000;35.4100000;35.4000000;35.4000000;2800
20140109;000000;35.4500000;35.4500000;35.4500000;35.4500000;1500
20140110;000000;35.5100000;35.5100000;35.4700000;35.4700000;1400
20140113;000000;35.4100000;35.4100000;35.4100000;35.4100000;4300
20140114;000000;35.0700000;35.0700000;35.0100000;35.0100000;4900
20140115;000000;35.2200000;35.2200000;35.2200000;35.2200000;4600
20140116;000000;35.3100000;35.3100000;35.3100000;35.3100000;3100
20140117;000000;35.0200000;35.0200000;35.0000000;35.0000000;1900
20140120;000000;34.9300000;34.9300000;34.9300000;34.9300000;2000
20140121;000000;35.3200000;35.3200000;35.3200000;35.3200000;1600
20140122;000000;35.1900000;35.1900000;35.1900000;35.1900000;1500
20140123;000000;35.0700000;35.0700000;35.0700000;35.0700000;1500
20140124;000000;34.9300000;34.9300000;34.8700000;34.8700000;2000
20140127;000000;34.7900000;34.7900000;34.7900000;34.7900000;1700
20140128;000000;34.9800000;34.9800000;34.9800000;34.9800000;1200
20140129;000000;35.1900000;35.1900000;35.1900000;35.1900000;1000
20140130;000000;35.2700000;35.2700000;35.2700000;35.2700000;800
20140203;000000;34.9600000;34.9600000;34.9600000;34.9600000;700
20140204;000000;34.7200000;34.7200000;34.7000000;34.7000000;1800
20140205;000000;34.8100000;34.8100000;34.8100000;34.8100000;1500
20140206;000000;34.8500000;34.8500000;34.8500000;34.8500000;1000
20140207;000000;35.0000000;35.0000000;35.0000000;35.0000000;1300
20140210;000000;35.1900000;35.1900000;35.1200000;35.1200000;5500
20140211;000000;35.0000000;35.0000000;34.9200000;34.9200000;4200
20140212;000000;34.9000000;34.9000000;34.9000000;34.9000000;3000
20140214;000000;34.9300000;34.9300000;34.9300000;34.9300000;2400
20140217;000000;35.1000000;35.1200000;35.1000000;35.1200000;2500
20140218;000000;35.2800000;35.2800000;35.2800000;35.2800000;2000
20140219;000000;35.6200000;35.6200000;35.6200000;35.6200000;2200
20140220;000000;35.1700000;35.1700000;35.1700000;35.1700000;2300
20140221;000000;35.2800000;35.2800000;35.2800000;35.2800000;2000
20140224;000000;35.1600000;35.1600000;35.1600000;35.1600000;1800
20140225;000000;35.6100000;35.6100000;35.6100000;35.6100000;2000
20140226;000000;35.7900000;35.7900000;35.7700000;35.7700000;2800
20140227;000000;35.8400000;35.8400000;35.8200000;35.8200000;1900
20140228;000000;35.7800000;35.7800000;35.7800000;35.7800000;1800
20140304;000000;34.7500000;34.7500000;34.7500000;34.7500000;100
20140305;000000;34.7900000;34.7900000;34.7900000;34.7900000;1200
20140306;000000;35.0200000;35.0200000;34.9500000;34.9500000;2200
20140307;000000;34.8400000;34.8700000;34.8400000;34.8700000;2100
20140311;000000;34.7000000;34.7000000;34.6000000;34.6000000;4000
20140312;000000;34.4300000;34.4300000;34.4300000;34.4300000;2300
20140313;000000;34.5500000;34.5500000;34.5500000;34.5500000;2000
20140314;000000;34.3000000;34.3000000;34.3000000;34.3000000;1700
20140317;000000;35.0300000;35.0300000;35.0300000;35.0300000;2500
20140318;000000;35.1100000;35.1100000;35.1100000;35.1100000;2300
20140319;000000;35.4200000;35.4200000;35.4000000;35.4000000;2800
