<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0445000;0.0445000;0.0445000;0.0445000;30000
20140108;000000;0.0445700;0.0445700;0.0445700;0.0445700;10000
20140110;000000;0.0447000;0.0447000;0.0447000;0.0447000;10000
20140113;000000;0.0449800;0.0449800;0.0449800;0.0449800;10000
20140116;000000;0.0410000;0.0410000;0.0389900;0.0390000;1010000
20140117;000000;0.0385100;0.0390000;0.0380100;0.0385000;630000
20140120;000000;0.0381100;0.0381100;0.0375000;0.0375000;90000
20140121;000000;0.0370100;0.0370100;0.0369900;0.0370000;250000
20140122;000000;0.0370000;0.0370000;0.0338000;0.0355000;1640000
20140123;000000;0.0360000;0.0368900;0.0350000;0.0350000;170000
20140124;000000;0.0359000;0.0359000;0.0340000;0.0350000;680000
20140130;000000;0.0369800;0.0369800;0.0369800;0.0369800;10000
20140131;000000;0.0368000;0.0368000;0.0368000;0.0368000;10000
20140203;000000;0.0367700;0.0367700;0.0367700;0.0367700;10000
20140206;000000;0.0345100;0.0345100;0.0340000;0.0340000;60000
20140207;000000;0.0340000;0.0340000;0.0300000;0.0300000;3680000
20140210;000000;0.0300100;0.0320100;0.0280000;0.0320000;780000
20140211;000000;0.0315000;0.0319900;0.0300000;0.0311100;120000
20140212;000000;0.0300200;0.0300200;0.0300200;0.0300200;10000
20140214;000000;0.0319900;0.0320000;0.0311100;0.0320000;30000
20140217;000000;0.0320000;0.0370000;0.0320000;0.0370000;320000
20140218;000000;0.0330000;0.0330100;0.0320000;0.0320000;90000
20140225;000000;0.0288800;0.0318700;0.0280000;0.0311100;450000
20140226;000000;0.0275200;0.0307700;0.0275000;0.0307700;60000
20140227;000000;0.0260300;0.0306600;0.0260100;0.0300000;80000
20140228;000000;0.0295000;0.0299800;0.0246700;0.0299800;350000
20140303;000000;0.0250200;0.0277400;0.0231600;0.0259900;570000
20140304;000000;0.0258800;0.0325000;0.0224800;0.0325000;480000
20140305;000000;0.0256700;0.0294800;0.0256700;0.0292200;310000
20140306;000000;0.0240000;0.0294400;0.0240000;0.0294400;10010000
20140307;000000;0.0323000;0.0323000;0.0323000;0.0323000;10000
20140311;000000;0.0294000;0.0294000;0.0294000;0.0294000;10000
