<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;4.8000000;5.5820000;4.6000000;5.0300000;420800
20140108;000000;5.0800000;6.2990000;4.8010000;5.8020000;2403500
20140109;000000;5.9900000;6.0000000;5.2300000;5.2800000;1283700
20140110;000000;5.3000000;5.3000000;4.4500000;4.5000000;1430000
20140113;000000;4.4040000;4.5400000;4.1710000;4.2480000;483900
20140114;000000;4.0220000;4.4970000;3.9410000;4.0480000;1159800
20140115;000000;4.0880000;4.3450000;4.0880000;4.1950000;367000
20140116;000000;4.1790000;4.3000000;3.9500000;4.1170000;174900
20140117;000000;4.0510000;4.1600000;3.9800000;4.0000000;726300
20140120;000000;3.9910000;4.1950000;3.9020000;3.9960000;873000
20140121;000000;3.9620000;4.0900000;3.8510000;3.8510000;212100
20140122;000000;3.8520000;4.0440000;3.7520000;3.8970000;173200
20140123;000000;3.8980000;4.4000000;3.6000000;4.2670000;777900
20140124;000000;4.2010000;4.5800000;4.0500000;4.5000000;423300
20140127;000000;4.4500000;4.8350000;4.3020000;4.7770000;346600
20140128;000000;4.7770000;4.8000000;4.5050000;4.8000000;270200
20140129;000000;4.8000000;5.1230000;4.6510000;5.0980000;518300
20140130;000000;5.0420000;5.1670000;5.0070000;5.0890000;537800
20140131;000000;5.0880000;5.2000000;5.0000000;5.1440000;1299200
20140203;000000;5.0510000;5.0800000;4.6160000;4.9500000;318000
20140204;000000;4.9110000;5.1490000;4.8020000;5.1190000;121500
20140205;000000;5.0500000;5.1700000;5.0000000;5.1700000;20700
20140206;000000;5.0410000;5.5420000;5.0410000;5.3350000;115000
20140207;000000;5.3350000;5.4330000;4.7990000;5.0000000;390300
20140210;000000;5.0100000;5.0100000;4.8010000;4.8900000;64900
20140211;000000;5.0000000;5.0270000;4.8250000;4.9700000;103400
20140212;000000;4.9180000;5.1880000;4.8100000;4.8200000;240800
20140213;000000;4.8300000;4.9610000;4.8200000;4.8270000;148400
20140214;000000;4.9190000;4.9190000;4.8130000;4.8430000;37500
20140217;000000;4.8500000;5.0450000;4.8300000;5.0450000;90200
20140218;000000;5.0000000;5.1700000;5.0000000;5.0290000;154100
20140219;000000;4.9810000;5.0140000;4.8320000;4.8600000;30300
20140220;000000;4.7510000;5.0300000;4.7010000;5.0300000;165100
20140221;000000;5.0000000;5.0840000;5.0000000;5.0300000;200800
20140224;000000;5.0170000;5.0930000;4.9820000;5.0750000;7200
20140225;000000;5.0810000;5.0810000;4.9050000;4.9900000;5800
20140226;000000;5.0000000;5.0590000;4.9320000;5.0590000;46200
20140227;000000;5.0500000;5.2000000;4.8520000;4.9000000;97000
20140228;000000;4.8770000;5.2440000;4.4520000;5.1360000;416900
20140303;000000;4.8070000;4.8070000;4.1000000;4.1040000;137800
20140304;000000;4.2000000;4.5470000;4.0040000;4.4780000;106700
20140305;000000;4.4000000;4.9500000;4.4000000;4.6430000;50000
20140306;000000;4.8890000;5.1000000;4.5040000;4.6300000;96100
20140307;000000;4.6660000;4.9740000;4.4010000;4.7700000;39600
20140311;000000;4.7780000;5.0980000;4.7500000;4.9290000;52600
20140312;000000;4.9970000;4.9990000;4.7200000;4.9990000;33000
20140313;000000;5.0200000;5.3000000;4.8500000;5.0080000;14700
20140314;000000;4.9900000;5.0010000;4.2100000;5.0010000;119300
20140317;000000;5.2380000;5.2380000;4.0690000;4.8280000;122500
20140318;000000;4.8040000;4.8040000;4.8020000;4.8020000;400
20140319;000000;4.7530000;4.8940000;4.7530000;4.8940000;5800
20140320;000000;4.8560000;4.8560000;4.7520000;4.8350000;10400
20140321;000000;4.7990000;4.8000000;4.2000000;4.7750000;80400
20140324;000000;4.7890000;4.8240000;4.7190000;4.8240000;900
20140325;000000;4.7220000;4.9040000;4.7210000;4.9020000;48600
20140326;000000;4.8290000;4.9190000;4.8280000;4.9180000;17400
20140327;000000;4.8320000;4.9980000;4.8310000;4.9030000;63900
20140328;000000;4.8910000;4.9890000;4.7530000;4.9010000;11400
20140331;000000;4.9470000;5.1180000;4.9470000;5.0050000;12500
20140401;000000;4.9510000;5.0830000;4.9100000;5.0820000;31000
20140402;000000;5.0350000;5.1620000;4.8710000;5.0220000;6700
20140403;000000;5.0210000;5.3000000;4.8720000;5.1010000;114600
20140404;000000;5.1890000;5.9840000;5.1120000;5.8970000;445600
20140407;000000;5.9730000;6.0800000;5.0100000;5.2500000;199600
20140408;000000;5.2410000;5.4780000;4.9810000;4.9970000;68800
20140409;000000;5.0970000;5.1960000;4.9420000;5.0250000;12100
20140410;000000;4.9510000;5.0820000;4.9010000;5.0260000;29100
20140411;000000;4.9900000;4.9970000;4.8810000;4.8810000;11400
20140414;000000;4.8520000;4.9070000;4.8510000;4.9070000;1200
20140415;000000;4.8890000;5.0390000;4.3410000;4.3980000;113700
20140416;000000;4.5780000;4.6490000;4.2500000;4.3990000;360500
20140417;000000;4.4940000;5.5000000;4.4940000;4.6650000;258500
20140418;000000;4.6800000;4.8450000;4.5510000;4.7730000;51800
20140421;000000;4.7010000;4.7690000;4.4010000;4.5300000;224000
20140422;000000;4.4620000;4.5290000;4.4310000;4.5290000;3400
20140424;000000;4.5380000;4.5690000;4.2560000;4.3990000;43400
20140425;000000;4.3280000;4.4290000;4.2810000;4.3880000;3100
20140428;000000;4.4260000;4.5000000;4.3920000;4.5000000;5200
20140429;000000;4.4060000;4.4690000;4.4010000;4.4510000;18900
20140430;000000;4.4090000;4.5090000;4.4070000;4.5090000;25800
20140505;000000;4.5370000;4.5370000;4.3510000;4.3530000;2900
20140506;000000;4.4460000;4.5650000;4.4460000;4.4720000;4200
20140507;000000;4.4350000;4.6790000;4.4350000;4.5370000;46400
20140508;000000;4.5050000;4.5050000;4.4910000;4.4910000;1000
20140512;000000;4.4610000;4.5250000;4.2420000;4.5240000;15900
20140513;000000;4.4450000;4.6250000;4.4440000;4.5770000;4500
20140514;000000;4.5990000;4.6190000;4.3020000;4.5000000;24700
20140515;000000;4.5280000;4.5290000;4.3030000;4.4340000;19900
20140516;000000;4.4390000;4.5240000;4.3000000;4.5240000;88400
20140519;000000;4.5480000;4.5490000;4.5480000;4.5490000;600
20140520;000000;4.5790000;4.7490000;4.3870000;4.7490000;27300
20140521;000000;4.6430000;4.6570000;4.4980000;4.5010000;22800
20140522;000000;4.5330000;4.5350000;4.3760000;4.4420000;16500
20140523;000000;4.4790000;4.5290000;4.4610000;4.4610000;4900
20140526;000000;4.5280000;4.7480000;4.4500000;4.6020000;40500
20140527;000000;4.5620000;4.7160000;4.5620000;4.6320000;60500
20140528;000000;4.6050000;5.1000000;4.4910000;4.9370000;468900
20140529;000000;4.9010000;5.0410000;4.6000000;5.0410000;32100
20140530;000000;5.0300000;5.5500000;5.0080000;5.3200000;1481600
20140602;000000;5.4390000;5.8500000;5.0000000;5.7260000;1867000
20140603;000000;5.5040000;5.9590000;5.2500000;5.5030000;108500
20140604;000000;5.1350000;5.9370000;5.0500000;5.6560000;532600
20140605;000000;5.6000000;5.7860000;5.5510000;5.6300000;19000
20140606;000000;5.7000000;5.9620000;5.5990000;5.7480000;35900
20140609;000000;5.9390000;5.9390000;5.6890000;5.8180000;800
20140610;000000;5.8790000;5.9000000;5.5510000;5.6480000;6500
20140611;000000;5.6880000;5.6880000;5.5010000;5.5950000;6600
20140616;000000;5.5070000;5.9000000;5.1000000;5.4160000;895700
20140617;000000;5.4440000;5.5380000;5.3830000;5.5380000;37800
20140618;000000;5.4780000;5.5380000;5.4770000;5.5380000;1600
20140619;000000;5.5200000;5.9700000;5.4030000;5.8840000;933900
20140620;000000;5.8180000;5.8500000;5.5600000;5.8000000;21300
20140623;000000;5.8380000;5.8500000;5.7410000;5.7450000;2100
20140624;000000;5.6570000;5.8800000;5.5050000;5.7990000;70600
20140625;000000;5.7980000;5.7990000;5.7980000;5.7990000;200
20140626;000000;5.7830000;5.8700000;5.7830000;5.8660000;40600
20140627;000000;5.6560000;5.9950000;5.5000000;5.8870000;29100
20140630;000000;5.8990000;5.8990000;4.9990000;4.9990000;305500
20140701;000000;4.9610000;5.0760000;4.4520000;4.7350000;164500
20140702;000000;4.7020000;5.0000000;4.3480000;4.8300000;447600
20140703;000000;4.8690000;4.9190000;4.8040000;4.8080000;5400
20140704;000000;4.8670000;4.9390000;4.7000000;4.8980000;50600
20140707;000000;4.7720000;4.9500000;4.5010000;4.9350000;53200
20140708;000000;4.9470000;4.9500000;4.7730000;4.8980000;22100
20140709;000000;4.8570000;4.9330000;4.7560000;4.8000000;9200
20140710;000000;4.8980000;4.9500000;4.7710000;4.9130000;24700
20140711;000000;4.8400000;4.9500000;4.8100000;4.8100000;21200
20140714;000000;4.8780000;4.9200000;4.8550000;4.9200000;29300
20140715;000000;4.9170000;4.9200000;4.8630000;4.9150000;5200
20140716;000000;4.8130000;4.8710000;4.8130000;4.8670000;700
20140717;000000;4.8040000;4.8040000;4.8010000;4.8020000;1100
20140718;000000;4.8980000;4.8980000;4.8040000;4.8480000;1800
20140721;000000;4.8110000;4.9380000;4.7500000;4.7500000;16400
20140722;000000;4.7050000;4.7680000;4.5500000;4.6390000;34100
20140723;000000;4.7000000;4.9500000;4.5710000;4.7000000;105700
20140724;000000;4.7300000;4.8500000;4.7000000;4.8500000;3100
20140725;000000;4.7240000;4.7240000;4.6000000;4.6000000;15400
20140728;000000;4.6520000;4.6520000;4.3490000;4.4000000;48000
20140729;000000;4.4000000;4.5380000;4.3500000;4.5000000;161900
20140730;000000;4.5000000;4.7400000;4.4030000;4.5500000;26600
20140731;000000;4.5480000;4.6990000;4.5010000;4.6990000;13800
20140801;000000;4.6870000;4.6880000;4.5000000;4.6880000;25300
20140804;000000;4.6040000;4.6260000;4.5510000;4.6000000;3100
20140805;000000;4.6690000;4.6750000;4.4500000;4.5470000;16100
20140806;000000;4.5430000;4.5440000;4.4290000;4.5440000;700
20140807;000000;4.5490000;4.5490000;4.4000000;4.4500000;6500
20140808;000000;4.4490000;4.4500000;4.2020000;4.2500000;259400
20140811;000000;4.2530000;4.2740000;4.1020000;4.1490000;33200
20140812;000000;4.2500000;4.2500000;3.9000000;3.9490000;36700
20140813;000000;4.0000000;4.0500000;3.7560000;3.7560000;113700
20140814;000000;3.7680000;3.8400000;3.5800000;3.6100000;631300
20140815;000000;3.6100000;3.6990000;3.5710000;3.5990000;147700
20140818;000000;3.6470000;3.6690000;3.5000000;3.5190000;306100
20140819;000000;3.5770000;3.8110000;3.4990000;3.5990000;274100
20140820;000000;3.5900000;3.8690000;3.5710000;3.8170000;262000
20140821;000000;3.8000000;4.8000000;3.7000000;4.0310000;618600
20140822;000000;3.9620000;4.4550000;3.9610000;4.4500000;164300
20140825;000000;4.4990000;4.7360000;4.4510000;4.5000000;98300
20140826;000000;4.5690000;4.7390000;4.5000000;4.5720000;22100
20140827;000000;4.4500000;4.6010000;4.3500000;4.5600000;87500
20140828;000000;4.5600000;4.5990000;4.2010000;4.2610000;40400
20140829;000000;4.2640000;4.5190000;4.2640000;4.4540000;6300
20140901;000000;4.4150000;4.7880000;4.4140000;4.6520000;203100
20140903;000000;4.6020000;4.6020000;4.5690000;4.5980000;22100
20140904;000000;4.6990000;4.7780000;4.5980000;4.5980000;12000
20140905;000000;4.5720000;4.6160000;4.5450000;4.6160000;3400
20140908;000000;4.6160000;4.6160000;4.5520000;4.5980000;2100
20140909;000000;4.5620000;4.5620000;4.4010000;4.4790000;18400
20140910;000000;4.4190000;4.7980000;4.3000000;4.7000000;211700
20140911;000000;4.6770000;4.6770000;4.4610000;4.4610000;25000
20140912;000000;4.4260000;4.4260000;4.2600000;4.3990000;24700
20140915;000000;4.4500000;4.5080000;4.2520000;4.2580000;25200
20140916;000000;4.2240000;4.2300000;4.2010000;4.2170000;18400
20140917;000000;4.1600000;4.2100000;3.7560000;4.0700000;52000
20140918;000000;4.0800000;4.0970000;4.0500000;4.0500000;9400
20140919;000000;3.9230000;4.0440000;3.9230000;4.0440000;1000
20140922;000000;4.0040000;4.0040000;3.8980000;3.8980000;22100
20140923;000000;3.8020000;3.8550000;3.5020000;3.7630000;17000
20140924;000000;3.8970000;4.0860000;3.8010000;3.9470000;10600
20140925;000000;3.9390000;3.9990000;3.9390000;3.9990000;400
20140926;000000;4.0040000;4.0040000;3.9000000;3.9100000;25800
20140929;000000;3.9310000;3.9890000;3.8790000;3.9250000;1900
20140930;000000;3.8290000;3.9790000;3.8240000;3.8790000;2000
20141001;000000;3.8350000;3.8400000;3.8000000;3.8150000;11800
20141002;000000;3.8050000;3.8150000;3.6200000;3.6700000;6000
20141003;000000;3.7900000;3.9950000;3.7000000;3.8850000;20200
20141006;000000;3.8400000;3.9100000;3.8300000;3.9100000;3500
20141007;000000;3.9000000;4.1700000;3.8900000;4.0850000;31400
20141008;000000;3.9850000;3.9900000;3.9500000;3.9550000;2800
20141009;000000;4.0150000;4.0150000;4.0050000;4.0050000;1000
20141010;000000;4.0150000;4.1600000;3.7250000;4.0200000;37800
20141013;000000;3.9250000;4.0400000;3.9100000;3.9400000;4700
20141014;000000;3.9900000;3.9950000;3.9900000;3.9950000;200
20141015;000000;3.9200000;3.9300000;3.8050000;3.8850000;18100
20141016;000000;3.8600000;3.9900000;3.8600000;3.9900000;15900
20141017;000000;3.9500000;4.1200000;3.5100000;3.9900000;12600
20141020;000000;4.0150000;4.0150000;3.9950000;4.0000000;1600
20141021;000000;4.0000000;4.0250000;3.9400000;4.0250000;6400
20141022;000000;4.0400000;4.1000000;4.0400000;4.1000000;1500
20141023;000000;4.1050000;4.1200000;3.8500000;3.9500000;14500
20141024;000000;3.9050000;4.0000000;3.8300000;3.9550000;9600
20141027;000000;3.9550000;3.9900000;3.8600000;3.9900000;3100
20141028;000000;3.9350000;4.3800000;3.9000000;4.1100000;16400
20141029;000000;4.0000000;4.0650000;3.5500000;4.0000000;36500
20141030;000000;4.0100000;4.0100000;3.9250000;3.9900000;5500
20141031;000000;3.9900000;4.0000000;3.9900000;4.0000000;4400
20141103;000000;4.3000000;4.3000000;4.0000000;4.0000000;7700
20141105;000000;3.9700000;4.0150000;3.9600000;3.9800000;1700
20141106;000000;4.0050000;4.0050000;3.6500000;3.6600000;95900
20141107;000000;3.6950000;3.7400000;3.6950000;3.7000000;23400
20141110;000000;3.7000000;3.8250000;3.7000000;3.8250000;35600
20141111;000000;3.8250000;3.9000000;3.8250000;3.9000000;1800
20141112;000000;3.8100000;3.9550000;3.6400000;3.9050000;31600
20141113;000000;3.8950000;4.4000000;3.8950000;4.1600000;62200
20141114;000000;4.0900000;4.2250000;4.0300000;4.1000000;5100
20141117;000000;4.0750000;4.0750000;3.9000000;4.0400000;55600
20141118;000000;3.9850000;4.3750000;3.9700000;4.3600000;2228900
20141119;000000;4.3700000;4.3950000;4.2850000;4.2850000;32500
20141120;000000;4.2550000;4.4000000;4.0000000;4.3950000;1361100
20141121;000000;4.2850000;4.3150000;4.2500000;4.3150000;700
20141124;000000;4.3350000;4.3950000;4.3100000;4.3100000;1600
20141125;000000;4.2550000;4.3950000;4.2400000;4.3900000;5500
20141126;000000;4.3950000;4.4000000;4.3800000;4.3900000;15700
20141127;000000;4.2800000;4.2850000;4.0800000;4.2250000;5400
20141128;000000;4.2000000;4.2450000;4.2000000;4.2450000;1600
20141201;000000;4.2150000;4.2150000;4.0000000;4.0050000;13900
20141202;000000;4.0950000;4.1800000;4.0950000;4.1800000;1900
20141203;000000;4.1500000;4.1950000;4.0000000;4.1950000;5600
20141204;000000;4.1350000;4.1950000;4.1350000;4.1950000;1300
20141205;000000;4.1550000;4.1550000;4.0500000;4.1500000;6900
20141208;000000;4.0300000;4.0300000;3.9050000;3.9050000;5700
20141209;000000;4.0100000;4.4400000;3.8000000;4.0000000;108200
20141210;000000;4.0000000;4.1800000;3.9200000;4.0000000;6000
20141211;000000;4.0050000;4.0050000;2.5000000;3.8000000;46200
20141212;000000;3.7100000;3.8150000;3.5500000;3.8000000;11200
20141215;000000;3.4950000;3.7450000;3.4950000;3.7450000;5400
20141216;000000;3.6050000;3.8350000;3.0100000;3.5250000;25900
20141217;000000;3.6900000;3.6950000;3.6900000;3.6950000;300
20141218;000000;3.7400000;4.0700000;3.6600000;3.9000000;10300
20141219;000000;3.9100000;3.9100000;3.8200000;3.8200000;8900
20141222;000000;3.9700000;3.9750000;3.6000000;3.8500000;3000
20141223;000000;3.7300000;3.7350000;3.3400000;3.5350000;37800
20141224;000000;3.5100000;3.5850000;3.4050000;3.4050000;191100
20141225;000000;3.4000000;3.5400000;3.3000000;3.4500000;95800
20141226;000000;3.4950000;4.8200000;3.4950000;4.8200000;20398300
