<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.2000000;0.2000000;0.1965000;0.2000000;13000
20140108;000000;0.2020000;0.2020000;0.1957000;0.2000000;57000
20140109;000000;0.2000000;0.2000000;0.1970000;0.1970000;12000
20140110;000000;0.1998000;0.1998000;0.1997000;0.1998000;30000
20140113;000000;0.2172000;0.2172000;0.1956000;0.2040000;41000
20140114;000000;0.2000000;0.2000000;0.1995000;0.1995000;28000
20140115;000000;0.1992000;0.1999000;0.1992000;0.1999000;22000
20140116;000000;0.1995000;0.1995000;0.1994000;0.1994000;14000
20140117;000000;0.1999000;0.1999000;0.1999000;0.1999000;40000
20140120;000000;0.1994000;0.1996000;0.1970000;0.1993000;84000
20140121;000000;0.1989000;0.1989000;0.1988000;0.1989000;17000
20140122;000000;0.2000000;0.2000000;0.1710000;0.1826000;1823000
20140123;000000;0.1991000;0.1991000;0.1808000;0.1889000;16000
20140124;000000;0.1900000;0.1996000;0.1898000;0.1898000;435000
20140127;000000;0.1821000;0.1900000;0.1800000;0.1899000;14000
20140128;000000;0.1829000;0.1900000;0.1829000;0.1900000;19000
20140129;000000;0.1850000;0.1949000;0.1806000;0.1949000;406000
20140205;000000;0.1890000;0.2139000;0.1890000;0.1950000;3137000
20140206;000000;0.1948000;0.1949000;0.1910000;0.1948000;13000
20140207;000000;0.1949000;0.1949000;0.1949000;0.1949000;1000
20140211;000000;0.1902000;0.1902000;0.1900000;0.1900000;255000
20140212;000000;0.1882000;0.1899000;0.1881000;0.1898000;12000
20140213;000000;0.1756000;0.1937000;0.1756000;0.1937000;11000
20140214;000000;0.1851000;0.1988000;0.1850000;0.1947000;109000
20140217;000000;0.1950000;0.1950000;0.1937000;0.1938000;4000
20140220;000000;0.1802000;0.1950000;0.1802000;0.1950000;10000
20140224;000000;0.1946000;0.1946000;0.1944000;0.1944000;10000
20140225;000000;0.1999000;0.1999000;0.1999000;0.1999000;1000
20140227;000000;0.1912000;0.1912000;0.1875000;0.1875000;9000
20140228;000000;0.1900000;0.1907000;0.1850000;0.1900000;124000
20140303;000000;0.1808000;0.1809000;0.1700000;0.1809000;68000
20140304;000000;0.1801000;0.1899000;0.1800000;0.1899000;12000
20140312;000000;0.1870000;0.1870000;0.1870000;0.1870000;1000
20140314;000000;0.1804000;0.1846000;0.1701000;0.1716000;255000
20140317;000000;0.1980000;0.1980000;0.1898000;0.1898000;3000
20140319;000000;0.1890000;0.1890000;0.1890000;0.1890000;140000
20140324;000000;0.1800000;0.1803000;0.1792000;0.1792000;915000
20140326;000000;0.1800000;0.1800000;0.1768000;0.1768000;630000
20140331;000000;0.1761000;0.1761000;0.1701000;0.1701000;967000
20140401;000000;0.1703000;0.1703000;0.1702000;0.1702000;30000
20140403;000000;0.1797000;0.1798000;0.1796000;0.1796000;4000
20140407;000000;0.1721000;0.1721000;0.1721000;0.1721000;1000
20140410;000000;0.1899000;0.1899000;0.1899000;0.1899000;1000
20140428;000000;0.2037000;0.2037000;0.1800000;0.1800000;86000
20140429;000000;0.1780000;0.1780000;0.1780000;0.1780000;4000
20140430;000000;0.1897000;0.1897000;0.1897000;0.1897000;1000
20140507;000000;0.1898000;0.1898000;0.1800000;0.1800000;76000
20140508;000000;0.1900000;0.1900000;0.1800000;0.1849000;23000
20140513;000000;0.1812000;0.1812000;0.1811000;0.1811000;5000
20140514;000000;0.1851000;0.1851000;0.1810000;0.1810000;520000
20140515;000000;0.1899000;0.1899000;0.1899000;0.1899000;3000
20140516;000000;0.1820000;0.1820000;0.1820000;0.1820000;1000
20140519;000000;0.1838000;0.1838000;0.1838000;0.1838000;1000
20140520;000000;0.1702000;0.1800000;0.1702000;0.1718000;20000
20140526;000000;0.1726000;0.1850000;0.1726000;0.1771000;38000
20140527;000000;0.1751000;0.1850000;0.1750000;0.1797000;13000
20140529;000000;0.1799000;0.1799000;0.1772000;0.1772000;410000
20140602;000000;0.1781000;0.1781000;0.1781000;0.1781000;1000
20140611;000000;0.1800000;0.1800000;0.1720000;0.1800000;21000
20140616;000000;0.1799000;0.1799000;0.1799000;0.1799000;15000
20140618;000000;0.1799000;0.1799000;0.1799000;0.1799000;1000
20140625;000000;0.1812000;0.1812000;0.1812000;0.1812000;1000
20140630;000000;0.1891000;0.1891000;0.1891000;0.1891000;1000
20140701;000000;0.1761000;0.1761000;0.1760000;0.1760000;2000
20140702;000000;0.1885000;0.1885000;0.1885000;0.1885000;1000
20140703;000000;0.1999000;0.1999000;0.1801000;0.1893000;39000
20140704;000000;0.1761000;0.1899000;0.1761000;0.1801000;5000
20140707;000000;0.1900000;0.1900000;0.1800000;0.1893000;3000
20140708;000000;0.1800000;0.1897000;0.1800000;0.1800000;21000
20140709;000000;0.1800000;0.1800000;0.1800000;0.1800000;2000
20140710;000000;0.1800000;0.1898000;0.1750000;0.1750000;170000
20140711;000000;0.1800000;0.1800000;0.1800000;0.1800000;23000
20140715;000000;0.1717000;0.1799000;0.1701000;0.1799000;809000
20140716;000000;0.1753000;0.1753000;0.1753000;0.1753000;2000
20140717;000000;0.1711000;0.1868000;0.1701000;0.1868000;212000
20140721;000000;0.1721000;0.1798000;0.1721000;0.1798000;2000
20140722;000000;0.1715000;0.1795000;0.1702000;0.1795000;204000
20140725;000000;0.1704000;0.1704000;0.1703000;0.1703000;200000
20140731;000000;0.1836000;0.1836000;0.1836000;0.1836000;1000
20140801;000000;0.1840000;0.1840000;0.1839000;0.1839000;2000
20140804;000000;0.1842000;0.1842000;0.1842000;0.1842000;1000
20140805;000000;0.1837000;0.1837000;0.1837000;0.1837000;1000
20140811;000000;0.1842000;0.1842000;0.1842000;0.1842000;1000
20140812;000000;0.1706000;0.1799000;0.1700000;0.1799000;10000
20140813;000000;0.1797000;0.1797000;0.1795000;0.1797000;3000
20140815;000000;0.1797000;0.1798000;0.1797000;0.1798000;3000
20140818;000000;0.1800000;0.1800000;0.1751000;0.1751000;13000
20140820;000000;0.1840000;0.1840000;0.1840000;0.1840000;1000
20140822;000000;0.1800000;0.1839000;0.1800000;0.1839000;3000
20140825;000000;0.1840000;0.1840000;0.1840000;0.1840000;4000
20140901;000000;0.1703000;0.1788000;0.1700000;0.1755000;27000
20140902;000000;0.1752000;0.1752000;0.1752000;0.1752000;1000
20140905;000000;0.1693000;0.1820000;0.1693000;0.1820000;5000
20140912;000000;0.1694000;0.1830000;0.1694000;0.1830000;2000
20140915;000000;0.2090000;0.2090000;0.1848000;0.1850000;21000
20140916;000000;0.1757000;0.1790000;0.1756000;0.1790000;12000
20140917;000000;0.1780000;0.1780000;0.1750000;0.1750000;10000
20140918;000000;0.1777000;0.1780000;0.1751000;0.1780000;6000
20140919;000000;0.1944000;0.1944000;0.1751000;0.1790000;6000
20140922;000000;0.1777000;0.1777000;0.1770000;0.1770000;13000
20140923;000000;0.1750000;0.1773000;0.1750000;0.1773000;17000
20140924;000000;0.1760000;0.1850000;0.1760000;0.1850000;61000
20140925;000000;0.1763000;0.1764000;0.1761000;0.1763000;18000
20140926;000000;0.1766000;0.1768000;0.1766000;0.1768000;8000
20140929;000000;0.1721000;0.1778000;0.1721000;0.1778000;27000
20140930;000000;0.1778000;0.1778000;0.1778000;0.1778000;10000
20141008;000000;0.1825000;0.1825000;0.1750000;0.1775000;7000
20141010;000000;0.1720000;0.1720000;0.1720000;0.1720000;1000
20141013;000000;0.1770000;0.1770000;0.1770000;0.1770000;3000
20141015;000000;0.1795000;0.1795000;0.1795000;0.1795000;1000
20141016;000000;0.1795000;0.1795000;0.1795000;0.1795000;1000
20141017;000000;0.1835000;0.1835000;0.1755000;0.1755000;12000
20141020;000000;0.1750000;0.1770000;0.1750000;0.1770000;11000
20141021;000000;0.1800000;0.1800000;0.1800000;0.1800000;9000
20141022;000000;0.1795000;0.1795000;0.1795000;0.1795000;1000
20141023;000000;0.1750000;0.1790000;0.1750000;0.1790000;8000
20141024;000000;0.1755000;0.1755000;0.1755000;0.1755000;1000
20141027;000000;0.1755000;0.1760000;0.1755000;0.1760000;11000
20141028;000000;0.1765000;0.1950000;0.1765000;0.1765000;43000
20141029;000000;0.1760000;0.1770000;0.1760000;0.1770000;5000
20141030;000000;0.1760000;0.1760000;0.1760000;0.1760000;3000
20141031;000000;0.1755000;0.1760000;0.1755000;0.1760000;3000
20141103;000000;0.1755000;0.1760000;0.1755000;0.1760000;10000
20141105;000000;0.1760000;0.1760000;0.1760000;0.1760000;5000
20141107;000000;0.1720000;0.1775000;0.1720000;0.1775000;3000
20141112;000000;0.1760000;0.1760000;0.1760000;0.1760000;4000
20141117;000000;0.1770000;0.1795000;0.1770000;0.1795000;6000
20141118;000000;0.1775000;0.1795000;0.1775000;0.1785000;4000
20141121;000000;0.1775000;0.1775000;0.1775000;0.1775000;21000
20141126;000000;0.1795000;0.1795000;0.1795000;0.1795000;1000
20141128;000000;0.1710000;0.1770000;0.1710000;0.1770000;6000
20141201;000000;0.1790000;0.1790000;0.1790000;0.1790000;1000
20141202;000000;0.1785000;0.1785000;0.1785000;0.1785000;3000
20141203;000000;0.1755000;0.1755000;0.1755000;0.1755000;1000
20141204;000000;0.1780000;0.1795000;0.1780000;0.1795000;3000
20141205;000000;0.1775000;0.1795000;0.1775000;0.1795000;4000
20141208;000000;0.1725000;0.1775000;0.1725000;0.1775000;9000
20141209;000000;0.1770000;0.1770000;0.1770000;0.1770000;1000
20141215;000000;0.1795000;0.1800000;0.1750000;0.1770000;38000
20141216;000000;0.1795000;0.1930000;0.1690000;0.1765000;28000
20141217;000000;0.1795000;0.1795000;0.1700000;0.1785000;83000
20141224;000000;0.1710000;0.1720000;0.1710000;0.1710000;30000
20141225;000000;0.1795000;0.1800000;0.1795000;0.1800000;22000
20141226;000000;0.1795000;0.1795000;0.1700000;0.1765000;11000
20141229;000000;0.1795000;0.1795000;0.1795000;0.1795000;3000
20141230;000000;0.1895000;0.1895000;0.1690000;0.1850000;46000
