<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140109;000000;720.1000000;720.1000000;720.1000000;720.1000000;1
20140110;000000;757.9000000;758.0000000;605.2000000;720.5000000;60
20140113;000000;720.0000000;723.7000000;719.9000000;720.0000000;403
20140114;000000;720.0000000;720.0000000;720.0000000;720.0000000;332
20140115;000000;720.0000000;725.0000000;720.0000000;720.0000000;202
20140116;000000;720.0000000;720.0000000;720.0000000;720.0000000;56
20140117;000000;740.0000000;740.0000000;720.1000000;720.1000000;4
20140120;000000;720.0000000;720.0000000;720.0000000;720.0000000;556
20140121;000000;720.0000000;721.0000000;719.8000000;721.0000000;397
20140122;000000;720.0000000;720.0000000;720.0000000;720.0000000;584
20140123;000000;769.6000000;769.6000000;669.7000000;670.0000000;1703
20140124;000000;670.1000000;670.1000000;670.0000000;670.0000000;62
20140127;000000;708.7000000;708.7000000;708.7000000;708.7000000;3
20140128;000000;670.1000000;670.1000000;600.0000000;650.0000000;102
20140129;000000;605.1000000;650.0000000;500.0000000;597.0000000;11170
20140130;000000;644.4000000;644.4000000;605.0000000;620.0000000;4037
20140131;000000;620.0000000;649.0000000;620.0000000;630.0000000;4333
20140203;000000;615.1000000;616.0000000;605.0000000;605.0000000;115
20140204;000000;600.1000000;600.1000000;570.0000000;595.0000000;4483
20140205;000000;598.0000000;599.8000000;571.8000000;571.8000000;27
20140207;000000;599.9000000;600.0000000;599.9000000;600.0000000;253
20140210;000000;600.0000000;600.0000000;556.7000000;600.0000000;33
20140211;000000;570.4000000;599.0000000;565.3000000;599.0000000;40
20140212;000000;607.0000000;618.7000000;560.3000000;607.0000000;197
20140217;000000;582.0000000;582.0000000;582.0000000;582.0000000;1
20140220;000000;582.0000000;599.7000000;551.4000000;570.0000000;72
20140221;000000;560.5000000;575.5000000;560.0000000;575.5000000;50
20140224;000000;585.0000000;649.0000000;585.0000000;595.2000000;901
20140225;000000;595.2000000;602.0000000;585.0000000;585.0000000;18588
20140226;000000;585.2000000;598.0000000;574.9000000;598.0000000;5091
20140227;000000;576.6000000;588.7000000;536.0000000;588.7000000;42
20140228;000000;540.2000000;540.2000000;540.1000000;540.1000000;26
20140303;000000;540.1000000;540.1000000;420.0000000;451.0000000;399
20140304;000000;449.9000000;469.9000000;445.0000000;469.9000000;946
20140305;000000;469.9000000;490.0000000;469.9000000;490.0000000;201
20140306;000000;499.9000000;509.0000000;475.0000000;475.0000000;193
20140307;000000;530.4000000;530.5000000;530.3000000;530.4000000;6
20140311;000000;475.2000000;520.4000000;475.1000000;520.4000000;4
20140312;000000;514.9000000;515.1000000;514.9000000;515.1000000;278
20140313;000000;528.0000000;530.1000000;528.0000000;530.0000000;464
20140314;000000;539.3000000;539.3000000;455.6000000;475.0000000;7
20140317;000000;475.2000000;477.5000000;468.0000000;468.0000000;1030
20140318;000000;468.1000000;468.1000000;460.3000000;468.0000000;269
20140319;000000;471.3000000;472.0000000;465.0000000;465.0000000;37
20140320;000000;465.0000000;465.0000000;450.0000000;455.0000000;30267
20140321;000000;455.0000000;499.9000000;455.0000000;465.1000000;378
20140324;000000;460.4000000;494.4000000;460.2000000;494.4000000;185
20140325;000000;480.0000000;494.0000000;480.0000000;494.0000000;2
20140326;000000;489.9000000;490.0000000;489.9000000;490.0000000;8
20140327;000000;490.1000000;504.7000000;490.0000000;504.6000000;475
20140328;000000;504.5000000;504.5000000;501.1000000;501.1000000;68
20140331;000000;529.7000000;529.8000000;520.2000000;521.3000000;55
20140401;000000;520.0000000;520.1000000;500.1000000;519.9000000;17
20140402;000000;525.0000000;526.7000000;525.0000000;525.0000000;63
20140403;000000;539.2000000;550.0000000;539.2000000;550.0000000;1303
20140404;000000;508.6000000;564.9000000;508.6000000;537.0000000;129
20140407;000000;538.0000000;545.9000000;538.0000000;545.9000000;608
20140408;000000;558.8000000;560.0000000;558.8000000;560.0000000;121
20140409;000000;579.0000000;581.0000000;579.0000000;581.0000000;122
20140410;000000;551.6000000;579.6000000;551.6000000;579.6000000;3
20140411;000000;551.2000000;578.9000000;537.0000000;578.9000000;27
20140414;000000;537.2000000;565.0000000;537.0000000;550.1000000;26
20140416;000000;567.9000000;586.9000000;567.9000000;586.9000000;99
20140417;000000;550.0000000;580.0000000;550.0000000;580.0000000;210
20140421;000000;580.5000000;580.5000000;580.5000000;580.5000000;4
20140422;000000;550.0000000;550.0000000;550.0000000;550.0000000;2
20140423;000000;524.2000000;524.2000000;524.2000000;524.2000000;9
20140424;000000;524.5000000;529.1000000;524.5000000;529.1000000;13
20140425;000000;529.1000000;529.1000000;529.1000000;529.1000000;9
20140428;000000;508.6000000;560.8000000;460.4000000;560.8000000;178
20140429;000000;577.4000000;577.4000000;512.8000000;576.9000000;27
20140502;000000;521.3000000;521.3000000;521.2000000;521.2000000;4
20140506;000000;521.0000000;569.0000000;521.0000000;569.0000000;18
20140507;000000;534.9000000;600.1000000;456.1000000;590.7000000;751
20140508;000000;505.6000000;589.6000000;505.6000000;514.4000000;7
20140512;000000;577.9000000;578.0000000;514.8000000;560.2000000;94
20140513;000000;550.0000000;557.0000000;550.0000000;557.0000000;629
20140514;000000;575.6000000;579.0000000;555.2000000;564.3000000;451
20140515;000000;545.2000000;556.4000000;545.2000000;556.4000000;31
20140516;000000;598.0000000;650.0000000;598.0000000;650.0000000;180
20140522;000000;630.0000000;630.0000000;600.0000000;630.0000000;637
20140523;000000;557.5000000;557.8000000;557.5000000;557.8000000;3
20140526;000000;557.5000000;557.5000000;557.4000000;557.5000000;95
20140527;000000;530.3000000;614.5000000;526.3000000;614.5000000;14
20140528;000000;546.3000000;560.1000000;546.3000000;560.0000000;3
20140529;000000;606.8000000;606.8000000;606.8000000;606.8000000;1
20140530;000000;562.3000000;595.0000000;560.2000000;595.0000000;32
20140604;000000;550.0000000;569.9000000;522.6000000;549.9000000;870
20140605;000000;547.7000000;578.0000000;547.7000000;559.0000000;159
20140606;000000;596.0000000;596.0000000;550.0000000;590.9000000;26
20140609;000000;540.0000000;550.0000000;531.1000000;545.0000000;3897
20140610;000000;550.0000000;550.0000000;545.1000000;550.0000000;1021
20140616;000000;545.0000000;545.0000000;540.0000000;540.0000000;151
20140617;000000;571.9000000;650.0000000;537.9000000;550.0000000;641
20140618;000000;549.7000000;550.0000000;535.7000000;535.7000000;321
20140619;000000;535.6000000;535.7000000;517.0000000;517.0000000;92
20140620;000000;520.0000000;527.0000000;506.5000000;527.0000000;689
