<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0009900;0.0010100;0.0009700;0.0009800;80000000
20140108;000000;0.0009900;0.0010000;0.0009800;0.0009900;68000000
20140109;000000;0.0009800;0.0010200;0.0009700;0.0010200;123000000
20140110;000000;0.0010100;0.0010100;0.0010000;0.0010100;83000000
20140113;000000;0.0009800;0.0010300;0.0009800;0.0010100;152000000
20140114;000000;0.0009800;0.0009900;0.0009800;0.0009800;183000000
20140115;000000;0.0009800;0.0009800;0.0008900;0.0009700;107000000
20140116;000000;0.0009600;0.0009700;0.0009600;0.0009700;32000000
20140117;000000;0.0009700;0.0009900;0.0009600;0.0009700;130000000
20140120;000000;0.0009800;0.0009900;0.0009200;0.0009800;153000000
20140121;000000;0.0009600;0.0009800;0.0009600;0.0009800;24000000
20140122;000000;0.0009600;0.0009800;0.0009400;0.0009400;101000000
20140123;000000;0.0009600;0.0009800;0.0009500;0.0009800;86000000
20140124;000000;0.0009400;0.0009800;0.0009100;0.0009300;558000000
20140127;000000;0.0009300;0.0009500;0.0009200;0.0009300;75000000
20140128;000000;0.0009200;0.0009500;0.0009200;0.0009300;118000000
20140129;000000;0.0009300;0.0009500;0.0009200;0.0009300;48000000
20140130;000000;0.0009400;0.0009400;0.0009200;0.0009200;36000000
20140131;000000;0.0009200;0.0009400;0.0009100;0.0009300;74000000
20140203;000000;0.0009100;0.0009300;0.0009000;0.0009200;121000000
20140204;000000;0.0009000;0.0009300;0.0008700;0.0009100;147000000
20140205;000000;0.0009200;0.0009500;0.0009200;0.0009300;42000000
20140206;000000;0.0009300;0.0009500;0.0009300;0.0009500;38000000
20140207;000000;0.0009500;0.0009600;0.0009400;0.0009600;343000000
20140210;000000;0.0009300;0.0009600;0.0009200;0.0009600;219000000
20140211;000000;0.0009400;0.0009600;0.0009400;0.0009600;21000000
20140212;000000;0.0009500;0.0009600;0.0009500;0.0009500;5000000
20140213;000000;0.0009400;0.0009800;0.0009400;0.0009400;55000000
20140214;000000;0.0009300;0.0009800;0.0009300;0.0009400;14000000
20140217;000000;0.0009400;0.0009500;0.0009300;0.0009300;79000000
20140218;000000;0.0009300;0.0009400;0.0009300;0.0009300;61000000
20140219;000000;0.0009200;0.0009300;0.0009100;0.0009300;59000000
20140220;000000;0.0009300;0.0009300;0.0009100;0.0009200;196000000
20140221;000000;0.0009200;0.0009800;0.0009200;0.0009800;98000000
