<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0011000;0.0013000;0.0011000;0.0012200;4000000
20140109;000000;0.0012600;0.0012600;0.0012600;0.0012600;1000000
20140110;000000;0.0012000;0.0012000;0.0011300;0.0012000;3000000
20140114;000000;0.0012900;0.0012900;0.0012900;0.0012900;1000000
20140115;000000;0.0011800;0.0012000;0.0011600;0.0012000;13000000
20140116;000000;0.0011600;0.0011600;0.0011600;0.0011600;2000000
20140117;000000;0.0012200;0.0012500;0.0012200;0.0012500;23000000
20140120;000000;0.0012500;0.0012700;0.0012000;0.0012700;5000000
20140121;000000;0.0013000;0.0013000;0.0013000;0.0013000;2000000
20140122;000000;0.0013000;0.0013000;0.0011900;0.0012000;20000000
20140124;000000;0.0011200;0.0012200;0.0011200;0.0012100;7000000
20140127;000000;0.0011200;0.0011400;0.0011200;0.0011300;11000000
20140128;000000;0.0011900;0.0011900;0.0011400;0.0011400;2000000
20140129;000000;0.0011300;0.0012100;0.0011300;0.0011300;16000000
20140130;000000;0.0011200;0.0012200;0.0011200;0.0011200;4000000
20140131;000000;0.0011600;0.0011600;0.0010000;0.0010800;169000000
20140203;000000;0.0010800;0.0011200;0.0010200;0.0010300;18000000
20140204;000000;0.0010000;0.0011100;0.0010000;0.0010300;8000000
20140205;000000;0.0011100;0.0011200;0.0010400;0.0011200;4000000
20140206;000000;0.0010400;0.0011100;0.0010400;0.0011100;7000000
20140207;000000;0.0010400;0.0011300;0.0010300;0.0011300;53000000
20140210;000000;0.0011900;0.0013000;0.0011400;0.0011400;38000000
20140211;000000;0.0012800;0.0012900;0.0011600;0.0012200;25000000
20140212;000000;0.0012900;0.0012900;0.0012300;0.0012300;22000000
20140213;000000;0.0012600;0.0012600;0.0012600;0.0012600;6000000
20140214;000000;0.0012900;0.0012900;0.0011800;0.0012000;6000000
20140217;000000;0.0012500;0.0012700;0.0012500;0.0012700;3000000
20140218;000000;0.0011800;0.0012900;0.0011800;0.0012800;10000000
20140219;000000;0.0012200;0.0012200;0.0011800;0.0011800;12000000
20140220;000000;0.0012000;0.0014100;0.0012000;0.0012300;289000000
20140221;000000;0.0012000;0.0012000;0.0012000;0.0012000;3000000
20140225;000000;0.0012500;0.0012500;0.0012500;0.0012500;1000000
20140228;000000;0.0010500;0.0011100;0.0010500;0.0010800;295000000
20140303;000000;0.0010000;0.0010700;0.0008800;0.0009500;41000000
20140304;000000;0.0010000;0.0010400;0.0009700;0.0010400;37000000
20140305;000000;0.0012000;0.0012000;0.0010600;0.0010600;19000000
20140306;000000;0.0010600;0.0010600;0.0010500;0.0010500;5000000
20140307;000000;0.0012200;0.0012200;0.0010100;0.0010100;7000000
20140312;000000;0.0010000;0.0010000;0.0009200;0.0010000;175000000
20140313;000000;0.0010000;0.0010000;0.0008500;0.0008500;13000000
20140314;000000;0.0009000;0.0009000;0.0008700;0.0008700;11000000
20140318;000000;0.0009200;0.0009200;0.0009200;0.0009200;2000000
20140319;000000;0.0008200;0.0010800;0.0008200;0.0009200;154000000
20140320;000000;0.0010000;0.0010800;0.0009700;0.0009700;18000000
20140321;000000;0.0009100;0.0010100;0.0009100;0.0010100;4000000
20140324;000000;0.0009900;0.0009900;0.0009900;0.0009900;2000000
20140325;000000;0.0010000;0.0011800;0.0010000;0.0010900;34000000
20140326;000000;0.0011800;0.0011800;0.0010500;0.0010600;8000000
20140327;000000;0.0010600;0.0010600;0.0010500;0.0010500;18000000
20140331;000000;0.0010100;0.0010300;0.0010100;0.0010100;31000000
20140401;000000;0.0010300;0.0011000;0.0010200;0.0011000;21000000
20140402;000000;0.0010500;0.0011000;0.0010300;0.0010300;10000000
20140403;000000;0.0010700;0.0011000;0.0010400;0.0010400;14000000
20140404;000000;0.0010800;0.0010900;0.0010800;0.0010800;6000000
20140407;000000;0.0010300;0.0010800;0.0010000;0.0010700;59000000
20140408;000000;0.0009800;0.0010500;0.0009800;0.0010500;12000000
20140409;000000;0.0010200;0.0010400;0.0010200;0.0010300;13000000
20140410;000000;0.0010000;0.0010000;0.0010000;0.0010000;5000000
20140411;000000;0.0010000;0.0010600;0.0010000;0.0010600;4000000
20140414;000000;0.0010600;0.0010700;0.0009200;0.0009200;6000000
20140415;000000;0.0009300;0.0009300;0.0009300;0.0009300;3000000
20140416;000000;0.0010400;0.0010400;0.0010000;0.0010000;2000000
20140417;000000;0.0010000;0.0010500;0.0010000;0.0010500;5000000
20140418;000000;0.0010500;0.0010500;0.0010500;0.0010500;1000000
20140421;000000;0.0010800;0.0010900;0.0010800;0.0010900;10000000
20140422;000000;0.0010000;0.0010500;0.0010000;0.0010500;27000000
20140425;000000;0.0009000;0.0009400;0.0009000;0.0009400;3000000
