<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.0023500;0.0023900;0.0022400;0.0022900;43700000
20140108;000000;0.0022800;0.0022900;0.0022400;0.0022400;33400000
20140109;000000;0.0022800;0.0023100;0.0022300;0.0022400;39300000
20140110;000000;0.0022100;0.0022500;0.0021900;0.0022400;23700000
20140113;000000;0.0022000;0.0022700;0.0021100;0.0021400;628300000
20140114;000000;0.0021900;0.0021900;0.0021000;0.0021300;336200000
20140115;000000;0.0021300;0.0022200;0.0021300;0.0021500;119500000
20140116;000000;0.0021500;0.0022300;0.0021100;0.0022300;127200000
20140117;000000;0.0021600;0.0022400;0.0021300;0.0021900;116300000
20140120;000000;0.0021400;0.0023000;0.0021200;0.0022600;277900000
20140121;000000;0.0021900;0.0023400;0.0021600;0.0022700;300500000
20140122;000000;0.0022400;0.0023500;0.0022400;0.0023500;79500000
20140123;000000;0.0023600;0.0024300;0.0023200;0.0023800;244500000
20140124;000000;0.0023500;0.0023900;0.0022800;0.0023300;153600000
20140127;000000;0.0023200;0.0023200;0.0022700;0.0022800;15900000
20140128;000000;0.0023000;0.0023000;0.0022300;0.0022500;273800000
20140129;000000;0.0022700;0.0023200;0.0022200;0.0022700;139600000
20140130;000000;0.0023000;0.0023000;0.0022100;0.0022500;34300000
20140131;000000;0.0022900;0.0022900;0.0022000;0.0022000;373000000
20140203;000000;0.0021900;0.0023000;0.0021900;0.0022100;5200000
20140204;000000;0.0021500;0.0022000;0.0021500;0.0021600;1034300000
20140205;000000;0.0021900;0.0022300;0.0021600;0.0022200;221800000
20140206;000000;0.0022300;0.0022300;0.0022000;0.0022000;20900000
20140207;000000;0.0022300;0.0023000;0.0021600;0.0023000;206500000
20140210;000000;0.0023000;0.0023400;0.0022200;0.0022300;1734300000
20140211;000000;0.0022300;0.0022300;0.0022200;0.0022200;500000
20140212;000000;0.0023200;0.0023200;0.0021600;0.0021600;338200000
20140213;000000;0.0021900;0.0022000;0.0021400;0.0021500;123200000
20140214;000000;0.0020000;0.0021600;0.0019200;0.0020900;1821100000
20140217;000000;0.0021600;0.0021600;0.0020500;0.0020500;703400000
20140218;000000;0.0020700;0.0021500;0.0019800;0.0020300;785100000
20140219;000000;0.0020400;0.0028000;0.0020400;0.0026800;11122300000
20140220;000000;0.0026400;0.0028000;0.0020000;0.0024500;5660300000
20140221;000000;0.0024800;0.0024800;0.0022000;0.0023300;976000000
20140224;000000;0.0023800;0.0023800;0.0022000;0.0022400;936900000
20140225;000000;0.0022000;0.0025000;0.0021700;0.0022300;1099900000
20140226;000000;0.0022400;0.0022900;0.0021700;0.0022100;250200000
20140227;000000;0.0022200;0.0022700;0.0020500;0.0021200;840700000
20140228;000000;0.0021000;0.0024000;0.0020400;0.0021400;718200000
20140303;000000;0.0020100;0.0020200;0.0017400;0.0018200;779900000
20140304;000000;0.0018700;0.0020200;0.0018000;0.0020000;380100000
20140305;000000;0.0020800;0.0020800;0.0019400;0.0020100;152900000
20140306;000000;0.0020400;0.0020700;0.0018600;0.0019700;253600000
20140307;000000;0.0019000;0.0019900;0.0019000;0.0019500;221600000
20140311;000000;0.0019700;0.0019700;0.0019100;0.0019400;25200000
20140312;000000;0.0021500;0.0027100;0.0021200;0.0025900;11951200000
20140313;000000;0.0026700;0.0031900;0.0025600;0.0027800;11399900000
