<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;41.3500000;43.4900000;34.0100000;40.9800000;2340
20140108;000000;42.2400000;42.2400000;37.1500000;40.6900000;2860
20140109;000000;41.4200000;41.4200000;39.0000000;39.3500000;1580
20140110;000000;39.4900000;42.5500000;39.4900000;41.9300000;5060
20140113;000000;41.9900000;43.0000000;40.0000000;41.0000000;7020
20140114;000000;42.8400000;43.6800000;39.2000000;40.9000000;4400
20140115;000000;40.9700000;42.8000000;40.2000000;42.8000000;1950
20140116;000000;42.0000000;42.0000000;40.6100000;41.6900000;2430
20140117;000000;42.0000000;42.0000000;40.0300000;41.1300000;2340
20140120;000000;41.3900000;41.9900000;40.2500000;40.7100000;2190
20140121;000000;41.2400000;42.8500000;40.0000000;41.4000000;5540
20140122;000000;41.3900000;42.6000000;41.0000000;41.8300000;3880
20140123;000000;42.7300000;42.7300000;40.1000000;41.4600000;560
20140124;000000;41.9700000;42.7900000;40.6000000;40.9900000;6370
20140127;000000;41.9700000;42.9500000;41.1000000;41.8300000;1420
20140128;000000;41.9400000;42.7000000;37.3000000;39.3000000;7080
20140129;000000;39.9800000;42.4000000;38.8000000;41.5900000;6130
20140130;000000;42.0000000;42.0000000;40.6000000;40.8100000;2660
20140131;000000;41.9500000;41.9500000;40.9900000;41.1300000;5070
20140203;000000;41.9600000;41.9600000;39.0300000;40.3500000;2440
20140204;000000;40.1900000;41.8000000;37.5600000;41.0700000;5900
20140205;000000;40.6000000;42.8500000;40.6000000;42.8500000;4890
20140206;000000;41.2000000;42.8300000;41.2000000;42.6700000;7260
20140207;000000;42.9700000;45.9900000;41.9100000;42.6000000;2220
20140210;000000;43.4900000;45.8500000;42.1100000;42.3100000;8100
20140211;000000;43.8900000;44.8000000;43.2100000;43.9900000;2960
20140212;000000;44.6000000;45.3900000;44.6000000;45.3900000;110
20140213;000000;44.7900000;46.4500000;44.4000000;46.4500000;880
20140214;000000;45.4300000;55.9900000;45.4300000;48.9700000;3990
20140217;000000;49.9600000;53.9000000;47.1100000;51.2700000;9890
20140218;000000;50.0100000;51.7700000;47.5000000;50.0000000;1330
20140219;000000;48.0100000;49.8700000;48.0100000;49.3200000;150
20140220;000000;48.2900000;54.9000000;48.2900000;52.0000000;3260
20140221;000000;54.9700000;55.8400000;51.4000000;51.4000000;360
20140224;000000;52.2800000;54.8400000;49.7000000;54.8100000;3020
20140225;000000;54.7500000;63.4500000;53.4000000;56.5000000;10930
20140226;000000;60.1700000;60.1700000;52.0800000;58.0000000;8900
20140227;000000;57.9900000;57.9900000;52.0400000;55.0100000;3600
20140228;000000;55.0000000;55.2100000;52.0500000;55.2100000;3120
20140303;000000;52.5100000;52.5100000;43.0100000;43.0100000;1300
20140304;000000;44.3000000;52.0000000;44.3000000;46.4600000;6110
20140305;000000;47.4900000;47.4900000;44.5200000;47.3000000;2610
20140306;000000;47.4000000;47.4900000;44.0000000;44.0000000;4230
20140307;000000;42.8100000;45.8900000;42.6300000;45.8000000;2400
20140311;000000;45.9700000;46.5000000;43.0000000;45.9000000;2350
20140312;000000;45.7800000;45.7800000;45.7500000;45.7500000;2000
20140313;000000;46.5000000;46.7900000;39.2700000;44.8800000;3550
20140314;000000;45.8000000;45.8000000;34.0000000;34.0000000;7420
20140317;000000;36.1100000;37.4500000;35.3100000;36.1700000;3570
20140318;000000;35.3500000;39.2400000;35.0000000;39.2400000;2240
20140319;000000;38.0000000;41.9800000;36.1200000;40.9300000;2950
20140320;000000;40.0000000;40.0000000;39.2000000;39.2000000;2210
20140321;000000;40.9900000;43.7900000;38.8200000;43.7900000;2790
20140324;000000;43.7000000;44.2500000;43.1000000;44.2100000;5380
20140325;000000;43.0000000;45.5000000;41.0100000;43.7900000;3840
20140326;000000;44.0000000;44.8000000;42.7000000;44.8000000;3830
20140327;000000;45.8400000;47.9700000;44.0000000;44.9500000;5420
20140328;000000;45.0000000;45.8600000;44.5000000;44.5000000;3050
20140331;000000;45.5000000;45.5000000;44.5100000;44.5100000;2100
20140401;000000;45.0000000;45.4800000;43.5100000;43.5100000;5130
20140402;000000;44.4900000;44.9000000;43.5200000;43.5200000;2070
20140403;000000;44.5000000;44.5000000;44.5000000;44.5000000;2000
20140404;000000;43.9000000;44.0100000;43.9000000;43.9900000;2030
20140407;000000;44.8000000;47.6900000;43.5000000;44.9800000;5990
20140408;000000;44.8400000;49.4300000;44.8400000;46.0000000;2500
20140409;000000;49.0000000;49.0000000;43.9900000;44.3000000;3040
20140410;000000;44.4900000;47.0000000;44.4900000;45.0000000;2020
20140411;000000;45.0000000;45.0000000;43.5200000;43.5200000;8230
20140414;000000;44.0000000;45.9800000;43.6100000;43.6100000;2030
20140415;000000;44.0000000;44.0000000;43.5000000;43.5000000;2150
20140416;000000;44.0000000;44.0000000;43.5000000;43.5000000;2040
20140417;000000;44.0000000;44.0000000;43.5100000;43.5100000;2060
20140418;000000;44.0000000;46.2800000;43.9800000;44.0200000;2040
20140421;000000;44.0000000;44.0000000;44.0000000;44.0000000;2000
20140422;000000;44.0000000;44.0000000;44.0000000;44.0000000;2000
20140423;000000;44.0000000;44.0100000;43.5000000;44.0100000;2840
20140424;000000;43.5500000;44.0100000;43.5500000;44.0000000;170
20140428;000000;43.0200000;43.8000000;41.9900000;41.9900000;3750
20140429;000000;44.0100000;44.1200000;44.0000000;44.0000000;2010
20140430;000000;43.8000000;43.8000000;43.8000000;43.8000000;2000
20140502;000000;46.0000000;46.0000000;41.0400000;41.0400000;3460
20140505;000000;43.7000000;44.2000000;33.0500000;40.8900000;2640
20140506;000000;42.0000000;42.0500000;39.6000000;42.0500000;3060
20140507;000000;40.0000000;44.8400000;40.0000000;44.8400000;3450
20140508;000000;44.9000000;44.9000000;41.0200000;41.0200000;2020
20140512;000000;44.5000000;44.5000000;38.0000000;38.0000000;2800
20140513;000000;41.5000000;47.0000000;40.0100000;45.9500000;6810
20140514;000000;45.9700000;48.4900000;42.4000000;47.7500000;9200
20140515;000000;47.5000000;47.5000000;47.4500000;47.4500000;2000
20140516;000000;48.4700000;48.4700000;41.0000000;44.2200000;4610
20140519;000000;44.0000000;46.6400000;41.4000000;41.4000000;18240
20140520;000000;42.6000000;44.8900000;41.4100000;44.8900000;2670
20140521;000000;43.0000000;46.8800000;42.1000000;46.8800000;6750
20140522;000000;46.8700000;46.8700000;46.0000000;46.0000000;2110
20140523;000000;45.0000000;45.9700000;45.0000000;45.9700000;2010
20140526;000000;46.9200000;46.9200000;46.0000000;46.0000000;2010
20140527;000000;45.6000000;45.6000000;44.5200000;45.6000000;2510
20140528;000000;45.6000000;47.4000000;43.7000000;46.0000000;3690
20140529;000000;47.6000000;47.6000000;42.1000000;44.0000000;3110
20140530;000000;42.9900000;44.1000000;42.0000000;44.1000000;590
20140602;000000;41.7600000;43.4400000;41.7500000;42.8600000;270
20140603;000000;42.0100000;42.0100000;42.0100000;42.0100000;20
20140604;000000;44.1000000;44.1000000;44.1000000;44.1000000;10
20140605;000000;42.1000000;42.2200000;42.1000000;42.1900000;240
20140606;000000;42.9700000;46.4200000;42.8000000;43.8000000;8850
20140609;000000;45.9500000;49.7000000;45.0000000;45.0000000;4020
20140610;000000;45.0000000;45.0000000;45.0000000;45.0000000;3000
20140611;000000;47.9000000;47.9000000;44.5100000;45.5800000;3140
20140616;000000;47.7900000;47.7900000;42.0800000;47.0000000;12110
20140617;000000;45.0000000;48.0000000;45.0000000;46.0000000;130
20140618;000000;44.9300000;46.9800000;44.0200000;44.0200000;4010
20140619;000000;47.4900000;47.5000000;44.0300000;46.9900000;7710
20140620;000000;45.0000000;46.0000000;45.0000000;45.3700000;3350
20140623;000000;45.0000000;45.0000000;45.0000000;45.0000000;3280
20140624;000000;44.0000000;46.9900000;44.0000000;45.0000000;3890
20140625;000000;45.0000000;46.5000000;42.2000000;45.4500000;7900
20140626;000000;44.4900000;44.4900000;43.9000000;43.9000000;1050
20140627;000000;45.0000000;45.0000000;42.9300000;43.3400000;4070
20140630;000000;45.4300000;45.4300000;42.8800000;44.4600000;4140
20140701;000000;44.0000000;45.0000000;42.1000000;44.1700000;7000
20140703;000000;44.0000000;46.9700000;43.1000000;43.3600000;6250
20140704;000000;45.0000000;46.7000000;45.0000000;45.8400000;3550
20140707;000000;44.0100000;45.5000000;44.0000000;45.4000000;3180
20140708;000000;46.0000000;46.4900000;44.7700000;44.7700000;4450
20140709;000000;45.2100000;46.0000000;44.0300000;45.0000000;3550
20140710;000000;45.4000000;45.4000000;45.4000000;45.4000000;3540
20140711;000000;47.7500000;47.7500000;44.9900000;44.9900000;3680
20140714;000000;45.4500000;45.5000000;43.9700000;43.9700000;1100
20140716;000000;45.8300000;46.6000000;45.0000000;46.6000000;5020
20140717;000000;45.0000000;45.5000000;45.0000000;45.3900000;3570
20140718;000000;45.5000000;45.5000000;45.0000000;45.0000000;4460
20140723;000000;46.5500000;46.9900000;46.5500000;46.9900000;20
20140724;000000;45.9900000;46.0000000;45.9900000;46.0000000;100
20140725;000000;46.9500000;47.3000000;41.0000000;44.0000000;6890
20140728;000000;42.5100000;42.9900000;42.5000000;42.5000000;1020
20140729;000000;42.4000000;43.4000000;42.4000000;42.5000000;7130
20140730;000000;42.9000000;43.0000000;36.1300000;42.0000000;9500
20140731;000000;41.9000000;41.9000000;41.9000000;41.9000000;4000
20140801;000000;41.9000000;42.0000000;40.0100000;40.0100000;5070
20140804;000000;41.9000000;41.9800000;41.9000000;41.9800000;4620
20140805;000000;41.0000000;42.0000000;41.0000000;42.0000000;4000
20140806;000000;43.0000000;43.8700000;41.8000000;43.2000000;4600
20140807;000000;41.0000000;41.0000000;41.0000000;41.0000000;4000
20140808;000000;43.4000000;44.0000000;43.4000000;43.9900000;5260
20140811;000000;43.9900000;47.9400000;42.0000000;43.5000000;9400
20140812;000000;47.4900000;47.4900000;42.0000000;42.0000000;4190
20140813;000000;45.8600000;45.9000000;43.9900000;45.0000000;4160
20140814;000000;45.5000000;46.4000000;43.1900000;45.9900000;5300
20140815;000000;46.0000000;46.0000000;45.9900000;46.0000000;4020
20140818;000000;44.8000000;44.9400000;43.0000000;44.9400000;4610
20140819;000000;44.0000000;45.9000000;41.5000000;44.4800000;9110
20140820;000000;44.7900000;44.8000000;43.0000000;44.0000000;4020
20140822;000000;43.9600000;43.9800000;42.3500000;43.9800000;40
20140825;000000;42.7100000;43.1800000;42.0000000;43.1800000;4130
20140826;000000;43.5000000;43.9000000;42.0000000;42.0300000;5320
20140827;000000;42.4000000;42.5000000;40.6600000;40.6600000;4420
20140828;000000;40.1200000;41.5000000;38.2100000;38.3700000;8820
20140829;000000;39.9200000;41.1600000;39.9100000;41.0000000;5170
20140901;000000;41.7000000;41.7000000;39.1800000;40.9000000;4120
20140902;000000;41.0000000;41.0000000;36.9000000;39.0000000;5600
20140903;000000;39.8400000;40.5000000;35.0700000;37.5400000;6180
20140904;000000;38.7000000;38.7000000;36.4000000;38.5400000;4080
20140905;000000;37.9900000;38.5500000;37.4900000;38.5500000;4690
20140908;000000;38.0000000;38.7000000;37.5100000;37.5200000;4620
20140909;000000;38.6000000;38.6000000;37.9000000;37.9000000;5120
20140910;000000;38.3000000;38.6800000;38.3000000;38.6800000;4040
20140911;000000;38.8000000;40.6800000;38.8000000;40.6800000;4570
20140912;000000;39.9900000;40.9800000;38.0000000;40.8900000;5150
20140915;000000;40.5000000;40.5000000;38.0700000;40.3000000;4700
20140916;000000;40.5000000;40.5500000;37.6500000;40.0000000;4150
20140917;000000;39.4700000;40.0900000;39.0000000;40.0900000;4360
20140918;000000;40.3000000;40.9500000;40.3000000;40.9500000;4100
20140919;000000;40.8000000;41.5900000;40.7900000;41.5400000;4730
20140922;000000;41.5000000;42.7900000;40.7100000;41.5000000;4470
20140923;000000;43.0000000;43.8800000;40.9000000;43.4200000;8430
20140924;000000;42.4800000;43.0000000;41.9900000;43.0000000;330
20140925;000000;42.8900000;43.4000000;42.8900000;43.4000000;240
20140926;000000;43.2000000;44.7800000;42.0000000;44.7000000;4230
20140929;000000;42.2800000;44.2500000;42.2500000;44.2500000;300
20140930;000000;43.0200000;43.5400000;43.0200000;43.5400000;110
20141001;000000;42.3000000;42.3000000;41.8000000;41.8000000;70
20141002;000000;42.0000000;42.9000000;42.0000000;42.9000000;1010
20141006;000000;42.9000000;42.9000000;42.9000000;42.9000000;10
20141007;000000;43.7000000;43.7000000;41.5000000;41.5000000;40
20141008;000000;41.0000000;41.0000000;41.0000000;41.0000000;880
20141009;000000;40.8000000;40.8000000;40.8000000;40.8000000;10
20141010;000000;41.7000000;41.7000000;40.0000000;40.0000000;760
20141014;000000;41.6000000;41.6000000;41.5000000;41.5000000;4000
20141015;000000;41.4000000;43.8000000;41.3000000;43.8000000;6150
20141016;000000;43.7000000;46.0000000;40.1000000;45.8000000;6070
20141017;000000;45.0000000;46.0000000;44.0000000;46.0000000;3620
20141020;000000;45.0000000;48.0000000;43.0000000;48.0000000;7530
20141021;000000;47.5000000;50.0000000;47.5000000;50.0000000;6690
20141022;000000;49.6000000;50.3000000;49.5000000;50.3000000;3220
20141023;000000;51.8000000;54.9000000;48.1000000;50.4000000;3790
20141024;000000;49.8000000;50.0000000;45.0000000;49.4000000;4650
20141027;000000;49.6000000;49.9000000;42.0000000;42.7000000;5790
20141028;000000;43.7000000;47.7000000;41.0000000;42.0000000;6170
20141029;000000;42.4000000;44.0000000;41.8000000;43.0000000;4190
20141030;000000;43.9000000;46.6000000;40.0000000;46.6000000;6200
20141031;000000;46.9000000;48.0000000;42.4000000;47.8000000;16270
20141103;000000;48.8000000;53.7000000;45.2000000;51.8000000;4150
20141105;000000;49.5000000;49.5000000;43.4000000;49.2000000;6850
20141106;000000;49.8000000;49.8000000;49.8000000;49.8000000;3040
20141107;000000;49.5000000;55.0000000;46.6000000;54.8000000;8450
20141110;000000;53.0000000;53.6000000;47.0000000;49.6000000;5750
20141111;000000;50.7000000;50.7000000;48.0000000;49.6000000;4090
20141112;000000;51.7000000;51.7000000;46.7000000;47.0000000;3180
20141113;000000;47.4000000;47.5000000;47.4000000;47.5000000;3170
20141114;000000;49.9000000;53.7000000;47.5000000;53.7000000;6490
20141117;000000;53.4000000;53.4000000;52.0000000;53.0000000;3240
20141118;000000;53.3000000;53.3000000;50.1000000;50.5000000;3240
20141119;000000;52.6000000;52.6000000;41.3000000;52.5000000;6870
20141120;000000;53.0000000;53.0000000;48.3000000;51.7000000;4270
20141121;000000;53.4000000;53.4000000;53.4000000;53.4000000;3160
20141124;000000;53.0000000;53.0000000;52.5000000;52.9000000;3540
20141125;000000;53.5000000;53.5000000;50.0000000;51.0000000;4360
20141126;000000;50.5000000;50.5000000;50.3000000;50.4000000;3120
20141127;000000;50.0000000;50.0000000;45.6000000;45.6000000;4370
20141128;000000;49.5000000;49.5000000;49.5000000;49.5000000;3200
20141201;000000;49.5000000;49.5000000;46.7000000;47.5000000;3230
20141202;000000;48.5000000;48.5000000;46.4000000;47.5000000;3090
20141203;000000;49.0000000;49.0000000;44.7000000;48.1000000;3240
20141204;000000;49.0000000;49.0000000;45.3000000;48.6000000;5050
20141205;000000;47.4000000;51.8000000;47.4000000;49.8000000;3560
20141208;000000;51.7000000;51.7000000;49.9000000;49.9000000;3100
20141209;000000;51.2000000;52.4000000;49.7000000;52.4000000;9320
20141210;000000;51.0000000;51.0000000;45.2000000;49.4000000;4460
20141211;000000;52.0000000;52.0000000;49.9000000;49.9000000;3030
20141212;000000;52.0000000;52.0000000;45.9000000;48.0000000;6980
20141215;000000;50.8000000;50.8000000;44.6000000;48.0000000;4420
20141216;000000;43.1000000;47.0000000;35.0000000;37.8000000;10510
20141217;000000;38.5000000;41.9000000;36.8000000;41.7000000;4240
20141218;000000;43.4000000;45.3000000;40.0000000;42.9000000;5380
20141219;000000;44.0000000;44.0000000;43.7000000;43.7000000;2050
20141222;000000;44.0000000;44.8000000;40.0000000;41.6000000;3390
20141223;000000;43.5000000;44.2000000;41.0000000;41.0000000;4110
20141224;000000;43.5000000;43.5000000;41.0000000;41.0000000;21680
20141225;000000;43.0000000;43.0000000;39.0000000;40.9000000;3710
20141226;000000;43.0000000;43.0000000;43.0000000;43.0000000;3040
20141229;000000;40.2000000;42.0000000;40.0000000;41.0000000;3310
20141230;000000;41.0000000;41.0000000;41.0000000;41.0000000;3050
