<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140108;000000;704.5000000;704.5000000;616.0000000;616.0000000;30
20140109;000000;685.8000000;749.3000000;620.0000000;715.0000000;90
20140110;000000;555.0000000;699.9000000;555.0000000;627.7000000;60
20140113;000000;625.0000000;625.0000000;625.0000000;625.0000000;10
20140117;000000;650.0000000;650.0000000;650.0000000;650.0000000;10
20140121;000000;650.0000000;650.0000000;650.0000000;650.0000000;60
20140122;000000;650.0000000;650.0000000;650.0000000;650.0000000;100
20140123;000000;650.0000000;650.0000000;650.0000000;650.0000000;100
20140124;000000;660.0000000;740.0000000;660.0000000;740.0000000;660
20140127;000000;690.0000000;707.0000000;661.0000000;707.0000000;320
20140128;000000;660.1000000;699.8000000;660.0000000;699.8000000;510
20140131;000000;642.0000000;642.0000000;641.0000000;641.0000000;100
20140203;000000;699.9000000;699.9000000;699.9000000;699.9000000;10
20140205;000000;749.0000000;749.0000000;749.0000000;749.0000000;10
20140206;000000;748.0000000;748.0000000;748.0000000;748.0000000;10
20140210;000000;740.0000000;740.0000000;740.0000000;740.0000000;200
20140211;000000;750.0000000;750.0000000;750.0000000;750.0000000;10
20140213;000000;740.0000000;825.0000000;740.0000000;825.0000000;820
20140218;000000;800.0000000;800.0000000;800.0000000;800.0000000;300
20140219;000000;800.0000000;815.0000000;800.0000000;815.0000000;100
20140220;000000;800.0000000;814.0000000;795.0000000;814.0000000;210
20140224;000000;815.0000000;820.0000000;815.0000000;820.0000000;190
20140226;000000;800.0000000;800.0000000;800.0000000;800.0000000;100
20140227;000000;790.0000000;790.0000000;790.0000000;790.0000000;100
20140228;000000;820.0000000;820.0000000;820.0000000;820.0000000;10
20140312;000000;700.0000000;700.0000000;700.0000000;700.0000000;90
20140313;000000;800.0000000;800.0000000;800.0000000;800.0000000;10
20140314;000000;700.0000000;800.0000000;700.0000000;800.0000000;90
20140318;000000;700.0000000;800.0000000;685.1000000;800.0000000;50
20140320;000000;700.0000000;700.0000000;700.0000000;700.0000000;90
20140321;000000;700.1000000;700.1000000;700.0000000;700.0000000;100
20140328;000000;700.0000000;700.0000000;700.0000000;700.0000000;100
20140407;000000;695.0000000;695.0000000;695.0000000;695.0000000;100
20140408;000000;680.0000000;680.0000000;680.0000000;680.0000000;50
20140409;000000;680.0000000;680.0000000;650.0000000;650.0000000;370
20140410;000000;680.0000000;680.0000000;650.0000000;650.0000000;180
20140418;000000;655.0000000;655.0000000;650.0000000;650.0000000;120
20140514;000000;700.0000000;700.0000000;700.0000000;700.0000000;240
20140515;000000;700.0000000;700.0000000;700.0000000;700.0000000;100
20140516;000000;700.0000000;700.0000000;700.0000000;700.0000000;50
20140522;000000;700.0000000;700.0000000;700.0000000;700.0000000;100
20140523;000000;700.0000000;700.0000000;700.0000000;700.0000000;40
20140526;000000;700.0000000;732.0000000;700.0000000;732.0000000;20
20140527;000000;778.0000000;800.0000000;778.0000000;800.0000000;1000
20140528;000000;750.0000000;750.0000000;750.0000000;750.0000000;20
20140529;000000;750.0000000;750.0000000;750.0000000;750.0000000;10
20140603;000000;700.0000000;700.0000000;700.0000000;700.0000000;30
20140617;000000;799.9000000;800.0000000;799.9000000;800.0000000;220
20140626;000000;775.0000000;800.0000000;775.0000000;800.0000000;200
20140630;000000;800.0000000;810.0000000;800.0000000;810.0000000;300
20140702;000000;800.0000000;810.0000000;800.0000000;810.0000000;120
20140703;000000;815.0000000;815.0000000;815.0000000;815.0000000;100
20140704;000000;820.0000000;820.0000000;820.0000000;820.0000000;130
20140709;000000;819.7000000;820.0000000;819.7000000;820.0000000;200
20140715;000000;820.0000000;820.0000000;820.0000000;820.0000000;100
20140723;000000;820.0000000;820.0000000;820.0000000;820.0000000;400
20140724;000000;820.0000000;820.0000000;820.0000000;820.0000000;200
20140729;000000;820.0000000;825.0000000;820.0000000;820.0000000;320
20140730;000000;830.0000000;830.0000000;830.0000000;830.0000000;100
20140801;000000;752.0000000;835.0000000;752.0000000;835.0000000;20
20140805;000000;829.9000000;830.0000000;829.9000000;830.0000000;390
20140807;000000;849.9000000;850.0000000;849.9000000;850.0000000;700
20140826;000000;832.0000000;832.0000000;832.0000000;832.0000000;290
20140916;000000;725.0000000;725.0000000;725.0000000;725.0000000;1020
20140917;000000;700.0000000;700.0000000;700.0000000;700.0000000;10
20140926;000000;700.0000000;700.0000000;700.0000000;700.0000000;60
20140930;000000;700.0000000;700.0000000;700.0000000;700.0000000;20
20141009;000000;700.0000000;700.0000000;700.0000000;700.0000000;50
20141020;000000;700.0000000;700.0000000;700.0000000;700.0000000;500
20141021;000000;700.0000000;700.0000000;700.0000000;700.0000000;520
20141031;000000;700.0000000;700.0000000;700.0000000;700.0000000;100
20141105;000000;700.0000000;700.0000000;700.0000000;700.0000000;2500
20141119;000000;650.0000000;650.0000000;650.0000000;650.0000000;60
20141124;000000;700.0000000;700.0000000;700.0000000;700.0000000;20
20141125;000000;750.0000000;750.0000000;750.0000000;750.0000000;10
20141201;000000;880.0000000;880.0000000;700.0000000;750.0000000;40
20141212;000000;650.0000000;750.0000000;650.0000000;750.0000000;60
20141215;000000;675.0000000;675.0000000;675.0000000;675.0000000;10
20141225;000000;700.0000000;750.0000000;455.0000000;650.0000000;22140
20141226;000000;670.0000000;700.0000000;670.0000000;700.0000000;80
20141229;000000;975.0000000;975.0000000;760.0000000;760.0000000;250
