<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;350.0000000;350.0000000;350.0000000;350.0000000;10
20140108;000000;487.9600000;487.9700000;340.3600000;373.0000000;240
20140109;000000;350.3700000;350.3700000;350.3700000;350.3700000;10
20140110;000000;333.0000000;440.0000000;333.0000000;335.0000000;60
20140113;000000;361.0000000;361.0000000;330.1700000;345.0300000;180
20140114;000000;331.0000000;414.7700000;312.3700000;320.2100000;1000
20140115;000000;316.0100000;330.0000000;316.0100000;330.0000000;560
20140117;000000;316.8300000;330.0000000;316.8300000;330.0000000;20
20140124;000000;340.0200000;340.0200000;340.0000000;340.0000000;80
20140211;000000;398.9800000;398.9800000;398.9800000;398.9800000;10
20140213;000000;370.0000000;435.0000000;370.0000000;435.0000000;390
20140214;000000;400.0000000;429.9000000;400.0000000;429.9000000;80
20140220;000000;400.0100000;419.9800000;400.0000000;419.9800000;250
20140224;000000;429.0000000;429.0000000;429.0000000;429.0000000;380
20140226;000000;400.0100000;427.8800000;400.0000000;427.8800000;270
20140227;000000;400.0100000;400.0100000;400.0000000;400.0000000;110
20140304;000000;331.0300000;331.0300000;331.0300000;331.0300000;10
20140305;000000;399.9500000;399.9500000;399.9500000;399.9500000;10
20140306;000000;450.0000000;450.0000000;450.0000000;450.0000000;30
20140311;000000;439.7000000;439.7000000;439.7000000;439.7000000;10
20140313;000000;380.0000000;380.0000000;315.0600000;315.0600000;20
20140314;000000;315.0100000;328.0000000;315.0000000;328.0000000;70
20140319;000000;328.0000000;328.0000000;328.0000000;328.0000000;20
20140320;000000;316.0100000;328.0000000;316.0000000;328.0000000;380
20140326;000000;330.0000000;330.0000000;330.0000000;330.0000000;20
20140327;000000;330.0000000;330.0000000;311.1100000;311.1100000;30
20140328;000000;312.2300000;312.2300000;300.0000000;300.0000000;670
20140331;000000;305.0000000;308.0000000;305.0000000;305.0000000;430
20140401;000000;310.0000000;310.0000000;300.0000000;300.0000000;400
20140403;000000;302.0100000;302.0100000;302.0100000;302.0100000;10
20140408;000000;300.0400000;300.0400000;300.0000000;300.0000000;360
20140409;000000;318.0000000;318.0000000;300.0000000;300.0000000;360
20140411;000000;318.0000000;318.0000000;318.0000000;318.0000000;10
20140415;000000;318.0000000;318.0000000;318.0000000;318.0000000;10
20140416;000000;330.0000000;330.0000000;320.0000000;320.0000000;770
20140417;000000;305.0100000;327.9300000;305.0000000;327.9300000;180
20140424;000000;350.0000000;350.0000000;350.0000000;350.0000000;200
20140429;000000;300.0000000;320.0000000;300.0000000;320.0000000;240
20140430;000000;320.0000000;320.0000000;320.0000000;320.0000000;600
20140506;000000;343.8200000;350.0000000;343.8200000;350.0000000;700
