<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;0.1880200;0.1880200;0.1800700;0.1880100;160000
20140109;000000;0.1830800;0.1832000;0.1830200;0.1830200;310000
20140113;000000;0.1825200;0.1889600;0.1825100;0.1885000;1580000
20140114;000000;0.1880200;0.1880200;0.1880100;0.1880100;100000
20140115;000000;0.1805000;0.1830000;0.1801200;0.1830000;1430000
20140116;000000;0.1820200;0.1821200;0.1820000;0.1820300;1970000
20140117;000000;0.1775000;0.1834000;0.1775000;0.1833700;310000
20140120;000000;0.1840000;0.1900000;0.1840000;0.1900000;200000
20140121;000000;0.1802800;0.1865100;0.1802700;0.1840000;340000
20140122;000000;0.1850100;0.1850100;0.1850000;0.1850000;800000
20140123;000000;0.1803300;0.1850100;0.1803300;0.1850100;160000
20140124;000000;0.1850000;0.1919900;0.1800000;0.1900000;18790000
20140127;000000;0.1810100;0.1900100;0.1810000;0.1900000;3680000
20140128;000000;0.1900000;0.1909000;0.1900000;0.1900200;80000
20140129;000000;0.1900000;0.1952000;0.1900000;0.1952000;6690000
20140130;000000;0.1960000;0.1970000;0.1902300;0.1970000;3940000
20140131;000000;0.1930900;0.1935100;0.1920000;0.1920000;4220000
20140203;000000;0.1941500;0.1974000;0.1941500;0.1964900;3040000
20140204;000000;0.1990000;0.1990000;0.1910000;0.1930000;6290000
20140205;000000;0.1900200;0.1950000;0.1900000;0.1900200;2140000
20140207;000000;0.1933200;0.1933200;0.1860700;0.1878000;110000
20140210;000000;0.1860100;0.1935000;0.1860100;0.1875200;1620000
20140211;000000;0.1875300;0.1875300;0.1875100;0.1875100;590000
20140212;000000;0.1955200;0.1989300;0.1955200;0.1989300;1610000
20140213;000000;0.1928000;0.2000000;0.1928000;0.1996700;7580000
20140214;000000;0.1943000;0.1960000;0.1940300;0.1960000;100000
20140217;000000;0.1962300;0.1970000;0.1962200;0.1962400;290000
20140218;000000;0.1950300;0.1960200;0.1950300;0.1960200;350000
20140219;000000;0.1932300;0.1944500;0.1930100;0.1930100;590000
20140220;000000;0.1927800;0.2000000;0.1927800;0.2000000;6860000
20140221;000000;0.2000000;0.2000000;0.1980100;0.1980100;70000
20140224;000000;0.1999800;0.2070000;0.1999800;0.2050000;3780000
20140225;000000;0.2070000;0.2121000;0.2070000;0.2120600;1780000
20140226;000000;0.2040200;0.2080000;0.2010000;0.2080000;1990000
20140227;000000;0.2020700;0.2096800;0.2020700;0.2070100;9290000
20140228;000000;0.2070100;0.2070100;0.2070000;0.2070000;6120000
20140303;000000;0.1966300;0.1966300;0.1706600;0.1785000;4470000
20140304;000000;0.1671600;0.1803000;0.1671600;0.1803000;300000
20140305;000000;0.1849900;0.1898200;0.1750900;0.1800000;310000
20140306;000000;0.1810000;0.1849200;0.1770500;0.1800000;690000
20140307;000000;0.1700400;0.1737000;0.1681900;0.1681900;2530000
20140311;000000;0.1620100;0.1620100;0.1443200;0.1445200;20270000
20140312;000000;0.1445000;0.1445000;0.1351100;0.1425700;7290000
20140313;000000;0.1423800;0.1423800;0.1322100;0.1360100;1360000
20140314;000000;0.1300300;0.1380300;0.1219900;0.1299500;2150000
20140317;000000;0.1399700;0.1399700;0.1225100;0.1320000;520000
20140318;000000;0.1368000;0.1388000;0.1324300;0.1361100;1390000
20140319;000000;0.1371000;0.1378000;0.1361100;0.1362000;1440000
20140320;000000;0.1350100;0.1350100;0.1312500;0.1327900;430000
20140321;000000;0.1329600;0.1334900;0.1306800;0.1306800;100000
20140324;000000;0.1358900;0.1358900;0.1320000;0.1340000;1030000
20140325;000000;0.1339100;0.1343000;0.1330000;0.1331200;3030000
20140326;000000;0.1319000;0.1356800;0.1290300;0.1290300;2410000
20140327;000000;0.1300600;0.1308300;0.1287600;0.1287600;70000
20140328;000000;0.1376600;0.1376600;0.1286600;0.1290000;200000
20140331;000000;0.1255100;0.1369800;0.1255100;0.1369800;110000
20140401;000000;0.1333000;0.1359900;0.1308800;0.1358500;230000
20140402;000000;0.1350000;0.1358900;0.1320100;0.1321200;6470000
20140403;000000;0.1301500;0.1338000;0.1300300;0.1310000;750000
20140404;000000;0.1348900;0.1500000;0.1347800;0.1500000;2550000
20140407;000000;0.1500100;0.1639900;0.1407500;0.1455600;3270000
20140408;000000;0.1411700;0.1555000;0.1411600;0.1550000;2340000
20140410;000000;0.1461100;0.1530000;0.1460300;0.1529900;180000
20140411;000000;0.1352400;0.1561000;0.1351000;0.1498200;7070000
20140414;000000;0.1450000;0.1460000;0.1449900;0.1450000;3730000
20140415;000000;0.1493600;0.1494900;0.1383000;0.1383000;720000
20140416;000000;0.1429900;0.1450000;0.1429900;0.1450000;60000
