<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140110;000000;16.6000000;16.6400000;16.6000000;16.6400000;19200
20140113;000000;16.0010000;16.0010000;16.0010000;16.0010000;100
20140121;000000;18.4120000;18.4120000;18.4120000;18.4120000;200
20140131;000000;16.9100000;16.9100000;16.9100000;16.9100000;700
20140204;000000;16.1010000;17.2000000;16.1010000;17.2000000;200
20140205;000000;16.1580000;16.1580000;16.1580000;16.1580000;9000
20140211;000000;17.0990000;17.1000000;17.0990000;17.1000000;1600
20140212;000000;17.3990000;17.4000000;17.3990000;17.4000000;1400
20140218;000000;16.8000000;16.8000000;16.8000000;16.8000000;300
20140219;000000;16.5010000;16.5010000;16.5010000;16.5010000;100
20140224;000000;16.7000000;16.7000000;16.7000000;16.7000000;200
20140227;000000;18.0000000;18.0000000;18.0000000;18.0000000;100
20140228;000000;18.0000000;18.0000000;18.0000000;18.0000000;100
20140304;000000;17.0000000;17.0000000;17.0000000;17.0000000;2000
20140306;000000;16.1000000;16.1000000;16.0000000;16.1000000;4400
20140313;000000;17.0000000;17.0000000;17.0000000;17.0000000;200
20140407;000000;17.0000000;17.0000000;17.0000000;17.0000000;10000
20140424;000000;17.0000000;17.0000000;16.0060000;16.0060000;34200
20140425;000000;16.0000000;16.0010000;16.0000000;16.0010000;5000
20140429;000000;17.0000000;17.4400000;17.0000000;17.4400000;5200
20140715;000000;14.0000000;14.0000000;13.0000000;13.0000000;1200
20140718;000000;14.5000000;14.5000000;14.5000000;14.5000000;100
20140721;000000;9.0000000;11.0000000;9.0000000;11.0000000;200
20140811;000000;11.0000000;11.0000000;11.0000000;11.0000000;100
20140812;000000;11.1000000;11.1000000;11.1000000;11.1000000;1500
20140814;000000;14.0000000;14.0000000;14.0000000;14.0000000;900
20140815;000000;11.0150000;11.0150000;11.0150000;11.0150000;100
20140826;000000;11.1000000;11.1000000;11.1000000;11.1000000;100
20140829;000000;11.0010000;12.0000000;11.0010000;12.0000000;2800
20140901;000000;12.0000000;12.0000000;12.0000000;12.0000000;1000
20140902;000000;11.1000000;12.0000000;11.1000000;12.0000000;3800
20140905;000000;13.0000000;13.0000000;13.0000000;13.0000000;1000
20140910;000000;13.0000000;13.0000000;13.0000000;13.0000000;1000
20140911;000000;13.0000000;13.9890000;13.0000000;13.9890000;1800
20141002;000000;11.0500000;11.0500000;11.0500000;11.0500000;100
20141023;000000;7.5000000;7.5000000;7.5000000;7.5000000;100
20141127;000000;15.3000000;15.3000000;10.7500000;15.2500000;400
20141205;000000;11.9500000;11.9500000;11.9500000;11.9500000;1700
20141217;000000;10.0000000;10.0000000;7.5000000;7.5000000;500
20141218;000000;9.5000000;11.2000000;9.5000000;10.0000000;500
20141219;000000;10.0000000;10.0000000;10.0000000;10.0000000;1600
